WIG_BUDOW,WIG_CHEMIA,WIG_ENERG,WIG_GRY,WIG_INFO,WIG_LEKI,WIG_MEDIA,WIG_MOTO,WIG_NRCHOM,WIG_ODZIEZ,WIG_SPOZYW,WIG_POLAND
ATR,ATT,BDZ,11B,ABS,BIO,AGO,ACG,1AT,CCC,AMB,WIG_POLAND
BDX,PCE,CLC,3RG,ACP,CLN,ATG,APR,AAT,CDL,AST,
CPR,PCR,ENA,ALG,ALL,CRM,CPL,CAR,ARH,EAH,ATP,
DBE,PWX,KGN,ART,ASE,MAB,DIG,SNK,BBD,HRP,HEL,
DCR,,MLS,BBT,ATD,PHR,GPP,,CAV,IPO,IMC,
DEK,,NVG,BCS,B24,SVE,IMS,,CPD,LBW,KSG,
ELT,,OND,BLO,BCM,,KCI,,DOM,LPP,KVT,
ENI,,PEP,CDR,CMP,,KPL,,DVL,MIR,MAK,
ERB,,PGE,CIG,CMR,,LRQ,,ECH,MON,OTM,
FRO,,RAE,CRJ,DAT,,MZA,,EKP,PRT,PMP,
INK,,TPE,DGE,FAB,,PGM,,INP,SFG,PPS,
IZO,,,GIF,IFI,,WPL,,ITB,SNW,SEK,
LBT,,,GOP,LSI,,,,LKD,WTN,TAR,
MCR,,,HUG,NTT,,,,MLG,,WWL,
MDI,,,MOV,OPM,,,,MUR,,,
MFO,,,PCF,PAS,,,,MVP,,,
MRB,,,PLW,SGN,,,,PLZ,,,
MSP,,,RND,SHO,,,,RNK,,,
MSW,,,SIM,SPR,,,,WIK,,,
MSZ,,,TEN,SVRS,,,,,,,
NVA,,,ULG,TLX,,,,,,,
PBX,,,VVD,TXT,,,,,,,
PJP,,,,VRC,,,,,,,
PRM,,,,WAS,,,,,,,
PXM,,,,WPR,,,,,,,
RES,,,,XPL,,,,,,,
RFK,,,,YRL,,,,,,,
RMK,,,,,,,,,,,
RPC,,,,,,,,,,,
SEL,,,,,,,,,,,
SKA,,,,,,,,,,,
TOR,,,,,,,,,,,
TSG,,,,,,,,,,,
ULM,,,,,,,,,,,
UNI,,,,,,,,,,,
ZUE,,,,,,,,,,,
