,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
0,ATR,2009-04-29,20.94,25.11,,16.17,-0.46,-44.19,51.44,-4.85,201.16,-65.3,,23.62,,23.62,,22.76,22.8,82.39,14.02,93.04,-36.14,,23.79,31.54,7.77,81.94,-35.23,-35.84,59.75,,43.23,27.02,0.78,,0.0,65.03,212.63,73.1,-25.04,,41.99,29.99,43.19,-3.87,,43.23,-87.82,-15.59,-2.08,104.34,-68.88,-99.85,,-141.09
1,ATR,2010-04-30,46.79,53.44,,4.75,49.62,34.05,26.72,50.02,-24.84,12.64,,44.59,,44.59,,44.76,48.17,11.4,44.61,7.49,4.25,1.87,21.03,0.78,14.05,0.62,0.75,1.71,-30.48,,3.89,28.57,0.77,,0.0,11.79,-14.16,-15.79,-27.77,,-22.65,25.87,-12.6,86.16,,3.89,1009.99,8.56,62.66,-57.2,-151.65,0.0,,143.16
2,ATR,2011-03-21,-22.85,-18.86,,-10.47,-67.65,147.31,29.66,-63.73,-65.67,21.22,,-69.58,,-69.58,,-69.79,-68.47,8.72,-35.03,0.7,213.73,0.56,112.2,5.61,-10.16,29.59,-82.34,-82.34,-2.01,,6.59,4.36,0.76,,0.0,-100.0,33.91,7.81,93.07,,-49.1,169.31,8.51,-67.22,,6.59,-212.45,17.3,10.77,-54.49,-10.5,0.0,,-861.74
3,ATR,2012-03-20,-16.52,-9.22,,-2.6,-204.85,-44.84,699.9,-288.03,-76.31,-7.18,,-349.24,,-349.24,,-358.58,-358.58,-9.52,-3.88,-5.73,32.01,-45.8,-21.29,-35.92,-6.94,-43.48,96.08,96.08,-17.24,,-27.47,-16.86,0.0,0.0,0.0,,-51.15,-30.06,-85.1,,-95.73,-48.46,-34.19,187.79,,-27.47,228.79,2.76,116.95,-73.03,-13.66,-100.0,,161.53
4,ATR,2013-03-21,-17.32,-24.76,,-12.44,139.85,130.74,-71.28,119.71,367.37,-72.86,,118.16,,118.16,,115.38,115.38,-8.61,-13.48,-5.19,60.36,-100.0,-20.97,3.19,-14.36,7.92,-27.48,-27.48,3.86,14.48,-1.52,2.76,0.0,0.0,0.0,,-32.61,4.34,-83.06,,-100.0,-16.35,-2.57,-19.18,,-1.52,-94.93,-4.1,9.31,11.19,10.73,,,-115.96
5,ATR,2014-03-21,12.68,18.09,,7.18,-142.05,107.38,-34.72,-25.54,-51.8,16.25,,-36.17,,-36.17,,-43.97,-43.97,-6.11,-2.55,-3.45,-75.09,,12.97,3.08,-63.25,-6.01,195.06,194.81,-13.55,-100.0,-0.33,-1.37,0.0,-100.0,0.0,,-3.67,3.57,-100.0,,,3.16,1.59,-9.58,,-0.33,1269.68,-4.16,-125.89,100.0,52.66,,,553.82
6,ATR,2015-03-20,19.84,19.81,,-2.31,284.28,-83.59,-54.79,9.56,75.23,15.7,,16.13,,16.13,,29.97,29.97,1.07,16.95,0.35,-70.95,-4.04,7.16,-4.66,195.9,9.27,-76.17,-76.23,8.91,,-2.66,1.02,0.0,,0.0,,22.93,-5.19,,,0.0,25.78,-10.67,-60.96,,-2.66,-157.36,-4.42,-1234.22,93.59,44.94,,,-211.65
7,ATR,2016-03-18,-19.93,-19.65,,-4.71,-247.29,84.82,323.37,-304.95,-50.67,80.48,,-361.52,,-361.52,,-574.5,-574.5,-4.08,-2.83,2.71,133.93,-3.16,-40.16,-25.39,-26.15,-42.65,275.4,276.35,-2.26,,-17.67,-11.28,0.0,,0.0,,-29.27,-52.88,,,-100.0,-29.27,-26.41,39.58,,-17.67,166.04,-11.29,5.33,-8.17,868.42,,-37.48,186.19
8,ATR,2017-03-17,-32.65,-33.0,21.25,-11.32,-91.89,-5.43,-70.57,-20.95,-48.65,-30.07,,-13.87,,-13.87,,-12.17,-12.17,-2.9,-0.64,-3.13,63.17,-1.45,-12.38,-19.47,-14.87,1.46,-79.94,-80.01,-10.25,,-12.47,-13.31,0.0,,0.0,,-0.76,4.77,-39.2,,,-0.76,-12.47,-40.84,,-12.47,-218.04,-8.26,56.51,-51.6,-146.87,,-100.0,-208.96
9,ATR,2018-03-20,70.56,74.05,2.0,1.04,67.47,-19.07,152.8,45.84,-73.68,1.33,,21.44,,21.44,,37.74,37.74,-5.19,-67.4,-5.36,-9.01,-0.74,53.7,24.79,-32.64,22.13,121.46,122.03,0.0,0.0,10.75,-9.55,0.0,,0.0,,49.68,70.01,-44.2,,,49.68,44.18,43.78,,10.75,223.13,-2.55,41.26,-14.54,27.71,,,130.49
