,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
0,ATR,2009-04-29,136804.0,106064.0,0.0,17650.0,13090.0,514.0,580.0,13024.0,1554.0,1163.0,0.0,13415.0,0.0,13415.0,0.0,10684.0,10001.0,39570.0,3457.0,29670.0,447.0,2786.0,3210.0,95652.0,3979.0,71739.0,18648.0,18472.0,1286.0,0.0,135222.0,53403.0,4545.0,0.0,19457.0,2053.0,12105.0,54778.0,8665.0,0.0,1011.0,2861.0,67661.0,3207.0,0.0,135222.0,1031.0,2220.0,-14076.0,14298.0,6565.0,35.0,0.0,-6480.0
1,ATR,2010-04-30,200821.0,162748.0,0.0,18488.0,19585.0,689.0,735.0,19539.0,1168.0,1310.0,0.0,19397.0,0.0,19397.0,0.0,15466.0,14818.0,44081.0,4999.0,31893.0,466.0,2838.0,3885.0,96402.0,4538.0,72183.0,18787.0,18787.0,894.0,0.0,140483.0,68659.0,4580.0,0.0,19457.0,2295.0,10391.0,46127.0,6259.0,0.0,782.0,3601.0,59138.0,5970.0,0.0,140483.0,11444.0,2410.0,-5256.0,6120.0,-3391.0,35.0,0.0,2797.0
2,ATR,2011-03-21,154937.0,132049.0,0.0,16552.0,6336.0,1704.0,953.0,7087.0,401.0,1588.0,0.0,5900.0,0.0,5900.0,0.0,4672.0,4672.0,47923.0,3248.0,32115.0,1462.0,2854.0,8244.0,101812.0,4077.0,93542.0,3317.0,3317.0,876.0,0.0,149735.0,71652.0,4615.0,4000.0,19457.0,0.0,13915.0,49729.0,12084.0,0.0,398.0,9698.0,64168.0,1957.0,0.0,149735.0,-12869.0,2827.0,-4690.0,2785.0,-3747.0,35.0,0.0,-21306.0
3,ATR,2012-03-20,129349.0,119871.0,0.0,16121.0,-6643.0,940.0,7623.0,-13326.0,95.0,1474.0,0.0,-14705.0,0.0,-14705.0,0.0,-12081.0,-12081.0,43362.0,3122.0,30274.0,1930.0,1547.0,6489.0,65237.0,3794.0,52867.0,6504.0,6504.0,725.0,1347.0,108599.0,59571.0,4615.0,4000.0,19457.0,0.0,6798.0,34781.0,1800.0,0.0,17.0,4998.0,42230.0,5632.0,0.0,108599.0,16574.0,2905.0,795.0,751.0,-4259.0,0.0,0.0,13110.0
4,ATR,2013-03-21,106947.0,90185.0,0.0,14115.0,2647.0,2169.0,2189.0,2627.0,444.0,400.0,0.0,2671.0,0.0,2671.0,0.0,1858.0,1858.0,39628.0,2701.0,28704.0,3095.0,0.0,5128.0,67315.0,3249.0,57054.0,4717.0,4717.0,753.0,1542.0,106943.0,61216.0,4615.0,4000.0,19457.0,0.0,4581.0,36289.0,305.0,0.0,0.0,4181.0,41146.0,4552.0,0.0,106943.0,841.0,2786.0,869.0,835.0,-3802.0,0.0,0.0,-2092.0
5,ATR,2014-03-21,120510.0,106495.0,0.0,15128.0,-1113.0,4498.0,1429.0,1956.0,214.0,465.0,0.0,1705.0,0.0,1705.0,0.0,1041.0,1041.0,37208.0,2632.0,27715.0,771.0,297.0,5793.0,69386.0,1194.0,53623.0,13918.0,13906.0,651.0,0.0,106594.0,60380.0,4615.0,0.0,19457.0,0.0,4413.0,37585.0,0.0,0.0,100.0,4313.0,41801.0,4116.0,0.0,106594.0,11519.0,2670.0,-225.0,1670.0,-1800.0,0.0,0.0,9494.0
6,ATR,2015-03-20,144420.0,127590.0,0.0,14779.0,2051.0,738.0,646.0,2143.0,375.0,538.0,0.0,1980.0,0.0,1980.0,0.0,1353.0,1353.0,37606.0,3078.0,27811.0,224.0,285.0,6208.0,66154.0,3533.0,58595.0,3317.0,3306.0,709.0,0.0,103760.0,60994.0,4615.0,0.0,19457.0,0.0,5425.0,35634.0,0.0,0.0,100.0,5425.0,37341.0,1607.0,0.0,103760.0,-6607.0,2552.0,-3002.0,3233.0,-991.0,0.0,739.0,-10600.0
7,ATR,2016-03-18,115638.0,102515.0,2061.0,14083.0,-3021.0,1364.0,2735.0,-4392.0,185.0,971.0,0.0,-5178.0,0.0,-5178.0,0.0,-6420.0,-6420.0,36071.0,2991.0,28565.0,524.0,276.0,3715.0,49359.0,2609.0,33605.0,12452.0,12442.0,693.0,0.0,85430.0,54112.0,4615.0,0.0,19457.0,0.0,3837.0,16791.0,8447.0,0.0,0.0,3837.0,27481.0,2243.0,0.0,85430.0,4363.0,2264.0,-2842.0,2969.0,7615.0,0.0,462.0,9136.0
8,ATR,2017-03-17,77877.0,68686.0,2499.0,12489.0,-5797.0,1290.0,805.0,-5312.0,95.0,679.0,0.0,-5896.0,0.0,-5896.0,0.0,-7201.0,-7201.0,35026.0,2972.0,27672.0,855.0,272.0,3255.0,39748.0,2221.0,34096.0,2498.0,2487.0,622.0,311.0,74774.0,46911.0,4615.0,0.0,19457.0,0.0,3808.0,17592.0,5136.0,0.0,0.0,3808.0,24055.0,1327.0,0.0,74774.0,-5150.0,2077.0,-1236.0,1437.0,-3569.0,0.0,0.0,-9955.0
9,ATR,2018-03-20,132829.0,119547.0,2549.0,12619.0,-1886.0,1044.0,2035.0,-2877.0,25.0,688.0,-1092.0,-4632.0,0.0,-4632.0,0.0,-4483.0,-4483.0,33209.0,969.0,26189.0,778.0,270.0,5003.0,49603.0,1496.0,41642.0,5532.0,5522.0,622.0,311.0,82812.0,42429.0,4615.0,0.0,19457.0,0.0,5700.0,29909.0,2866.0,0.0,0.0,5700.0,34683.0,1908.0,0.0,82812.0,6341.0,2024.0,-726.0,1228.0,-2580.0,0.0,0.0,3035.0
