,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
0,ATR,2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ATR,2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ATR,2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ATR,2012-05-15,44.59,40.47,,32.7,89.14,-80.48,350.0,63.05,4316.67,741.28,,52.78,,52.78,,26.33,26.4,128.99,718.23,105.75,7.21,,150.79,185.22,41.99,113.35,1834.52,2113.39,173.47,,166.62,201.11,49.68,,,73.47,242.51,111.6,174.04,,,292.65,129.53,194.39,,166.62,-34.84,-6.6,-1.26,-7.25,-157.49,,,-94.34
4,ATR,2013-05-15,22.96,27.63,,30.55,-11.86,78.21,311.43,-13.02,-42.25,-119.26,,3.54,,3.54,,-4.64,3.98,106.15,122.12,103.37,57.41,,121.76,87.96,1.4,47.35,2289.88,2385.06,-16.22,,93.44,174.56,49.68,,,42.56,306.76,52.07,-51.15,,,172.1,28.52,75.6,,93.44,1167.15,-26.98,-43.18,279.14,397.15,,,96.71
5,ATR,2014-05-15,22.65,35.48,,1.38,-15.13,28.36,-45.86,-12.85,-5.5,-84.02,,-10.08,,-10.08,,-25.71,-22.58,95.92,107.38,98.52,-23.73,,100.16,106.83,-1.7,91.36,431.95,446.6,4.25,,103.47,140.15,50.85,,,26.12,422.15,78.25,7.95,,,239.39,54.96,-22.52,,103.47,-332.09,-7.27,-3.88,6.71,895.76,,,-798.82
6,ATR,2015-04-30,6.06,8.51,,9.0,-25.41,-63.3,59.43,-35.21,1007.58,-86.17,,297.08,,297.08,,1136.8,770.36,82.39,14.02,93.04,-36.14,,23.79,31.54,7.77,81.94,-35.23,-35.84,59.75,,43.23,27.02,0.78,,0.0,65.03,212.63,73.1,-25.04,,41.99,29.99,43.19,-3.87,,43.23,-17.84,-18.04,39.82,65.05,-98.56,-99.85,,-87.13
7,ATR,2016-05-13,21.26,29.01,,14.66,-13.8,101.54,-4.17,-12.0,15.47,-36.31,,-1.18,,-1.18,,11.2,8.79,73.22,9.42,72.25,-2.17,,64.03,30.28,-19.23,55.08,-2.46,-2.46,13.97,,42.48,27.88,0.78,,0.0,62.96,150.5,43.81,79.95,,42.65,55.75,42.92,-16.62,,42.48,152.35,19.33,128.1,-35.25,-20.26,,,127.63
8,ATR,2017-05-12,32.4,36.22,,6.65,36.16,-15.11,-45.14,37.58,-35.26,192.5,,25.86,,25.86,,37.75,39.81,34.93,6.33,35.91,-8.22,,-13.33,51.7,2.87,81.18,-10.69,-10.69,44.76,,46.32,27.57,0.78,,0.0,20.93,0.46,67.46,259.58,,19.08,-48.54,84.13,41.38,,46.32,-225.65,5.33,75.03,-75.87,-127.69,,,-3476.37
9,ATR,2018-05-15,79.71,92.18,,13.47,56.57,-13.95,-78.82,56.42,76.7,1070.37,,50.34,,50.34,,72.93,65.78,29.04,44.97,19.2,29.31,,11.46,15.48,16.35,-2.57,72.05,72.05,88.97,,19.51,28.84,0.77,,0.0,33.27,-17.92,41.65,-76.59,,-2.61,-21.93,20.52,173.06,,19.51,494.29,3.39,-16.4,20.0,-131.56,,,523.44
10,ATR,2019-05-14,48.59,51.1,,-7.69,173.93,111.59,103.94,179.62,-65.66,-11.8,,130.19,,130.19,,49.88,70.74,11.4,44.61,7.49,4.25,1.87,21.03,0.78,14.05,0.62,0.75,1.71,-30.48,,3.89,28.57,0.77,,0.0,11.79,-14.16,-15.79,-27.77,,-22.65,25.87,-12.6,86.16,,3.89,-307.0,6.59,64.19,-63.95,-408.54,0.0,,-583.36
11,ATR,2020-05-22,4.27,5.03,,2.94,-0.18,70.23,200.0,-1.56,-50.98,-35.27,,-4.7,,-4.7,,-6.2,-2.03,12.2,41.94,6.3,7.1,1.87,35.24,-0.76,10.81,-3.42,5.64,5.64,-17.87,,3.72,27.08,0.77,,0.0,5.73,-6.1,-25.47,-19.15,,-24.33,42.76,-20.52,43.06,,3.72,62.21,5.61,-214.22,28.93,-89.5,,,-11.83
12,ATR,2021-05-14,-30.13,-26.84,,-18.68,-71.06,499.15,-21.52,-56.79,-39.84,127.93,,-60.93,,-60.93,,-57.9,-53.32,10.51,-2.28,3.29,41.23,1.87,95.28,-31.81,1.5,-22.46,-86.5,-86.5,-42.06,,-19.28,19.26,1.54,,0.0,-100.0,20.86,-52.25,-75.75,,-30.41,197.2,-56.65,-53.88,,-19.28,-81.53,21.99,-77.2,-29.04,1.47,,,-71.18
