,Ticker,Data,Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,Zysk ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,Zysk operacyjny (EBIT),Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),Zysk z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,Zysk netto,Zysk netto akcjonariuszy jednostki dominującej,Aktywa trwałe,Wartości niematerialne i prawne,Rzeczowe składniki majątku trwałego,Należności długoterminowe,Inwestycje długoterminowe,Pozostałe aktywa trwałe,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Inwestycje krótkoterminowe,Środki pieniężne i inne aktywa pieniężne,Pozostałe aktywa obrotowe,Aktywa trwałe przeznaczone do sprzedaży,Aktywa razem,Kapitał własny akcjonariuszy jednostki dominującej,Kapitał (fundusz) podstawowy,Udziały (akcje) własne,Kapitał (fundusz) zapasowy,Udziały niekontrolujące,Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,Rozliczenia międzyokresowe,Pasywa razem,Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),Przepływy pieniężne z działalności finansowej,Emisja akcji,Dywidenda,Przepływy pieniężne razem
0,ATR,2009-04-29,28855.0,21685.0,0.0,3502.0,3668.0,78.0,35.0,3711.0,329.0,623.0,0.0,3417.0,0.0,3417.0,0.0,2736.0,2384.0,14997.0,1451.0,11456.0,371.0,0.0,1719.0,34776.0,3712.0,29445.0,731.0,703.0,888.0,0.0,49773.0,16974.0,3013.0,0.0,0.0,1156.0,2646.0,20015.0,7658.0,0.0,0.0,1839.0,28997.0,1324.0,0.0,49773.0,-411.0,745.0,-5630.0,2047.0,-1157.0,0.0,0.0,-7198.0
1,ATR,2010-04-30,28173.0,19848.0,0.0,3618.0,4707.0,134.0,157.0,4684.0,109.0,169.0,0.0,4624.0,0.0,4624.0,0.0,3898.0,3760.0,17464.0,1559.0,13477.0,510.0,0.0,1918.0,39203.0,4461.0,30531.0,3246.0,3159.0,965.0,0.0,56667.0,20817.0,3013.0,0.0,0.0,1294.0,2758.0,20775.0,9260.0,0.0,0.0,1630.0,31798.0,1763.0,0.0,56667.0,3107.0,605.0,-1855.0,1893.0,-401.0,0.0,0.0,851.0
2,ATR,2011-05-13,37199.0,28934.0,0.0,5498.0,2767.0,376.0,175.0,2968.0,66.0,2451.0,0.0,583.0,0.0,583.0,0.0,231.0,280.0,21695.0,3032.0,15370.0,700.0,0.0,2593.0,72717.0,3692.0,39429.0,28791.0,28791.0,805.0,0.0,94412.0,42043.0,4510.0,0.0,19457.0,1244.0,3872.0,31646.0,11559.0,0.0,712.0,2201.0,47253.0,3336.0,0.0,94412.0,7444.0,704.0,-5587.0,2326.0,21991.0,22760.0,0.0,23848.0
3,ATR,2012-05-15,27318.0,20103.0,0.0,3417.0,3798.0,65.0,72.0,3791.0,530.0,917.0,0.0,3404.0,0.0,3404.0,0.0,2322.0,2174.0,24026.0,3142.0,17579.0,461.0,0.0,2844.0,60537.0,4582.0,35517.0,19500.0,19500.0,938.0,0.0,84563.0,43727.0,4510.0,0.0,19457.0,1393.0,5511.0,25362.0,4634.0,0.0,680.0,3098.0,33932.0,3256.0,0.0,84563.0,-2260.0,538.0,-726.0,678.0,-380.0,0.0,0.0,-3366.0
4,ATR,2013-05-15,35481.0,27676.0,0.0,4572.0,3233.0,139.0,144.0,3228.0,190.0,-120.0,0.0,3538.0,0.0,3538.0,0.0,2609.0,2479.0,30917.0,3223.0,23298.0,584.0,0.0,3812.0,65366.0,3764.0,43388.0,17470.0,17470.0,744.0,0.0,96283.0,46604.0,4510.0,0.0,19457.0,1648.0,10763.0,30437.0,3741.0,0.0,765.0,5004.0,37268.0,2325.0,0.0,96283.0,4386.0,544.0,-8061.0,7761.0,3438.0,0.0,0.0,-237.0
5,ATR,2014-05-15,34553.0,26890.0,0.0,3668.0,3995.0,172.0,85.0,4082.0,103.0,27.0,0.0,4158.0,0.0,4158.0,0.0,2896.0,2911.0,34216.0,3233.0,26755.0,389.0,0.0,3839.0,81083.0,4385.0,58425.0,17267.0,17267.0,1006.0,0.0,115299.0,49993.0,4545.0,0.0,19457.0,1632.0,14401.0,37031.0,9996.0,0.0,880.0,5532.0,49273.0,1366.0,0.0,115299.0,-7211.0,561.0,-1927.0,2020.0,3191.0,0.0,0.0,-5947.0
6,ATR,2015-04-30,39452.0,31395.0,0.0,5993.0,2064.0,138.0,279.0,1923.0,731.0,339.0,0.0,2315.0,0.0,2315.0,0.0,2857.0,2437.0,39570.0,3457.0,29670.0,447.0,2786.0,3210.0,95652.0,3979.0,71739.0,18648.0,18472.0,1286.0,0.0,135222.0,53403.0,4545.0,0.0,19457.0,2053.0,12105.0,54778.0,8665.0,0.0,1011.0,2861.0,67661.0,3207.0,0.0,135222.0,6116.0,577.0,-3362.0,3839.0,316.0,35.0,0.0,3070.0
7,ATR,2016-05-13,33127.0,25935.0,0.0,3918.0,3274.0,131.0,69.0,3336.0,612.0,584.0,0.0,3364.0,0.0,3364.0,0.0,2582.0,2365.0,41619.0,3438.0,30279.0,451.0,2786.0,4665.0,78870.0,3701.0,55080.0,19020.0,19020.0,1069.0,0.0,120489.0,55917.0,4545.0,0.0,19457.0,2270.0,13805.0,36473.0,8339.0,0.0,970.0,4825.0,48497.0,2715.0,0.0,120489.0,1183.0,642.0,204.0,439.0,-457.0,0.0,0.0,930.0
8,ATR,2017-05-12,46977.0,37699.0,0.0,4876.0,4402.0,118.0,79.0,4441.0,123.0,111.0,0.0,4453.0,0.0,4453.0,0.0,3594.0,3466.0,41717.0,3427.0,31664.0,536.0,2786.0,3304.0,99160.0,3872.0,78609.0,15602.0,15602.0,1077.0,0.0,140877.0,59452.0,4545.0,0.0,19457.0,1993.0,10812.0,50970.0,13452.0,0.0,911.0,2575.0,68620.0,3287.0,0.0,140877.0,-5511.0,573.0,-2013.0,1873.0,-952.0,0.0,0.0,-8476.0
9,ATR,2018-05-15,62094.0,51677.0,0.0,4162.0,6255.0,148.0,18.0,6385.0,182.0,316.0,0.0,6251.0,0.0,6251.0,0.0,5008.0,4826.0,44154.0,4687.0,31891.0,503.0,2794.0,4279.0,93636.0,5102.0,56925.0,29708.0,29708.0,1901.0,0.0,137790.0,64411.0,4580.0,0.0,19457.0,2175.0,11821.0,52456.0,2340.0,0.0,857.0,4319.0,59383.0,3730.0,0.0,137790.0,28432.0,580.0,-2243.0,2424.0,-1007.0,0.0,0.0,25182.0
