,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,7.1,10.91,3.62,27.33,21.84,3.52,21.24,19.83,25.98,21.44,16.58,13.25,16.44,16.51,44.01,26.83,95.33,88.54,0.18,0.21,0.25,0.7,2.86,0.94,1.69,4.16,0.75
1,2006-05-15,CCC,8.44,13.86,4.32,34.15,27.91,4.38,28.29,26.1,24.72,19.59,15.49,12.66,15.15,15.45,43.67,23.96,172.71,529.02,0.21,0.26,0.3,0.77,2.56,0.06,1.11,3.38,1.04
2,2006-08-14,CCC,10.16,17.21,4.44,30.02,25.34,4.49,25.65,23.89,33.84,24.58,17.51,14.78,16.6,17.83,44.92,29.12,148.58,104.07,0.27,0.38,0.39,0.95,2.44,0.1,0.87,2.62,0.76
3,2007-03-01,CCC,10.47,20.06,4.79,36.08,30.95,4.82,31.15,28.66,29.01,22.09,15.48,13.28,15.39,16.17,45.32,25.76,260.65,-25492.55,0.24,0.31,0.38,0.78,2.09,0.17,0.96,2.88,0.75
4,2007-05-15,CCC,11.3,21.79,5.03,36.63,30.18,5.17,30.97,28.65,30.86,19.89,16.68,13.74,16.66,16.94,46.65,24.15,254.18,38.22,0.36,0.55,0.52,1.07,2.08,0.09,0.73,2.02,0.62
5,2007-08-10,CCC,17.24,51.47,6.45,56.19,41.71,6.51,42.11,38.58,30.69,17.53,15.47,11.48,16.48,14.08,48.26,23.62,112.9,81.08,0.43,0.75,0.69,1.04,1.5,0.14,0.74,1.47,0.6
6,2007-11-14,CCC,13.83,40.54,5.01,47.78,34.88,5.15,35.88,32.54,28.94,16.18,14.37,10.49,15.74,12.83,49.11,22.16,122.48,95.81,0.44,0.79,0.7,1.06,1.52,0.06,0.64,1.45,0.58
7,2008-02-26,CCC,8.96,27.58,3.17,36.26,27.32,3.3,28.45,24.86,24.71,14.74,11.62,8.75,15.21,10.71,51.18,19.57,156.05,96.07,0.4,0.68,0.68,1.0,1.48,0.08,0.55,1.49,0.47
8,2008-05-15,CCC,8.34,24.43,3.0,32.28,25.6,3.2,27.34,23.8,25.82,12.63,11.71,9.28,15.0,10.76,51.66,15.92,165.84,99.37,0.51,1.05,0.75,1.14,1.52,0.04,0.59,1.34,0.55
9,2008-08-11,CCC,6.3,17.01,2.42,22.23,17.89,2.59,19.12,16.86,28.35,14.82,13.53,10.89,16.3,13.11,53.14,18.42,659.36,124.48,0.48,0.91,0.71,1.13,1.59,0.05,0.57,1.55,0.52
