,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,143.53,137.35,174.44,54.59,76.75,173.6,76.2,77.71,57.55,87.74,55.24,77.61,44.97,81.43,45.01,64.2,106.13,554.4,-43.14,-52.29,-40.34,-37.52,4.73,40.44,8.2,37.96,-16.18
1,2006-05-15,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2006-08-14,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2007-03-01,CCC,47.38,83.8,32.3,31.99,41.73,36.93,46.69,44.53,11.66,3.03,-6.63,0.23,-6.39,-2.06,2.98,-3.99,173.42,-28892.13,36.29,47.62,52.54,11.42,-26.96,-82.25,-42.87,-30.69,0.55
4,2007-05-15,CCC,33.9,57.22,16.41,7.27,8.11,17.88,9.47,9.77,24.84,1.53,7.68,8.53,9.97,9.64,6.82,0.79,47.17,-92.78,71.11,110.34,71.22,39.09,-18.77,44.88,-34.24,-40.12,-40.92
5,2007-08-10,CCC,69.74,199.15,45.35,87.2,64.57,44.96,64.13,61.54,-9.31,-28.68,-11.65,-22.33,-0.72,-21.03,7.44,-18.89,-24.01,-22.09,56.67,99.2,77.49,9.3,-38.41,38.56,-14.73,-43.82,-21.73
6,2007-11-14,CCC,31.09,120.46,7.41,46.5,23.8,8.26,24.78,22.19,-10.51,-26.82,-13.22,-26.64,1.09,-24.26,8.82,-13.44,-36.82,2.69,39.42,70.48,56.35,1.17,-35.29,-27.59,-26.69,-36.0,-25.37
7,2008-02-26,CCC,-14.38,37.49,-33.74,0.52,-11.71,-31.47,-8.68,-13.25,-14.82,-33.27,-24.94,-34.11,-1.17,-33.77,12.93,-24.03,-40.13,100.38,69.14,116.0,80.09,27.6,-29.15,-49.52,-42.77,-48.16,-37.66
8,2008-05-15,CCC,-26.25,12.15,-40.47,-11.87,-15.16,-38.05,-11.71,-16.93,-16.33,-36.5,-29.8,-32.46,-9.96,-36.48,10.74,-34.08,-34.75,159.99,43.81,89.61,46.33,6.88,-26.96,-50.17,-18.2,-34.0,-10.78
9,2008-08-11,CCC,-63.45,-66.94,-62.47,-60.44,-57.1,-60.27,-54.59,-56.3,-7.62,-15.46,-12.54,-5.14,-1.09,-6.89,10.11,-22.02,484.02,53.53,11.29,21.56,2.86,8.66,5.62,-64.51,-22.69,5.25,-12.69
10,2008-11-07,CCC,-59.13,-67.14,-56.06,-63.1,-59.56,-54.07,-57.73,-58.02,10.75,9.09,8.63,19.07,15.44,17.38,8.98,-0.45,215.88,-2.91,1.9,3.49,-5.74,7.87,14.44,-4.18,-6.19,13.58,-6.41
11,2009-02-19,CCC,-47.01,-54.08,-41.45,-62.28,-61.11,-40.02,-60.16,-58.51,40.47,41.38,50.52,55.2,13.94,51.26,5.0,37.1,50.73,-3.39,-0.94,-1.6,-5.3,2.27,7.99,-0.24,3.16,12.54,-28.19
12,2009-05-14,CCC,-55.41,-58.11,-52.57,-61.72,-63.52,-50.14,-61.65,-60.7,16.5,32.07,29.97,23.92,-10.13,29.37,1.86,38.69,5.68,2.21,-12.85,-23.16,-8.66,-5.51,3.45,56.31,27.87,104.41,25.55
13,2009-08-24,CCC,-18.63,-8.1,-26.72,-24.42,-27.0,-25.15,-25.43,-25.54,7.65,3.64,0.37,-3.03,-24.91,-3.89,-2.24,7.27,-61.93,-27.8,4.11,8.15,5.53,-1.14,-6.31,70.5,15.02,26.62,9.62
14,2009-11-16,CCC,5.37,35.18,-6.18,40.27,35.11,-6.47,34.69,26.42,-24.87,-33.09,-30.56,-33.15,-43.53,-34.2,-3.4,-30.51,-65.69,-22.31,13.37,27.24,15.27,-0.85,-13.98,188.59,5.12,21.02,-15.19
15,2010-02-25,CCC,15.52,13.07,8.88,63.19,62.4,5.34,57.11,47.59,-29.21,-27.21,-32.93,-33.28,-33.29,-33.27,-2.92,-26.84,-71.49,-46.55,-4.23,-6.84,-3.38,-2.1,1.32,458.86,33.68,56.62,-13.44
