,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006-05-15,CCC,18.87,26.97,19.45,24.94,27.83,24.48,33.22,31.66,-4.85,-8.63,-6.57,-4.45,-7.85,-6.42,-0.77,-10.7,81.17,497.49,18.69,23.57,22.37,9.38,-10.62,-93.46,-34.48,-18.75,40.06
2,2006-08-14,CCC,20.34,24.15,2.62,-12.1,-9.21,2.49,-9.32,-8.5,36.89,25.47,13.04,16.75,9.57,15.4,2.86,21.54,-13.97,-80.33,31.78,43.8,29.48,23.58,-4.56,66.99,-21.61,-22.53,-26.99
3,2007-03-01,CCC,-0.78,9.09,2.66,10.61,9.84,1.27,8.34,7.61,-10.3,-0.09,-6.52,-7.13,-1.16,-4.55,0.42,0.62,34.45,-27423.2,-24.6,-32.33,-15.99,-25.11,-10.85,94.41,10.78,26.83,-2.81
4,2007-05-15,CCC,8.0,8.6,5.1,1.54,-2.49,7.16,-0.58,-0.01,6.38,-9.96,7.75,3.46,8.25,4.76,2.93,-6.25,-2.48,100.15,49.01,76.08,37.35,36.53,-0.61,-46.65,-24.57,-29.81,-17.71
5,2007-08-10,CCC,52.55,136.24,28.13,53.4,38.21,26.04,35.95,34.66,-0.55,-11.87,-7.25,-16.45,-1.08,-16.88,3.45,-2.19,-55.58,112.14,20.65,36.19,34.22,-2.89,-27.64,59.71,1.64,-27.32,-3.28
6,2007-11-14,CCC,-19.8,-21.23,-22.31,-14.96,-16.36,-20.85,-14.79,-15.67,-5.7,-7.7,-7.11,-8.62,-4.49,-8.88,1.76,-6.18,8.49,18.17,2.85,5.06,0.95,1.89,0.92,-56.29,-13.68,-1.09,-3.52
7,2008-02-26,CCC,-35.2,-31.97,-36.67,-24.11,-21.67,-35.89,-20.71,-23.6,-14.62,-8.9,-19.14,-16.59,-3.37,-16.52,4.22,-11.69,27.41,0.27,-8.53,-14.26,-3.24,-5.56,-2.39,35.53,-13.52,2.74,-18.82
8,2008-05-15,CCC,-6.97,-11.41,-5.57,-10.97,-6.3,-3.13,-3.88,-4.25,4.49,-14.31,0.77,6.06,-1.38,0.47,0.94,-18.65,6.27,3.43,26.7,54.56,11.61,14.37,2.47,-47.33,7.82,-10.63,17.77
9,2008-08-11,CCC,-24.4,-30.36,-19.22,-31.14,-30.11,-19.17,-30.08,-29.16,9.8,17.34,15.54,17.35,8.67,21.84,2.86,15.7,297.59,25.27,-6.63,-12.69,-5.65,-1.28,4.64,13.74,-3.94,15.9,-5.34
