,D_DATE,Ticker,Label,Cena / Wartość księgowa,Cena / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROA,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Zadłużenie ogólne,Wskaźnik ogólnej sytuacji finansowej,Płynność gotówkowa,Płynność bieżąca,Pokrycie zobowiązań należnościami
1,2006-05-15,CCC,-1,18.87,19.45,33.22,31.66,-8.63,-7.85,-6.42,-0.77,-10.7,81.17,18.69,9.38,-93.46,-18.75,40.06
2,2006-08-14,CCC,-1,20.34,2.62,-9.32,-8.5,25.47,9.57,15.4,2.86,21.54,-13.97,31.78,23.58,66.99,-22.53,-26.99
3,2007-03-01,CCC,3,-0.78,2.66,8.34,7.61,-0.09,-1.16,-4.55,0.42,0.62,34.45,-24.6,-25.11,94.41,26.83,-2.81
4,2007-05-15,CCC,-1,8.0,5.1,-0.58,-0.01,-9.96,8.25,4.76,2.93,-6.25,-2.48,49.01,36.53,-46.65,-29.81,-17.71
5,2007-08-10,CCC,-1,52.55,28.13,35.95,34.66,-11.87,-1.08,-16.88,3.45,-2.19,-55.58,20.65,-2.89,59.71,-27.32,-3.28
6,2007-11-14,CCC,-1,-19.8,-22.31,-14.79,-15.67,-7.7,-4.49,-8.88,1.76,-6.18,8.49,2.85,1.89,-56.29,-1.09,-3.52
7,2008-02-26,CCC,-1,-35.2,-36.67,-20.71,-23.6,-8.9,-3.37,-16.52,4.22,-11.69,27.41,-8.53,-5.56,35.53,2.74,-18.82
8,2008-05-15,CCC,-1,-6.97,-5.57,-3.88,-4.25,-14.31,-1.38,0.47,0.94,-18.65,6.27,26.7,14.37,-47.33,-10.63,17.77
9,2008-08-11,CCC,0,-24.4,-19.22,-30.08,-29.16,17.34,8.67,21.84,2.86,15.7,297.59,-6.63,-1.28,13.74,15.9,-5.34
10,2008-11-07,CCC,-1,-10.33,-9.04,-20.69,-19.0,19.1,11.47,14.87,0.72,19.76,-41.32,-5.83,1.16,18.02,6.74,3.42
11,2009-02-19,CCC,-1,-15.97,-15.62,-25.28,-24.49,18.07,-4.62,7.57,0.41,21.62,-39.2,-11.08,-10.46,41.11,1.8,-37.71
12,2009-05-14,CCC,-1,-21.71,-23.51,-7.46,-9.31,-19.96,-22.22,-14.07,-2.08,-17.7,-25.49,11.46,5.67,-17.48,62.32,105.9
13,2009-08-24,CCC,-1,37.95,24.81,35.96,34.24,-7.91,-9.2,-9.48,-1.27,-10.51,43.22,11.54,3.29,24.06,-28.21,-17.36
