,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,3.71,7.01,0.39,23.67,18.21,0.71,12.51,7.96,18.53,9.21,4.87,3.77,6.69,4.97,38.67,13.52,95.33,75.28,0.6,1.51,0.82,1.0,1.62,0.18,0.66,1.29,0.43
1,2006-05-15,CCC,4.8,11.37,1.66,31.85,25.04,1.84,21.06,13.2,16.24,5.67,5.59,3.51,6.01,4.94,46.04,9.04,62.26,96.44,0.49,0.96,0.85,1.0,1.45,0.06,0.56,1.2,0.34
2,2006-08-14,CCC,3.97,12.24,1.26,26.4,22.14,1.43,17.6,12.53,11.84,4.73,3.4,2.43,3.69,3.17,44.92,6.55,43.48,81.03,0.49,0.98,0.72,1.05,1.73,0.14,0.69,1.5,0.33
3,2007-03-01,CCC,3.97,7.54,1.34,38.19,27.73,1.42,29.19,17.2,12.22,5.74,4.92,4.11,5.24,5.32,42.54,8.58,36.39,83.78,0.5,0.99,0.75,1.01,1.59,0.18,0.71,1.41,0.44
4,2007-05-15,CCC,5.56,13.24,2.07,42.47,31.13,2.01,30.71,28.18,16.76,6.92,5.35,4.42,4.72,5.5,41.82,9.36,77.5,76.54,0.46,0.86,0.71,1.03,1.51,0.12,0.53,1.6,0.47
5,2007-08-10,CCC,5.81,18.63,2.91,41.82,34.74,2.94,35.91,27.78,18.08,8.28,6.39,5.43,6.01,6.75,44.31,9.75,64.17,73.09,0.44,0.78,0.72,0.91,1.4,0.14,0.74,1.49,0.47
6,2007-11-14,CCC,5.4,14.35,1.86,36.59,32.01,1.86,30.87,23.76,16.4,7.16,7.49,6.37,5.49,7.92,46.06,9.68,48.05,84.82,0.44,0.79,0.68,1.03,1.5,0.17,0.68,1.83,0.46
7,2008-02-26,CCC,3.76,5.22,1.42,26.03,20.98,1.24,16.64,13.68,16.66,7.94,7.8,6.88,7.65,8.05,41.03,9.96,31.78,96.07,0.4,0.68,0.68,1.0,1.48,0.29,0.79,1.77,0.44
8,2008-05-15,CCC,3.31,10.07,1.14,24.21,19.37,1.07,19.42,14.51,16.78,9.32,7.86,6.9,6.17,8.39,44.4,10.56,-1.15,92.73,0.45,0.82,0.77,0.94,1.32,0.19,0.69,1.79,0.45
9,2008-08-11,CCC,2.34,3.4,0.83,20.59,16.64,0.75,16.03,13.39,12.36,5.91,7.16,6.16,6.7,7.87,42.64,8.42,-25.33,93.33,0.48,0.91,0.79,0.98,1.42,0.17,0.66,1.74,0.52
10,2008-11-07,CCC,1.82,3.16,0.55,17.75,13.83,0.53,14.57,10.37,12.55,5.23,4.44,4.04,5.02,5.7,42.64,9.52,25.4,95.75,0.5,1.02,0.79,1.0,1.4,0.14,0.6,1.65,0.39
11,2009-02-19,CCC,1.25,2.4,0.43,15.42,9.93,0.54,11.15,8.13,5.01,1.72,3.97,0.82,5.83,0.83,39.8,6.95,97.96,96.29,0.57,1.36,0.79,0.9,1.26,0.17,0.57,1.5,0.34
12,2009-05-14,CCC,0.87,2.26,0.27,12.36,9.16,0.33,7.36,8.59,1.74,0.48,1.85,0.37,2.09,0.58,38.9,3.17,49.84,98.9,0.58,1.37,0.84,0.91,1.24,0.09,0.52,1.35,0.26
13,2009-08-24,CCC,1.26,3.4,0.29,16.8,12.24,0.39,10.49,4.89,2.36,0.64,1.87,0.28,1.99,-0.09,40.06,2.46,-32.74,99.24,0.56,1.3,0.86,0.91,1.24,0.1,0.47,1.21,0.25
14,2009-11-16,CCC,1.43,4.0,0.37,27.62,18.53,0.44,13.74,7.0,1.48,0.3,0.69,0.2,1.81,-0.21,40.65,0.76,-132.95,54.56,0.54,1.23,0.89,0.91,1.28,0.17,0.58,1.5,0.3
15,2010-02-25,CCC,1.38,4.02,0.49,22.32,14.91,0.51,7.25,10.3,3.78,0.08,2.02,0.07,0.99,1.92,42.36,2.9,27.39,86.67,0.53,1.08,0.88,0.89,1.29,0.2,0.72,1.53,0.28
16,2010-05-13,CCC,1.66,5.17,0.51,27.34,17.65,0.62,10.32,9.66,13.66,2.62,2.16,1.75,1.95,2.56,42.65,2.37,26.43,93.32,0.52,1.11,0.93,1.01,0.97,0.11,0.5,1.49,0.32
17,2010-08-26,CCC,1.59,5.76,0.51,23.44,19.03,0.59,17.22,12.59,7.81,2.72,2.2,1.76,2.27,2.51,41.06,4.73,34.58,84.76,0.56,1.18,1.04,0.98,0.97,0.11,0.5,1.33,0.21
18,2010-11-08,CCC,1.9,5.5,0.59,26.69,17.54,0.84,18.72,11.74,9.06,5.2,2.97,2.23,3.6,3.08,40.18,6.15,54.8,104.45,0.54,1.19,0.91,0.99,1.0,0.12,0.58,1.5,0.25
19,2011-02-17,CCC,1.81,5.01,0.54,22.16,17.43,0.81,19.93,11.11,15.72,7.02,5.62,4.38,5.44,5.6,40.0,6.75,64.05,104.83,0.52,1.2,0.87,0.97,1.17,0.2,0.69,1.55,0.38
20,2011-05-10,CCC,2.41,6.93,0.62,21.45,19.16,0.78,20.42,12.32,13.0,5.76,5.09,3.26,5.11,4.12,40.56,5.69,84.83,103.48,0.53,1.14,0.86,0.99,1.08,0.09,0.54,1.4,0.28
21,2011-08-29,CCC,1.87,6.34,0.54,18.1,13.33,0.76,16.66,10.51,16.22,6.38,4.85,3.87,5.16,4.2,42.64,7.48,67.61,93.93,0.52,1.09,0.88,1.04,1.27,0.13,0.5,1.29,0.32
22,2011-11-10,CCC,1.41,4.67,0.34,15.76,6.5,0.52,10.44,6.39,11.08,4.87,5.4,1.95,5.15,2.4,45.74,6.92,48.2,59.54,0.54,1.18,0.86,1.05,1.26,0.07,0.56,1.38,0.31
23,2012-02-20,CCC,1.21,3.57,0.36,13.96,6.8,0.52,8.85,5.22,9.49,3.36,5.71,1.62,5.83,2.35,44.08,6.25,51.08,65.9,0.58,1.43,0.81,0.99,1.35,0.15,0.52,1.46,0.42
24,2012-05-10,CCC,1.76,4.67,0.42,13.74,10.84,0.56,11.9,7.39,11.2,3.68,4.16,2.07,4.2,2.86,44.09,5.24,31.67,58.14,0.53,1.15,0.85,1.05,1.33,0.14,0.5,1.4,0.35
25,2012-08-29,CCC,1.49,4.07,0.37,15.74,12.26,0.51,13.29,10.06,8.78,3.38,3.42,1.87,4.0,2.46,41.94,4.74,29.02,71.51,0.53,1.13,0.86,1.03,1.24,0.15,0.47,1.3,0.24
26,2012-11-08,CCC,1.34,5.02,0.32,13.47,8.24,0.47,10.24,11.31,8.03,3.54,3.34,2.98,4.22,3.2,40.84,4.57,33.94,86.32,0.49,1.07,0.85,0.98,1.27,0.14,0.47,1.33,0.33
27,2013-02-20,CCC,1.31,4.93,0.36,18.11,6.66,0.44,10.16,6.74,7.86,2.43,4.36,1.94,4.34,2.21,43.83,5.5,58.42,36.06,0.53,1.35,0.89,0.94,1.23,0.16,0.59,1.53,0.34
28,2013-05-09,CCC,1.46,4.61,0.45,20.15,9.95,0.55,11.81,7.88,9.69,3.72,4.74,1.82,4.7,1.72,42.36,6.3,53.55,111.13,0.49,1.06,0.84,0.97,1.26,0.07,0.52,1.43,0.32
29,2013-08-29,CCC,1.66,8.19,0.47,12.04,9.02,0.57,9.87,8.15,11.09,4.06,4.83,2.88,4.76,2.82,41.38,6.51,74.18,75.38,0.49,1.03,0.89,1.01,1.16,0.07,0.49,1.4,0.29
30,2013-11-07,CCC,1.72,5.67,0.55,13.73,9.85,0.58,11.1,9.35,14.33,5.81,4.76,3.28,4.89,4.06,41.66,6.39,68.81,61.21,0.52,1.15,0.89,0.98,1.15,0.11,0.46,1.42,0.28
31,2014-02-20,CCC,1.54,6.45,0.47,12.71,12.69,0.54,12.96,9.65,14.7,5.99,5.08,3.74,5.1,4.71,43.18,6.35,81.93,83.71,0.52,1.22,0.87,0.97,1.16,0.17,0.61,1.42,0.37
32,2014-05-07,CCC,1.43,8.12,0.43,12.87,9.3,0.56,11.59,8.9,14.21,5.99,4.72,3.54,4.48,4.27,40.82,6.38,60.26,96.7,0.56,1.3,0.87,0.96,1.17,0.08,0.47,1.39,0.37
33,2014-08-27,CCC,1.36,6.54,0.46,11.41,9.42,0.58,10.78,7.4,15.43,6.13,6.55,4.77,6.32,5.62,41.18,5.92,75.9,95.74,0.57,1.32,0.87,0.97,1.24,0.09,0.45,1.32,0.32
