,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,33.72,59.12,-69.43,20.89,23.27,-42.3,-17.6,-35.27,12.37,-19.35,-49.48,-49.46,-33.83,-45.38,8.11,-17.26,25.5,-33.0,56.79,141.83,28.17,-0.72,-4.52,19.44,-13.51,-21.05,-18.8
1,2006-05-15,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2006-08-14,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2007-03-01,CCC,6.98,7.57,246.43,61.35,52.26,100.23,133.39,116.21,-34.05,-37.62,1.03,9.02,-21.67,6.94,10.01,-36.54,-61.83,11.29,-17.39,-34.46,-8.2,1.29,-1.7,0.14,6.76,9.73,3.7
4,2007-05-15,CCC,15.72,16.48,24.88,33.31,24.31,9.2,45.8,113.57,3.2,22.05,-4.29,25.93,-21.46,11.34,-9.16,3.54,24.48,-20.63,-5.2,-9.87,-16.75,3.18,4.47,87.8,-4.13,32.8,37.88
5,2007-08-10,CCC,46.43,52.22,131.71,58.42,56.9,105.12,104.04,121.71,52.7,75.05,87.94,123.46,62.65,112.93,-1.36,48.85,47.6,-9.8,-11.23,-20.14,-0.78,-13.23,-19.4,1.88,6.61,-0.25,42.91
6,2007-11-14,CCC,23.59,15.63,35.33,-13.81,2.48,27.93,4.4,12.11,132.62,57.36,141.22,203.33,66.11,184.38,2.07,57.78,1026.71,-0.73,-2.99,-11.49,-12.85,-0.39,12.03,84.2,36.83,9.44,41.25
7,2008-02-26,CCC,-5.09,-30.81,6.02,-31.83,-24.34,-12.19,-43.01,-20.48,36.33,38.21,58.54,67.4,45.99,51.46,-3.55,16.08,-12.67,14.67,-18.83,-31.87,-10.33,-1.25,-6.73,58.55,12.4,25.78,-0.62
8,2008-05-15,CCC,-40.39,-23.96,-45.17,-43.0,-37.78,-46.62,-36.76,-48.53,0.12,34.61,46.82,56.22,30.72,52.55,6.16,12.87,-101.48,21.15,-2.75,-4.61,8.49,-8.75,-12.89,60.69,28.32,11.92,-4.25
9,2008-08-11,CCC,-59.67,-81.77,-71.61,-50.76,-52.11,-74.48,-55.35,-51.81,-31.64,-28.62,12.05,13.44,11.48,16.59,-3.76,-13.64,-139.47,27.69,8.73,16.67,10.2,7.59,1.49,20.04,-10.75,16.76,11.38
10,2008-11-07,CCC,-66.33,-77.95,-70.49,-51.48,-56.81,-71.56,-52.79,-56.36,-23.48,-26.96,-40.72,-36.58,-8.56,-28.03,-7.45,-1.65,-47.14,12.89,14.49,29.27,14.94,-2.54,-6.46,-19.93,-12.36,-9.9,-15.16
11,2009-02-19,CCC,-66.87,-53.99,-69.38,-40.78,-52.68,-56.31,-32.96,-40.56,-69.93,-78.34,-49.1,-88.08,-23.79,-89.69,-2.99,-30.22,208.24,0.23,40.93,100.75,17.23,-10.32,-14.81,-42.62,-28.3,-15.23,-23.56
12,2009-05-14,CCC,-73.62,-77.6,-76.48,-48.95,-52.73,-69.53,-62.08,-40.76,-89.63,-94.85,-76.45,-94.64,-66.13,-93.09,-12.4,-70.0,4433.91,6.65,28.13,65.86,8.94,-3.16,-5.87,-52.75,-23.93,-24.43,-41.92
13,2009-08-24,CCC,-46.26,-0.04,-64.37,-18.41,-26.44,-47.98,-34.57,-63.47,-80.91,-89.17,-73.88,-95.45,-70.3,-101.14,-6.07,-70.78,-29.25,6.33,18.38,42.25,8.53,-6.46,-12.66,-42.09,-29.45,-30.88,-52.0
14,2009-11-16,CCC,-21.61,26.37,-33.55,55.6,34.03,-16.62,-5.71,-32.51,-88.21,-94.26,-84.46,-95.05,-63.94,-103.68,-4.66,-92.02,-623.43,-43.02,7.47,20.36,12.89,-8.62,-8.84,24.46,-2.46,-9.22,-23.55
15,2010-02-25,CCC,10.51,67.47,12.05,44.78,50.18,-5.61,-35.03,26.71,-24.55,-95.35,-49.12,-91.46,-83.02,131.33,6.41,-58.27,-72.04,-9.99,-6.33,-20.62,11.21,-0.35,2.34,19.72,26.4,1.42,-15.17
