,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
0,2006-02-28,CCC,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2006-05-15,CCC,29.51,62.21,329.4,34.59,37.51,159.47,68.38,65.89,-12.36,-38.44,14.78,-6.9,-10.16,-0.6,19.06,-33.14,-34.69,28.11,-18.75,-36.74,4.02,0.17,-10.45,-66.41,-15.76,-6.35,-20.66
2,2006-08-14,CCC,-17.4,7.65,-24.28,-17.13,-11.59,-21.89,-16.43,-5.04,-27.09,-16.58,-39.18,-30.77,-38.52,-35.83,-2.43,-27.54,-30.17,-15.98,1.16,2.23,-15.55,4.42,19.9,129.35,24.42,24.45,-3.17
3,2007-03-01,CCC,-9.22,-39.23,-2.85,-10.05,-11.23,-2.42,-1.27,-18.84,73.33,26.26,58.45,95.71,58.55,90.84,-5.74,39.85,801.83,-1.94,9.33,11.38,-3.89,-1.58,18.62,95.68,41.51,-15.82,35.5
4,2007-05-15,CCC,40.08,75.64,54.79,11.2,12.27,41.51,5.19,63.86,37.15,20.45,8.74,7.54,-9.92,3.48,-1.68,9.09,112.97,-8.64,-6.76,-13.0,-5.67,2.04,-4.84,-37.01,-24.35,13.33,5.49
5,2007-08-10,CCC,4.53,40.68,40.49,-1.52,11.58,46.72,16.95,-1.42,7.88,19.65,19.44,22.85,27.33,22.73,5.94,4.17,-17.2,-4.51,-5.29,-9.41,0.65,-12.2,-7.49,24.42,38.35,-6.52,0.36
6,2007-11-14,CCC,-7.02,-22.99,-35.94,-12.5,-7.85,-36.85,-14.04,-14.49,-9.29,-13.53,17.21,17.31,-8.65,17.33,3.96,-0.72,-25.12,16.04,0.48,0.83,-4.49,12.95,7.28,20.11,-7.61,22.72,-1.54
7,2008-02-26,CCC,-30.29,-63.64,-23.89,-28.85,-34.46,-33.02,-46.11,-42.43,1.59,10.89,4.14,8.01,39.34,1.64,-10.93,2.89,-33.86,13.27,-8.53,-14.26,-1.11,-2.43,-1.25,68.42,16.23,-3.25,-4.67
8,2008-05-15,CCC,-12.01,93.05,-19.96,-7.02,-7.68,-13.98,16.72,6.06,0.72,17.32,0.71,0.36,-19.35,4.22,8.21,6.07,-103.62,-3.48,11.71,21.8,14.12,-5.71,-11.12,-36.15,-13.63,0.84,1.64
9,2008-08-11,CCC,-29.28,-66.27,-27.24,-14.94,-14.11,-29.85,-17.42,-7.71,-26.34,-36.55,-8.85,-10.79,8.59,-6.2,-3.95,-20.3,-2102.61,0.65,5.89,10.8,2.24,3.53,7.78,-7.06,-3.77,-2.47,16.75
10,2008-11-07,CCC,-22.38,-6.88,-33.42,-13.78,-16.89,-29.63,-9.11,-22.56,1.54,-11.51,-37.99,-34.42,-25.07,-27.57,-0.02,13.06,200.28,2.59,5.8,11.72,-0.38,2.32,-1.13,-19.88,-9.28,-5.3,-25.0
11,2009-02-19,CCC,-31.41,-24.12,-21.04,-13.15,-28.19,2.9,-23.47,-21.59,-60.08,-67.11,-10.59,-79.7,16.14,-85.44,-6.64,-27.0,285.67,0.56,12.6,33.15,0.87,-10.23,-10.06,20.69,-4.9,-8.97,-14.11
12,2009-05-14,CCC,-29.94,-6.04,-38.51,-19.85,-7.78,-40.01,-33.98,5.72,-65.27,-72.09,-53.4,-54.88,-64.15,-30.12,-2.29,-54.39,-49.12,2.71,1.57,0.63,6.04,1.83,-1.78,-47.42,-8.37,-10.12,-22.77
13,2009-08-24,CCC,44.09,50.55,10.22,35.95,33.67,19.75,42.48,-43.09,35.63,33.33,1.08,-24.32,-4.78,-115.52,2.98,-22.4,-165.69,0.34,-2.16,-4.98,1.86,0.0,0.0,13.91,-10.76,-10.79,-3.51
14,2009-11-16,CCC,13.22,17.72,24.16,64.42,51.42,12.8,30.99,43.07,-37.29,-53.12,-63.1,-28.57,-9.05,-133.33,1.49,-69.11,-306.08,-45.02,-3.95,-5.47,3.62,-0.04,3.2,72.17,25.43,24.37,19.44
15,2010-02-25,CCC,-3.31,0.56,33.14,-19.19,-19.54,16.48,-47.27,47.2,155.41,-73.33,192.75,-65.0,-45.3,1014.29,4.19,281.58,120.6,58.85,-1.86,-12.19,-0.64,-2.09,0.97,16.1,23.24,1.7,-4.69
16,2010-05-13,CCC,20.82,28.68,5.61,22.47,18.38,21.73,42.38,-6.18,261.38,3175.0,6.93,2400.0,96.97,33.33,0.7,-18.28,-3.5,7.68,-2.33,3.2,5.55,12.44,-25.02,-45.52,-30.97,-2.45,11.52
17,2010-08-26,CCC,-4.39,11.28,0.19,-14.28,7.77,-5.7,66.94,30.31,-42.83,3.82,1.85,0.57,16.41,-1.95,-3.74,99.58,30.84,-9.17,8.13,5.79,12.23,-2.07,0.0,-1.01,0.0,-10.32,-34.47
18,2010-11-08,CCC,19.27,-4.43,15.52,13.88,-7.83,43.36,8.66,-6.78,16.01,91.18,35.0,26.7,58.59,22.71,-2.14,30.02,58.47,23.22,-3.41,1.06,-12.7,0.87,3.19,10.12,16.6,12.4,21.11
19,2011-02-17,CCC,-4.42,-8.94,-9.21,-16.98,-0.63,-3.93,6.51,-5.32,73.57,34.9,89.23,96.41,51.25,81.98,-0.45,9.76,16.89,0.36,-3.86,0.89,-4.94,-1.91,17.4,68.13,19.45,3.45,50.75
20,2011-05-10,CCC,32.95,38.27,14.56,-3.2,9.94,-3.98,2.41,10.88,-17.33,-17.89,-9.43,-25.57,-6.15,-26.49,1.4,-15.7,32.43,-1.29,0.6,-5.27,-0.38,1.16,-7.8,-52.81,-21.62,-9.47,-27.58
21,2011-08-29,CCC,-22.68,-8.47,-12.03,-15.61,-30.43,-2.48,-18.38,-14.74,24.77,10.76,-4.72,18.71,0.98,1.94,5.14,31.46,-20.3,-9.23,-1.62,-3.72,2.09,5.99,17.2,36.24,-7.07,-8.08,14.65
22,2011-11-10,CCC,-24.25,-26.34,-38.23,-12.94,-51.24,-31.73,-37.32,-39.14,-31.69,-23.67,11.34,-49.61,-0.19,-42.86,7.27,-7.49,-28.71,-36.61,4.68,7.77,-2.72,0.44,-0.83,-48.52,11.56,6.55,-0.29
23,2012-02-20,CCC,-14.33,-23.57,7.63,-11.43,4.62,-0.47,-15.23,-18.29,-14.35,-31.01,5.74,-16.92,13.2,-2.08,-3.63,-9.68,5.98,10.68,7.1,21.38,-5.38,-5.95,7.27,123.94,-7.81,5.82,34.83
24,2012-05-10,CCC,45.04,30.78,14.84,-1.56,59.4,8.55,34.37,41.35,17.97,9.67,-27.06,27.78,-28.04,21.49,0.02,-16.24,-38.0,-11.78,-8.01,-19.88,4.2,6.14,-1.52,-2.74,-3.76,-4.1,-17.36
25,2012-08-29,CCC,-14.99,-12.77,-10.53,14.57,13.09,-9.3,11.73,36.25,-21.57,-8.14,-18.01,-9.66,-4.53,-13.84,-4.87,-9.36,-8.35,23.0,-0.79,-1.5,1.25,-1.31,-6.57,5.98,-5.83,-6.88,-31.64
26,2012-11-08,CCC,-10.23,23.26,-12.91,-14.42,-32.81,-6.8,-22.95,12.44,-8.54,4.73,-2.34,59.63,5.49,29.88,-2.63,-3.79,16.92,20.7,-6.78,-5.07,-1.12,-4.79,2.69,-6.24,0.33,2.62,36.31
27,2013-02-20,CCC,-2.48,-1.81,12.65,34.42,-19.1,-6.14,-0.84,-40.46,-2.05,-31.45,30.58,-34.84,2.6,-30.83,7.32,20.37,72.15,-58.22,7.07,26.09,5.4,-4.78,-3.17,9.42,24.9,14.34,5.33
28,2013-05-09,CCC,11.75,-6.5,23.86,11.24,49.38,23.03,16.27,16.99,23.2,53.09,8.73,-6.43,8.3,-22.4,-3.35,14.74,-8.34,208.18,-7.64,-21.43,-5.51,3.26,1.89,-57.1,-11.84,-6.05,-6.54
29,2013-08-29,CCC,13.71,77.8,3.5,-40.26,-9.36,3.95,-16.41,3.36,14.45,9.14,2.11,58.24,1.28,64.72,-2.31,3.25,38.53,-32.17,0.32,-3.4,5.17,3.91,-7.78,9.32,-5.66,-2.27,-11.16
30,2013-11-07,CCC,3.6,-30.76,16.94,14.06,9.23,1.32,12.48,14.78,29.22,43.1,-1.45,13.89,2.84,43.89,0.68,-1.84,-7.25,-18.8,7.16,12.04,-0.02,-2.78,-0.54,47.2,-6.49,1.12,-1.21
31,2014-02-20,CCC,-10.23,13.65,-14.19,-7.42,28.78,-6.8,16.77,3.17,2.58,3.1,6.61,14.18,4.29,15.87,3.65,-0.7,19.08,36.76,0.13,6.41,-1.79,-0.49,0.26,62.0,32.36,0.13,31.65
