Date,Open,High,Low,Close,Volume
2005-06-22,4.48147,4.48147,4.31749,4.3899,93366.550919633
2005-06-23,4.31749,4.3416,4.17772,4.24527,44657.74228094
2005-06-24,4.20183,4.22107,4.15343,4.22107,5902.577160096
2005-06-27,4.20183,4.24527,4.20183,4.24527,42758.22530576
2005-06-28,4.29339,4.29339,4.29339,4.29339,28516.757714127
2005-06-29,4.31749,4.3416,4.31749,4.31749,9464.8533944238
2005-06-30,4.26938,4.36589,4.26938,4.29339,12705.270060872
2005-07-01,4.29339,4.43344,4.29339,4.43344,17791.742282751
2005-07-04,4.4141,4.43344,4.4141,4.43344,10109.663579566
2005-07-05,4.43344,4.55396,4.43344,4.50566,108735.07252353
2005-07-06,4.48147,4.52977,4.48147,4.50566,73135.222217294
2005-07-07,4.43344,4.50566,4.43344,4.50566,24242.026232934
2005-07-08,4.50566,4.52977,4.50566,4.50566,96581.873450281
2005-07-11,4.43344,4.43344,4.43344,4.43344,7135.462962482
2005-07-12,4.43344,4.48147,4.43344,4.43344,8923.6929006331
2005-07-13,4.48147,4.48147,4.43344,4.45745,6927.0725303973
2005-07-14,4.48147,4.48147,4.45745,4.48147,61254.785489699
2005-07-15,4.48147,4.50566,4.48147,4.50566,11131.976851102
2005-07-18,4.50566,4.50566,4.45745,4.50566,78712.666661361
2005-07-19,4.45745,4.50566,4.43344,4.48147,12127.013888071
2005-07-20,4.50566,4.52977,4.48147,4.50566,17093.47067786
2005-07-21,4.50566,4.55396,4.43344,4.55396,161021.43208792
2005-07-22,4.55396,4.57807,4.50566,4.50566,26414.305553775
2005-07-25,4.52977,4.52977,4.52977,4.52977,7431.1373451782
2005-07-26,4.52977,4.52977,4.50566,4.50566,77876.922834257
2005-07-27,4.50566,4.57807,4.50566,4.57807,115393.7469058
2005-07-28,4.52977,4.52977,4.50566,4.50566,27422.435183337
2005-07-29,4.55396,4.55396,4.52977,4.52977,558.61728391297
2005-08-01,4.55396,4.55396,4.45745,4.50566,3967.0555552882
2005-08-02,4.48147,4.52977,4.48147,4.52977,1165.2407406622
2005-08-03,4.52977,4.55396,4.45745,4.55396,2785.4490738863
2005-08-04,4.45745,4.52977,4.45745,4.52977,896.84259253215
2005-08-05,4.50566,4.55396,4.50566,4.55396,22267.226850351
2005-08-08,4.55396,4.55396,4.50566,4.55396,2508.3225306951
2005-08-09,4.50566,4.50566,4.50566,4.50566,1782.7746912379
2005-08-10,4.50566,4.50566,4.50566,4.50566,1885.3333332063
2005-08-11,4.50566,4.50566,4.50566,4.50566,8895.3256166844
2005-08-12,4.50566,4.50566,4.50566,4.50566,70657.449069312
2005-08-16,4.50566,4.52977,4.50566,4.52977,8640.0200611461
2005-08-17,4.52977,4.64552,4.52977,4.64552,156907.08486597
2005-08-18,4.66973,4.88191,4.66973,4.71803,105190.25307933
2005-08-19,4.81436,4.85789,4.74204,4.83864,14914.645060723
2005-08-22,4.83864,5.28711,4.83864,5.28711,152521.06634775
2005-08-23,5.28711,5.28711,5.05082,5.07017,36506.512343219
2005-08-24,5.00252,5.07017,4.97841,5.00252,25364.716047673
2005-08-25,4.97841,5.07017,4.95432,5.02663,11747.328702912
2005-08-26,4.95432,5.05082,4.95432,4.97841,8101.0416661207
2005-08-29,4.76633,5.00252,4.76633,4.95432,33593.410491563
2005-08-30,4.97841,5.02663,4.95432,5.00252,20358.981480109
2005-08-31,5.00252,5.02663,4.95432,4.95432,70787.283945846
2005-09-01,4.95432,4.97841,4.79025,4.97841,97594.367277373
2005-09-02,4.88191,4.97841,4.85789,4.85789,25312.345677306
2005-09-05,4.85789,5.05082,4.85789,5.00252,127024.33332477
2005-09-06,5.00252,5.00252,4.83864,4.83864,75547.532402316
2005-09-07,4.95432,5.00252,4.79025,4.97841,49600.195984311
2005-09-08,5.00252,5.05082,4.95432,4.95432,30554.837960903
2005-09-09,4.95432,5.00252,4.93021,4.93021,6750.3225304092
2005-09-12,4.95432,5.05082,4.88191,5.00252,6249.5308637763
2005-09-13,5.00252,5.00252,4.95432,4.97841,11445.10802392
2005-09-14,4.95432,5.00252,4.95432,5.00252,3645.1959874086
2005-09-15,4.88191,5.00252,4.88191,5.00252,16184.626542119
2005-09-16,5.00252,5.00252,4.97841,5.00252,4686.0570984496
2005-09-19,4.95432,5.09427,4.95432,5.09427,107271.97530142
2005-09-20,5.07017,5.07017,5.05082,5.05082,2987.2932096752
2005-09-21,4.95432,5.02663,4.95432,5.02663,4484.2129626607
2005-09-22,4.95432,5.00252,4.95432,5.00252,4387.1095676056
2005-09-23,4.95432,5.00252,4.85789,4.95432,287962.84565961
2005-09-26,4.9061,5.00252,4.9061,5.00252,100703.8580179
2005-09-27,4.95432,4.95432,4.79025,4.83864,137878.0925833
2005-09-28,4.85789,4.85789,4.81436,4.81436,43713.984564955
2005-09-29,4.81436,4.81436,4.76633,4.76633,1507.830246812
2005-09-30,4.76633,4.79025,4.74204,4.79025,3399.7098763141
2005-10-03,4.76633,4.76633,4.62628,4.76633,222147.47375046
2005-10-04,4.71803,4.74204,4.66973,4.71803,18158.334875319
2005-10-05,4.69392,4.71803,4.69392,4.71803,11988.450616476
