Date,Open,High,Low,Close,Volume
2016-06-06,2.32199,2.32199,2.28344,2.29301,10472.082051318
2016-06-07,2.34123,2.40867,2.29301,2.31233,3212.7224919715
2016-06-08,2.40867,2.40867,2.32199,2.399,949.67912948266
2016-06-09,2.49545,2.50501,2.34123,2.34123,37824.275231531
2016-06-10,2.40867,2.40867,2.33156,2.36055,6512.5245157726
2016-06-13,2.36055,2.56289,2.36055,2.43766,23516.595919391
2016-06-14,2.45689,2.49545,2.44723,2.49545,7478.5950865409
2016-06-15,2.6978,2.6978,2.52434,2.54357,14228.795500954
2016-06-16,2.78447,2.78447,2.61102,2.61102,15960.141486742
2016-06-17,2.61102,2.66881,2.54357,2.66881,4634.6800234946
2016-06-20,2.88082,3.03495,2.71703,2.7266,27259.991322982
2016-06-21,2.88082,2.88082,2.71703,2.8326,9234.5282342575
2016-06-22,2.8326,3.08317,2.79405,3.02529,147289.39353181
2016-06-23,3.06384,3.25653,2.88082,2.93852,252285.7951516
2016-06-24,2.6978,2.82303,2.60136,2.78447,135330.8126489
2016-06-27,2.87116,2.88082,2.78447,2.87116,78279.376789396
2016-06-28,2.87116,2.88082,2.74582,2.80371,65383.410357974
2016-06-29,3.0735,3.0735,2.84226,2.99639,66527.737852723
2016-06-30,3.05418,3.05418,2.94828,2.99639,13920.43151177
2016-07-01,3.03495,3.03495,2.90005,2.97717,6701.0260905567
2016-07-04,2.91928,2.97717,2.79405,2.85182,15583.138337174
2016-07-05,2.89048,2.89048,2.80371,2.84226,4322.2181739885
2016-07-06,2.88082,2.88082,2.74582,2.78447,9958.8250460636
2016-07-07,2.82303,2.82303,2.70736,2.77481,11015.048543902
2016-07-08,2.77481,2.89048,2.74582,2.86149,27891.061812477
2016-07-11,2.86149,3.02529,2.86149,3.01573,614329.70561645
2016-07-12,3.00606,3.08317,2.98673,3.04462,252042.99692755
2016-07-13,3.06384,3.17941,3.00606,3.17941,330687.08328555
2016-07-14,3.17941,3.4011,3.17941,3.35287,465246.47372895
2016-07-15,3.36254,3.3721,3.25653,3.28542,110467.04514885
2016-07-18,3.28542,3.33365,3.24686,3.32398,90174.440837317
2016-07-19,3.33365,3.33365,3.25653,3.25653,87654.256739661
2016-07-20,3.25653,3.31432,3.19874,3.31432,301723.40653395
2016-07-21,3.27586,3.30475,3.17941,3.24686,123275.93204844
2016-07-22,3.24686,3.31432,3.22763,3.30475,66555.398409893
2016-07-25,3.28542,3.29509,3.22763,3.29509,83052.359598738
2016-07-26,3.29509,3.29509,3.22763,3.27586,26851.229755923
2016-07-27,3.27586,3.27586,3.22763,3.26619,252674.06741705
2016-07-28,3.22763,3.27586,3.22763,3.27586,104705.45353697
2016-07-29,3.27586,3.39143,3.2373,3.3721,518315.81382114
2016-08-01,3.35287,3.44921,3.35287,3.41076,23666.16782112
2016-08-02,3.42032,3.43955,3.3721,3.41076,50727.412918516
2016-08-03,3.39143,3.41076,3.3721,3.38177,46660.286549533
2016-08-04,3.42032,3.43955,3.38177,3.43955,24669.119134781
2016-08-05,3.42032,3.66123,3.42032,3.65167,164099.84103523
2016-08-08,3.70935,3.70935,3.59377,3.61302,43444.490662321
2016-08-09,3.61302,3.6419,3.42998,3.58411,91551.321905306
2016-08-10,3.58411,3.61302,3.55522,3.60343,59934.280595603
2016-08-11,3.63224,3.63224,3.59377,3.60343,31767.637676513
