Date,Open,High,Low,Close,Volume
2005-01-10,6.93955,7.32533,6.63698,6.71888,439309.30326383
2005-01-11,6.66413,6.82855,6.44347,6.66413,104729.73534451
2005-01-12,6.44347,6.69182,6.30603,6.6086,75159.400230991
2005-01-13,6.6086,6.85694,6.6086,6.82855,69454.953751039
2005-01-14,6.82855,6.93955,6.63698,6.93955,35644.566750056
2005-01-17,6.88401,6.93955,6.82855,6.91186,54992.497473569
2005-01-18,6.91186,7.15959,6.88401,7.04912,65833.100975042
2005-01-19,7.04912,7.10405,7.04912,7.04912,55694.635546962
2005-01-20,7.04912,7.04912,7.04912,7.04912,39755.307263745
2005-01-24,7.04912,7.04912,6.82855,6.93955,16110.609137953
2005-01-25,6.66413,6.93955,6.66413,6.93955,1568.7511397444
2005-01-26,6.82855,6.88401,6.82855,6.88401,21565.507352726
2005-01-27,6.71888,6.93955,6.69182,6.93955,9793.6350980135
2005-01-28,6.77372,6.93955,6.77372,6.93955,27943.734148663
2005-01-31,6.88401,6.96661,6.88401,6.96661,2191.4874923977
2005-02-01,6.82855,7.04912,6.82855,7.04912,9449.9390782431
2005-02-02,6.93955,7.04912,6.93955,7.04912,25719.351657674
2005-02-03,6.96661,7.04912,6.96661,7.04912,25838.454238783
2005-02-04,6.91186,7.04912,6.91186,7.04912,9767.5459611993
2005-02-07,7.04912,7.04912,7.02215,7.04912,18904.415397671
2005-02-08,7.04912,7.04912,7.04912,7.04912,5444.6894221063
2005-02-09,7.04912,7.04912,7.04912,7.04912,62776.134726588
2005-02-10,7.04912,7.04912,7.04912,7.04912,4727.8053148622
2005-02-11,7.07628,7.07628,7.07628,7.07628,9901.3945761594
2005-02-14,6.99447,6.99447,6.99447,6.99447,2806.2836729772
2005-02-15,7.02215,7.04912,7.02215,7.04912,462.79860087903
2005-02-16,7.04912,7.15959,7.04912,7.15959,30142.02750284
2005-02-17,7.26988,7.26988,6.99447,7.10405,4776.5806576019
2005-02-18,6.96661,7.15959,6.93955,7.15959,1453.0514895246
2005-02-21,6.99447,6.99447,6.99447,6.99447,231.39930043951
2005-02-22,6.99447,6.99447,6.99447,6.99447,3632.0615686634
2005-02-23,7.07628,7.07628,7.07628,7.07628,3632.0615686634
2005-02-24,6.93955,7.10405,6.80149,7.10405,11445.190889386
2005-02-25,7.15959,7.15959,7.13182,7.15959,9077.8853010658
2005-02-28,6.99447,7.15959,6.88401,7.15959,12765.528074246
2005-03-01,6.99447,7.15959,6.82855,7.15959,64966.48790869
2005-03-02,7.18728,7.18728,7.15959,7.15959,8474.4322234491
2005-03-03,6.99447,7.15959,6.99447,7.15959,3103.4729706005
2005-03-04,7.07628,7.21442,7.07628,7.21442,276.7717122904
2005-03-07,7.15959,7.15959,7.15959,7.15959,18156.904912428
2005-03-09,6.99447,7.10405,6.99447,7.10405,1453.0514895246
2005-03-14,6.93955,7.10405,6.93955,7.10405,2269.7549028405
2005-03-16,6.96661,6.99447,6.6086,6.99447,6264.795766311
2005-03-17,6.82855,6.96661,6.66413,6.66413,5162.2461583345
2005-03-21,6.71888,6.71888,6.71888,6.71888,2724.6133316457
2005-03-22,6.71888,6.71888,6.71888,6.71888,98.684995775676
2005-03-23,6.58144,6.71888,6.58144,6.71888,17427.543391925
2005-03-24,6.58144,6.71888,6.58144,6.71888,18340.663180424
2005-03-29,6.58144,6.58144,6.58144,6.58144,1271.561842121
2005-03-30,6.47045,6.52599,6.38856,6.52599,36625.74515633
2005-03-31,6.55376,6.6086,6.55376,6.6086,1508.6326940419
2005-04-05,6.47045,6.47045,6.47045,6.47045,1271.561842121
2005-04-11,6.3331,6.3331,6.19574,6.3331,2977.5645277144
2005-04-12,6.44347,6.44347,6.44347,6.44347,909.71685761025
2005-04-14,6.3331,6.3331,6.3331,6.3331,817.8377236122
2005-04-15,6.41633,6.47045,6.41633,6.47045,25544.667872048
2005-04-18,6.44347,6.44347,6.19574,6.19574,1760.4495798144
2005-04-19,6.19574,6.19574,6.19574,6.19574,618.19911146831
2005-04-22,6.3331,6.3331,6.3331,6.3331,3088.726936749
2005-04-26,6.19574,6.19574,6.16798,6.19574,47588.8541698
2005-04-27,6.05786,6.16798,5.94794,6.08563,11883.034663747
2005-05-02,5.94794,5.94794,5.94794,5.94794,313.06964177111
2005-05-04,5.94794,5.94794,5.94794,5.94794,533.1258392479
2005-05-09,6.08563,6.47045,6.05786,6.11331,30658.138687643
2005-05-10,6.11331,6.19574,6.08563,6.19574,1998.6547420314
2005-05-13,6.05786,6.05786,6.05786,6.05786,145.19171792284
2005-05-17,5.92061,5.92061,5.92061,5.92061,145.19171792284
2005-05-18,5.81031,6.00321,5.78299,5.89274,5621.6418283247
2005-05-19,6.00321,6.00321,6.00321,6.00321,90.74482370177
2005-05-20,5.86541,6.25041,5.86541,6.03027,3961.0115545823
2005-05-23,6.16798,6.27888,6.05786,6.05786,20796.444971853
2005-05-25,6.16798,6.16798,6.03027,6.03027,326.68136532638
2005-05-27,6.16798,6.16798,6.16798,6.16798,8285.0024039717
2005-05-30,6.16798,6.27888,6.16798,6.27888,17255.128226891
2005-05-31,6.27888,6.49883,6.27888,6.49883,1037.893921089
2005-06-03,6.41633,6.41633,6.36158,6.36158,1924.9245727738
2005-06-06,6.27888,6.36158,6.27888,6.36158,18457.497140941
2005-06-07,6.27888,6.36158,6.27888,6.36158,3813.5512160669
2005-06-08,6.27888,6.27888,6.25041,6.27888,14617.856788059
2005-06-10,6.27888,6.41633,6.27888,6.41633,8091.0353433091
2005-06-13,6.44347,6.71888,6.27888,6.71888,6133.2157719434
2005-06-14,6.27888,6.38856,6.27888,6.38856,926.73151205433
2005-06-16,6.27888,6.27888,6.25041,6.25041,1813.7621637392
2005-06-20,6.25041,6.25041,6.19574,6.25041,11078.80866369
2005-06-21,6.19574,6.30603,6.16798,6.30603,3848.7148352513
2005-06-22,6.19574,6.19574,6.16798,6.19574,4630.2546293828
2005-06-23,6.19574,6.19574,6.19574,6.19574,1180.8170184193
2005-06-24,6.08563,6.16798,6.08563,6.16798,1769.5240621846
2005-06-27,6.16798,6.16798,6.16798,6.16798,95.282064886859
2005-06-28,6.16798,6.16798,6.16798,6.16798,13437.03976964
2005-06-29,6.19574,6.30603,6.19574,6.30603,11472.414336496
2005-06-30,6.25041,6.30603,6.25041,6.30603,6938.5760822966
2005-07-04,6.16798,6.27888,6.16798,6.27888,2495.4826517987
2005-07-05,6.30603,6.41633,6.30603,6.41633,360.71067421454
2005-07-08,6.55376,6.55376,6.55376,6.55376,45.372411850886
