Date,Open,High,Low,Close,Volume
1995-05-25,2.99902,2.99902,2.99902,2.99902,1058670.9159152
1995-05-26,2.99902,2.99902,2.99902,2.99902,829100.74084588
1995-05-29,3.06224,3.06224,3.06224,3.06224,677288.36446853
1995-05-30,2.7624,2.7624,2.7624,2.7624,517145.58628518
1995-05-31,2.79403,2.79403,2.79403,2.79403,324105.65644168
1995-06-01,2.5571,2.5571,2.5571,2.5571,130226.65791825
1995-06-02,2.58862,2.58862,2.58862,2.58862,203582.42180566
1995-06-05,2.74647,2.74647,2.74647,2.74647,100306.84673521
1995-06-06,2.74647,2.74647,2.74647,2.74647,241397.10647698
1995-06-07,2.79403,2.79403,2.79403,2.79403,253771.52404675
1995-06-08,2.79403,2.79403,2.79403,2.79403,205988.900307
1995-06-09,2.77809,2.77809,2.77809,2.77809,140203.20912855
1995-06-12,2.69916,2.69916,2.69916,2.69916,132447.36021627
1995-06-13,2.71485,2.71485,2.71485,2.71485,123389.84757473
1995-06-14,2.77809,2.77809,2.77809,2.77809,85850.751443431
1995-06-16,2.71485,2.71485,2.71485,2.71485,85636.678202514
1995-06-19,2.62025,2.62025,2.62025,2.62025,60873.079391203
1995-06-20,2.68348,2.68348,2.68348,2.68348,92980.374610739
1995-06-21,2.68348,2.68348,2.68348,2.68348,111797.9046097
1995-06-22,2.68348,2.68348,2.68348,2.68348,152796.62116317
1995-06-23,2.71485,2.71485,2.71485,2.71485,76613.61412848
1995-06-26,2.84124,2.84124,2.84124,2.84124,350380.07099923
1995-06-27,2.93593,2.93593,2.93593,2.93593,351682.96503447
1995-06-28,2.84124,2.84124,2.84124,2.84124,166478.85399209
1995-06-29,2.90432,2.90432,2.90432,2.90432,284228.97894406
1995-06-30,2.92017,2.92017,2.92017,2.92017,173450.99799366
1995-07-03,2.99902,2.99902,2.99902,2.99902,386456.3333176
1995-07-04,2.96739,2.96739,2.96739,2.96739,301942.92447691
1995-07-05,2.93593,2.93593,2.93593,2.93593,142548.17233078
1995-07-06,2.95154,2.95154,2.95154,2.95154,114172.39515549
1995-07-07,2.92017,2.92017,2.92017,2.92017,89552.742144108
1995-07-10,2.92017,2.92017,2.92017,2.92017,43321.534248009
1995-07-11,2.90432,2.90432,2.90432,2.90432,113624.90899338
1995-07-12,2.87278,2.87278,2.87278,2.87278,86678.747369505
1995-07-13,2.93593,2.93593,2.93593,2.93593,207766.69245139
1995-07-14,2.96739,2.96739,2.96739,2.96739,80539.520517932
1995-07-17,3.03071,3.03071,3.03071,3.03071,520193.05420329
1995-07-18,3.2201,3.2201,3.2201,3.2201,741298.72411455
1995-07-19,3.5357,3.5357,3.5357,3.5357,0.0
1995-07-20,3.88294,3.88294,3.88294,3.88294,1006830.7430459
1995-07-21,4.07248,4.07248,4.07248,4.07248,1064854.4337821
1995-07-24,4.10402,4.10402,4.10402,4.10402,1052884.7868806
1995-07-25,4.51448,4.51448,4.51448,4.51448,677279.75232666
1995-07-26,4.95633,4.95633,4.95633,4.95633,1228027.4555999
1995-07-27,5.36647,5.36647,5.36647,5.36647,858906.13357257
1995-07-28,5.08256,5.08256,5.08256,5.08256,603333.44156776
1995-07-31,4.57747,4.57747,4.57747,4.57747,601751.26807456
1995-08-01,4.57747,4.57747,4.57747,4.57747,434627.73374775
1995-08-02,4.57747,4.57747,4.57747,4.57747,445877.65164971
1995-08-03,4.48271,4.48271,4.48271,4.48271,534267.75464057
1995-08-04,4.57747,4.57747,4.57747,4.57747,328676.24316584
1995-08-07,4.60917,4.60917,4.60917,4.60917,334885.59745841
1995-08-08,4.51448,4.51448,4.51448,4.51448,236130.16656685
