Date,Open,High,Low,Close,Volume
1998-12-08,15.659,15.659,15.659,15.659,5349
1998-12-09,17.226,17.226,17.226,17.226,8733
1998-12-10,18.919,18.919,18.919,18.919,13664
1998-12-11,17.04,17.04,17.04,17.04,5871
1998-12-14,15.347,15.347,15.347,15.347,10728
1998-12-15,15.971,15.971,15.971,15.971,16227
1998-12-16,16.283,16.283,16.283,16.283,13264
1998-12-17,16.224,16.224,16.224,16.224,11180
1998-12-18,16.283,16.283,16.283,16.283,11216
1998-12-21,14.657,14.657,14.657,14.657,15577
1998-12-22,13.217,13.217,13.217,13.217,24573
1998-12-23,13.217,13.217,13.217,13.217,17708
1998-12-28,13.781,13.781,13.781,13.781,20198
1998-12-29,13.781,13.781,13.781,13.781,27249
1998-12-30,14.909,14.909,14.909,14.909,44984
1998-12-31,16.224,16.224,16.224,16.224,33384
1999-01-04,14.657,14.657,14.657,14.657,3128
1999-01-05,14.404,14.404,14.404,14.404,7078
1999-01-06,14.404,14.404,14.404,14.404,4230
1999-01-07,14.093,14.093,14.093,14.093,5398
1999-01-08,14.404,14.404,14.404,14.404,2132
1999-01-11,14.531,14.531,14.531,14.531,4953
1999-01-12,14.404,14.404,14.404,14.404,470
1999-01-13,13.907,13.907,13.907,13.907,1938
1999-01-14,13.781,13.781,13.781,13.781,1436
1999-01-15,13.469,13.469,13.469,13.469,914
1999-01-18,13.781,13.781,13.781,13.781,1009
1999-01-19,13.595,13.595,13.595,13.595,1216
1999-01-20,13.469,13.469,13.469,13.469,1412
1999-01-21,12.838,12.838,12.838,12.838,1752
1999-01-22,11.59,11.59,11.59,11.59,1636
1999-01-25,11.279,11.279,11.279,11.279,4606
1999-01-26,11.59,11.59,11.59,11.59,1539
1999-01-27,11.902,11.902,11.902,11.902,1959
1999-01-28,11.65,11.65,11.65,11.65,470
1999-01-29,12.778,12.778,12.778,12.778,3958
1999-02-01,12.214,12.214,12.214,12.214,1089
1999-02-02,11.59,11.59,11.59,11.59,2042
1999-02-03,11.59,11.59,11.59,11.59,1196
1999-02-04,12.214,12.214,12.214,12.214,767
1999-02-05,12.526,12.526,12.526,12.526,2700
1999-02-08,12.526,12.526,12.526,12.526,1765
1999-02-09,12.778,12.778,12.778,12.778,1706
1999-02-10,12.155,12.155,12.155,12.155,548
1999-02-11,12.4,12.4,12.4,12.4,270
1999-02-12,12.593,12.593,12.593,12.593,629
1999-02-15,12.4,12.4,12.4,12.4,349
1999-02-16,11.279,11.279,11.279,11.279,930
1999-02-17,12.4,12.4,12.4,12.4,999
1999-02-18,12.088,12.088,12.088,12.088,160
1999-02-19,12.526,12.526,12.526,12.526,204
1999-02-22,11.902,11.902,11.902,11.902,1620
1999-02-23,12.593,12.593,12.593,12.593,5603
1999-02-24,12.593,12.593,12.593,12.593,1799
1999-02-25,12.838,12.838,12.838,12.838,3233
1999-02-26,12.526,12.526,12.526,12.526,3194
1999-03-01,12.526,12.526,12.526,12.526,799
1999-03-02,12.526,12.526,12.526,12.526,2188
1999-03-03,12.214,12.214,12.214,12.214,238
1999-03-04,12.155,12.155,12.155,12.155,1290
1999-03-05,12.526,12.526,12.526,12.526,1458
1999-03-08,12.467,12.467,12.467,12.467,47
1999-03-09,12.214,12.214,12.214,12.214,121
1999-03-10,11.59,11.59,11.59,11.59,200
1999-03-11,12.281,12.281,12.281,12.281,3223
1999-03-12,12.467,12.467,12.467,12.467,1996
1999-03-15,13.031,13.031,13.031,13.031,4807
1999-03-16,13.655,13.655,13.655,13.655,6544
1999-03-17,13.469,13.469,13.469,13.469,1375
