Date,Open,High,Low,Close,Volume
1994-08-02,7.84618,7.84618,7.84618,7.84618,366252.19889359
1994-08-03,8.61783,8.61783,8.61783,8.61783,343129.90585043
1994-08-04,9.47245,9.47245,9.47245,9.47245,375104.20648975
1994-08-08,8.61783,8.61783,8.61783,8.61783,278157.74952823
1994-08-09,10.1716,10.1716,10.1716,10.1716,142910.02693367
1994-08-10,9.59432,9.59432,9.59432,9.59432,164880.56415126
1994-08-11,9.39834,9.39834,9.39834,9.39834,134896.96525498
1994-08-16,9.98532,9.98532,9.98532,9.98532,85930.420165046
1994-08-17,10.4865,10.4865,10.4865,10.4865,87006.281127667
1994-08-18,9.43539,9.43539,9.43539,9.43539,57554.971878284
1994-08-22,9.79031,9.79031,9.79031,9.79031,110811.62793737
1994-08-23,9.00823,9.00823,9.00823,9.00823,72209.859671306
1994-08-24,8.81294,8.81294,8.81294,8.81294,80180.871493503
1994-08-25,7.92068,7.92068,7.92068,7.92068,67594.63151898
1994-08-29,8.58058,8.58058,8.58058,8.58058,93645.030423225
1994-08-30,8.54343,8.54343,8.54343,8.54343,60759.991428511
1994-08-31,8.04139,8.04139,8.04139,8.04139,49335.763342119
1994-09-01,7.84618,7.84618,7.84618,7.84618,71904.229006997
1994-09-05,7.45569,7.45569,7.45569,7.45569,45486.663063077
1994-09-06,6.70277,6.70277,6.70277,6.70277,39820.188498276
1994-09-07,6.04268,6.04268,6.04268,6.04268,165450.80122964
1994-09-08,6.61911,6.61911,6.61911,6.61911,91575.35699847
1994-09-12,7.26058,7.26058,7.26058,7.26058,114679.18912902
1994-09-13,6.54472,6.54472,6.54472,6.54472,172594.14880318
1994-09-14,6.65626,6.65626,6.65626,6.65626,71568.855761261
1994-09-15,6.52608,6.52608,6.52608,6.52608,41503.208364492
1994-09-19,6.50757,6.50757,6.50757,6.50757,57942.651043079
1994-09-20,5.86599,5.86599,5.86599,5.86599,66746.455145207
1994-09-21,5.33616,5.33616,5.33616,5.33616,94606.023485165
1994-09-22,5.54988,5.54988,5.54988,5.54988,83718.187470697
1994-09-26,5.40119,5.40119,5.40119,5.40119,52642.317911696
1994-09-27,5.01089,5.01089,5.01089,5.01089,59636.952578112
1994-09-28,5.01089,5.01089,5.01089,5.01089,107453.79305499
1994-09-29,5.29901,5.29901,5.29901,5.29901,53904.839212922
1994-10-03,5.82885,5.82885,5.82885,5.82885,110315.23450943
1994-10-04,5.88472,5.88472,5.88472,5.88472,130626.34080469
1994-10-05,6.47032,6.47032,6.47032,6.47032,84553.030963141
1994-10-06,6.36814,6.36814,6.36814,6.36814,105368.73553639
1994-10-07,6.48893,6.48893,6.48893,6.48893,86535.527856129
1994-10-10,6.36814,6.36814,6.36814,6.36814,55043.262157163
1994-10-11,6.07992,6.07992,6.07992,6.07992,57413.438214946
1994-10-12,6.07992,6.07992,6.07992,6.07992,50845.455751057
1994-10-13,5.47559,5.47559,5.47559,5.47559,92664.550842419
1994-10-14,5.99626,5.99626,5.99626,5.99626,133512.39680928
1994-10-17,6.27511,6.27511,6.27511,6.27511,96020.334512288
1994-10-18,6.47032,6.47032,6.47032,6.47032,94706.53289826
1994-10-19,6.36814,6.36814,6.36814,6.36814,46601.497063428
1994-10-20,6.2566,6.2566,6.2566,6.2566,124196.81518537
1994-10-21,5.94049,5.94049,5.94049,5.94049,63148.628398905
1994-10-24,5.49421,5.49421,5.49421,5.49421,62398.910225715
1994-10-25,5.56851,5.56851,5.56851,5.56851,48210.673279207
1994-10-26,5.5965,5.5965,5.5965,5.5965,119850.29587214
1994-10-27,5.29901,5.29901,5.29901,5.29901,33685.01187445
