Date,Open,High,Low,Close,Volume
2005-06-21,9.25144,9.29078,8.98088,9.13752,356240.90015197
2005-06-22,9.0605,9.09899,8.98088,9.0605,30993.872886521
2005-06-23,9.0605,9.09899,9.02112,9.0605,37122.565218745
2005-06-24,8.75057,9.02112,8.75057,8.90468,14164.789768037
2005-06-27,8.86445,9.0605,8.86445,9.0605,17616.340338213
2005-06-28,8.98088,9.09899,8.98088,9.09899,43086.564275032
2005-06-29,8.98088,9.09899,8.98088,9.02112,6503.6323434009
2005-06-30,9.09899,9.13752,9.09899,9.09899,9312.762333681
2005-07-01,8.94234,9.09899,8.94234,9.09899,1595.5391129824
2005-07-04,8.98088,9.13752,8.98088,9.13752,12515.520933826
2005-07-05,9.09899,9.17775,9.09899,9.17775,16855.947979099
2005-07-06,9.17775,9.17775,9.09899,9.09899,4415.1814400244
2005-07-07,9.09899,9.09899,8.40299,9.09899,11683.878292213
2005-07-08,8.90468,9.09899,8.90468,9.09899,725.35123657543
2005-07-11,8.90468,9.13752,8.90468,9.13752,10034.609458002
2005-07-12,8.90468,9.09899,8.90468,9.09899,5315.7382892992
2005-07-13,9.17775,9.17775,9.17775,9.17775,17172.486119375
2005-07-14,9.13752,9.17775,9.09899,9.09899,16908.509662908
2005-07-15,9.09899,9.09899,9.09899,9.09899,141.3325275775
2005-07-18,8.90468,8.90468,8.90468,8.90468,1892.2206171533
2005-07-19,8.90468,8.98088,8.90468,8.98088,129430.22628813
2005-07-20,9.0605,9.0605,8.90468,9.0605,131725.41981448
2005-07-21,8.90468,9.09899,8.90468,8.90468,5301.7218402832
2005-07-25,8.82849,8.86445,8.82849,8.86445,2540.481384141
2005-07-26,8.98088,8.98088,8.94234,8.98088,66636.534696664
2005-07-27,9.09899,9.09899,8.82849,8.82849,2702.8385852424
2005-07-28,8.82849,8.90468,8.82849,8.90468,2782.2651296661
2005-07-29,8.90468,8.90468,8.90468,8.90468,516.27253875417
2005-08-01,8.82849,8.82849,8.82849,8.82849,220.75907200122
2005-08-02,8.82849,8.94234,8.28484,8.94234,5933.630083419
2005-08-03,8.94234,8.94234,8.94234,8.94234,2532.305122215
2005-08-04,8.98088,9.0605,8.98088,9.0605,2749.5600819622
2005-08-05,8.75057,9.25144,8.75057,9.25144,31284.714203602
2005-08-08,9.25144,9.59903,9.25144,9.29078,44961.264330915
