Date,Open,High,Low,Close,Volume
2015-01-08,13.7136,13.8969,13.0831,13.3028,2074.538461622
2015-01-09,13.0188,13.2021,12.9276,12.9823,1110.727272772
2015-01-12,13.2846,13.2846,13.0735,13.1656,1128.440559486
2015-01-13,13.0831,13.0831,13.0831,13.0831,62.51748252
2015-01-14,13.0831,13.0831,13.0735,13.0735,221.937062946
2015-01-16,13.157,13.2577,13.157,13.2577,294.874125886
2015-01-19,13.1109,13.1109,13.1013,13.1013,109.40559441
2015-01-21,13.0735,13.3028,13.0735,13.3028,168.797202804
2015-01-27,13.2577,13.2577,13.2577,13.2577,55.223776226
2015-01-30,12.8182,12.8182,12.8182,12.8182,152.125874132
2015-02-03,12.8182,12.8182,12.8182,12.8182,1.041958042
2015-02-05,12.8182,12.8182,12.8182,12.8182,20.83916084
2015-02-06,13.8873,13.8873,13.8873,13.8873,1.041958042
2015-02-11,12.5437,13.1656,12.5437,13.1656,323.00699302
2015-02-12,13.2107,13.2107,13.1656,13.2107,508.475524496
2015-02-13,13.2107,13.2107,13.2107,13.2107,91.692307696
2015-02-17,13.2107,13.2107,13.2107,13.2107,513.685314706
2015-02-18,13.5217,13.6042,13.5217,13.6042,589.748251772
2015-02-19,13.5313,13.6416,13.4861,13.6224,1039.874125916
2015-02-20,13.6224,13.6224,13.4401,13.6042,180.258741266
2015-02-23,13.6224,13.6781,13.6224,13.6781,348.013986028
2015-02-24,13.5313,13.6781,13.5313,13.6781,185.468531476
2015-02-26,13.5313,13.6781,13.5313,13.6781,7.293706294
2015-02-27,13.6589,13.8873,13.6589,13.8873,1920.328671406
2015-03-02,13.8412,13.8412,13.8412,13.8412,448.04195806
2015-03-03,13.8787,14.0802,13.8412,14.0802,6131.92307717
2015-03-04,14.0802,14.7194,14.0802,14.7194,1054.461538504
2015-03-05,14.9948,15.991,14.9948,15.991,3643.727272874
2015-03-06,15.5429,16.8951,15.4968,16.8951,2092.251748336
2015-03-09,16.8951,18.1764,16.8231,17.3625,649.139860166
2015-03-10,17.8193,17.828,17.0516,17.7368,768.965034996
2015-03-11,17.0967,17.828,17.0967,17.8193,23196.069931004
2015-03-12,17.6456,17.6456,17.3711,17.5544,7.293706294
2015-03-13,17.5084,18.2771,16.9594,17.9201,8189.79021012
2015-03-16,17.0784,17.6917,17.0784,17.6917,110.447552452
2015-03-17,17.7925,17.7925,17.4258,17.6725,5489.034965256
2015-03-18,17.5544,17.7925,17.4354,17.7282,1046.125874168
2015-03-19,17.7925,18.2397,17.5544,17.7368,7302.041958336
2015-03-20,18.2032,18.2032,17.4623,17.828,26.04895105
2015-03-23,18.2032,18.2032,17.4719,17.828,34.384615386
2015-03-24,17.828,17.9201,17.5631,17.9201,636.636363662
2015-03-25,17.9201,17.9201,17.399,17.5544,779.384615416
2015-03-27,17.6082,17.8472,17.5544,17.8472,22166.615385508
2015-03-30,17.874,17.874,17.874,17.874,21.881118882
2015-03-31,17.6005,17.8193,17.6005,17.8193,875.24475528
2015-04-01,17.6005,17.6005,17.6005,17.6005,547.02797205
2015-04-02,17.5544,17.7829,17.5544,17.6456,27668.153847268
2015-04-07,17.7829,17.7829,17.5813,17.6005,34068.902099274
2015-04-08,17.6005,17.7733,17.6005,17.7733,275.076923088
2015-04-09,17.6005,17.6005,17.6005,17.6005,66.685314688
2015-04-10,17.4258,17.6005,17.4258,17.6005,180.258741266
2015-04-13,17.4623,17.4623,17.4162,17.4162,328.21678323
2015-04-14,17.3711,17.3711,17.3711,17.3711,1.041958042
2015-04-15,16.732,17.4162,16.732,17.4162,7.293706294
2015-04-16,17.0698,17.0967,16.8404,16.8404,676.230769258
2015-04-17,16.8404,16.8404,15.1772,15.5611,852.321678356
2015-04-20,16.4469,16.5851,15.8173,16.5755,374.062937078
2015-04-22,15.9997,16.5755,15.826,16.5755,271.951048962
2015-04-27,16.5755,16.5851,16.5755,16.5851,187.55244756
2015-04-28,16.2742,16.5851,15.9085,16.5851,568.909090932
2015-04-29,15.9171,15.9171,15.9171,15.9171,240.692307702
2015-04-30,15.9171,15.9171,15.3595,15.5429,1003.405594446
