Date,Open,High,Low,Close,Volume
2010-11-30,10.7273,10.7273,9.67197,9.94522,38965.690489357
2010-12-01,9.98113,9.98113,8.95212,9.35675,15953.952454719
2010-12-02,9.07649,9.51264,9.02657,9.14479,77014.474034745
2010-12-03,9.35675,9.35675,9.01431,9.28842,12696.249452049
2010-12-06,9.06423,9.07649,9.02657,9.04583,5784.6208943321
2010-12-07,9.02657,9.04583,8.98365,9.04583,1186.383953654
2010-12-08,8.98365,9.13866,8.74632,9.04583,6178.5597432355
2010-12-09,8.85228,9.00204,8.79536,9.00204,3362.7533623782
2010-12-10,8.79536,8.82689,8.7831,8.82689,4062.7084765167
2010-12-13,8.88382,9.20172,8.88382,9.20172,6191.120112331
2010-12-14,9.29455,9.33837,9.29455,9.31995,7649.2647791415
2010-12-15,8.94512,9.31995,8.94512,9.31995,11208.416640103
2010-12-16,9.27616,9.31995,9.27616,9.31995,14116.713011573
2010-12-17,9.31995,10.2492,9.31995,10.2422,12724.795745448
2010-12-20,10.5487,10.5487,9.55732,9.55732,1576.8972473495
2010-12-21,10.349,10.349,9.31995,9.55732,18067.520017966
2010-12-22,9.5757,9.5757,9.10802,9.53801,1579.1809508214
2010-12-23,9.10101,9.34537,8.9022,9.2385,6201.3967779546
2010-12-27,9.17632,9.41982,9.17632,9.2385,1607.7272442202
2010-12-28,9.23237,9.23237,9.23237,9.23237,13113.025335671
2010-12-29,9.23237,9.50471,9.23237,9.35759,582.34438533545
2010-12-30,9.5117,9.53801,9.35759,9.53801,421.34329056624
2010-12-31,9.54501,9.54501,9.47849,9.54501,12009.996558742
2011-01-03,10.0933,10.0933,9.35675,9.36375,3027.0489520084
2011-01-04,9.48111,9.48111,9.2385,9.2385,9841.6201121691
2011-01-05,9.47672,9.47672,9.13866,9.31382,3716.7274005233
2011-01-07,9.31995,9.31995,9.07649,9.31382,8055.7639971404
2011-01-10,9.31995,9.31995,9.00204,9.23237,3753.2666560738
2011-01-11,9.31995,9.3506,9.04583,9.31995,9373.4609004288
2011-01-12,9.29455,9.29455,9.28842,9.28842,117.61072880304
2011-01-13,9.31382,9.31382,9.31382,9.31382,1.1418517359519
2011-01-14,9.23237,9.32608,9.08874,9.29455,3408.4274318163
2011-01-17,9.33837,9.54417,9.29455,9.40666,5770.9186735007
2011-01-18,9.53186,9.53186,9.53186,9.53186,53.667031589737
2011-01-19,9.53186,9.53186,9.30155,9.30155,168.99405692088
2011-01-20,9.53186,9.54417,9.32608,9.53186,5266.22020621
2011-01-21,9.53186,9.90669,9.04583,9.90669,5526.562402007
2011-01-24,9.89353,9.89353,9.48111,9.83756,205.53331247133
2011-01-25,9.82525,9.82525,9.14479,9.24463,13180.394588092
2011-01-26,9.11327,9.61945,8.86455,8.86455,2289.4127305835
2011-01-27,9.29455,9.29455,8.95212,8.95212,1621.4294650516
2011-01-28,9.54417,9.54417,8.8952,9.53801,3318.2211446761
2011-01-31,9.43819,9.43819,9.35759,9.35759,8077.4591801235
2011-02-01,9.35675,9.35675,9.35675,9.35675,2.2837034719037
2011-02-02,9.3506,9.35675,9.22624,9.34537,9457.9579288893
2011-02-03,9.35675,9.41982,9.17019,9.41982,4414.3988111899
2011-02-04,9.38828,9.38828,9.17019,9.17019,30.8299968707
2011-02-07,9.35675,9.35675,9.35675,9.35675,5832.5786672421
2011-02-08,9.34537,9.48111,9.17019,9.35675,12781.888332245
2011-02-09,9.35675,9.35675,9.35675,9.35675,4937.3669062558
2011-02-10,9.3506,9.38129,9.04583,9.3506,10828.180012032
2011-02-11,9.3506,9.3506,9.34537,9.34537,417.91773535838
2011-02-14,9.3506,9.6063,9.32608,9.32608,5069.8217076263
2011-02-15,9.41982,9.6063,9.41982,9.54417,5390.6820454287
2011-02-16,9.54417,9.73159,9.54417,9.6063,7280.4466684291
