Date,Open,High,Low,Close,Volume
2007-06-29,3.09838,3.18286,2.84479,2.84479,26079870.210517
2007-07-02,2.89186,2.89186,2.5538,2.73686,10662246.107377
2007-07-03,2.81673,2.88236,2.79313,2.82601,8719548.6132384
2007-07-04,2.86358,2.91999,2.83069,2.86358,3348521.1767184
2007-07-05,2.89646,2.89646,2.79313,2.84479,2672063.1025152
2007-07-06,2.85423,2.8589,2.80731,2.81199,995602.82293974
2007-07-09,2.82134,2.82134,2.69937,2.718,1655452.7153133
2007-07-10,2.70865,2.72276,2.59597,2.61956,3276205.7293135
2007-07-11,2.62892,2.62892,2.48803,2.53962,2396582.3954697
2007-07-12,2.50681,2.57258,2.48803,2.53026,1558625.2500195
2007-07-13,2.53026,2.61956,2.50681,2.60539,1607857.2814828
2007-07-16,2.61482,2.66641,2.39888,2.53502,875073.42821764
2007-07-17,2.51631,2.51631,2.41291,2.474,1187117.5873921
2007-07-18,2.48803,2.48803,2.41765,2.43176,1653207.1829427
2007-07-19,2.44111,2.6852,2.44111,2.63828,2839319.0017226
2007-07-20,2.67584,2.67584,2.55848,2.5679,1194537.0124461
2007-07-23,2.5679,2.61956,2.48803,2.53502,731871.13535461
2007-07-24,2.59129,2.59129,2.42701,2.43643,1901072.357525
2007-07-25,2.34728,2.43176,2.24394,2.41765,3130815.3765719
2007-07-26,2.41765,2.43176,2.33785,2.33785,1859508.7985817
2007-07-27,2.25798,2.37074,2.24862,2.25337,2462236.5073596
2007-07-30,2.27683,2.34728,2.27683,2.30022,876076.46004438
2007-07-31,2.34245,2.41765,2.34245,2.37074,1472534.1936108
2007-08-01,2.34728,2.34728,2.29087,2.30972,856003.50797551
2007-08-02,2.37534,2.38944,2.27215,2.27215,2567479.5875708
2007-08-03,2.31439,2.31439,2.24394,2.25337,478628.1775812
2007-08-06,2.20639,2.21575,2.11248,2.15947,1268086.7500391
2007-08-07,2.20639,2.22516,1.98569,1.98569,2059153.1838835
2007-08-08,2.02325,2.10313,1.98569,1.99519,2856819.3755729
2007-08-09,2.01857,2.01857,1.83552,1.88718,5340683.3290739
2007-08-10,1.81205,1.82148,1.68526,1.71347,4750039.8959602
2007-08-13,1.71347,1.94352,1.71347,1.90121,4656607.4128796
2007-08-14,1.90121,1.96231,1.873,1.873,4614352.8156381
2007-08-16,1.77917,1.77917,1.60546,1.69001,3309939.3454019
2007-08-17,1.68526,1.873,1.66188,1.83083,5138775.6222968
2007-08-20,1.90121,1.94813,1.83083,1.86365,1552875.2640224
2007-08-21,1.88242,1.88242,1.77917,1.85429,1389194.9748603
2007-08-22,1.87775,1.94813,1.83552,1.91532,4270756.2582903
2007-08-23,1.94352,1.9998,1.90588,1.92006,4079281.1772255
2007-08-24,1.92466,2.00454,1.88718,1.95294,2927487.2782038
2007-08-27,1.99519,2.06555,1.99519,2.01397,2105054.5475891
2007-08-28,2.01397,2.05153,1.98101,2.02325,1282647.8164352
2007-08-29,1.90588,2.028,1.90121,2.01397,1511600.4359323
2007-08-30,2.06555,2.0937,1.8684,1.92006,2862574.8351408
2007-08-31,1.95755,2.01857,1.95755,1.97172,848763.34236119
2007-09-03,1.98101,1.99519,1.92466,1.97172,557521.48854847
2007-09-04,1.97172,1.97172,1.91064,1.93409,897728.53725386
2007-09-05,1.93877,1.94352,1.82148,1.82148,1620256.2874611
2007-09-06,1.84493,1.85429,1.77449,1.82148,908932.93643171
2007-09-07,1.80262,1.84019,1.73225,1.75571,1275841.4312971
2007-09-10,1.71347,1.75571,1.66188,1.70879,1117047.6723578
2007-09-11,1.7229,1.76981,1.71808,1.76038,1209003.659748
2007-09-12,1.77917,1.78853,1.73693,1.74628,497397.05143603
2007-09-13,1.73225,1.88718,1.71347,1.873,1997741.0892691
2007-09-14,1.873,1.93877,1.77449,1.79327,2146880.837925
2007-09-17,1.78853,1.79327,1.7416,1.77917,791730.10428916
2007-09-18,1.77449,1.77917,1.73693,1.77449,1654828.728256
2007-09-19,1.84019,1.85429,1.80262,1.81205,1667301.6274384
2007-09-20,1.80738,1.82148,1.77449,1.77449,1062212.0729129
2007-09-21,1.77449,1.85911,1.77449,1.78392,3019031.3794005
2007-09-24,1.78853,1.82148,1.76038,1.76981,821858.00569351
2007-09-25,1.76038,1.85429,1.76038,1.84493,2728676.2440377
2007-09-26,1.85429,2.22516,1.83083,2.1078,14279947.911291
2007-09-27,2.13126,2.18293,1.99519,2.00921,6491379.7771746
2007-09-28,2.00921,2.10313,1.94813,1.97172,3336789.9463628
2007-10-01,1.96698,2.00454,1.90588,1.94352,1620012.7135659
2007-10-02,1.97633,1.9998,1.92466,1.93877,2398718.4564268
2007-10-03,1.93877,1.94813,1.87775,1.88718,1491093.7033872
2007-10-04,1.873,1.98569,1.85911,1.93877,6369806.2988457
2007-10-05,1.95294,2.01397,1.92949,1.99519,5288138.4189579
2007-10-08,2.00921,2.01857,1.96231,1.96698,1095232.7564206
2007-10-09,1.96698,2.05153,1.96698,1.99519,1802448.1926563
2007-10-10,2.01857,2.01857,1.96698,1.97172,933709.05410565
2007-10-11,1.97633,1.99519,1.94813,1.97172,1038496.4595578
2007-10-12,1.96698,2.00921,1.92949,1.99519,2423093.6350487
2007-10-15,2.00921,2.06555,1.99519,2.028,1650786.4963103
2007-10-16,2.01857,2.01857,1.97633,1.98101,595331.54639938
