Date,Open,High,Low,Close,Volume
1996-03-05,0.0316606,0.0316606,0.0316606,0.0316606,4984032.1993722
1996-03-06,0.0346324,0.0346324,0.0346324,0.0346324,11449970.822596
1996-03-07,0.0353297,0.0353297,0.0353297,0.0353297,3685316.3171443
1996-03-08,0.0349892,0.0349892,0.0349892,0.0349892,2993532.8685641
1996-03-11,0.0330551,0.0330551,0.0330551,0.0330551,423533.48686791
1996-03-12,0.0297429,0.0297429,0.0297429,0.0297429,201474.78128283
1996-03-13,0.0311376,0.0311376,0.0311376,0.0311376,880679.2319369
1996-03-14,0.0320092,0.0320092,0.0320092,0.0320092,515924.43170092
1996-03-15,0.0321753,0.0321753,0.0321753,0.0321753,700016.05457787
1996-03-18,0.0327065,0.0327065,0.0327065,0.0327065,260245.0353362
1996-03-19,0.0349892,0.0349892,0.0349892,0.0349892,644445.36176677
1996-03-20,0.0330551,0.0330551,0.0330551,0.0330551,574693.48110022
1996-03-21,0.0330551,0.0330551,0.0330551,0.0330551,211764.93645284
1996-03-22,0.0297429,0.0297429,0.0297429,0.0297429,285859.59508565
1996-03-25,0.0327065,0.0327065,0.0327065,0.0327065,718538.8157455
1996-03-26,0.0302577,0.0302577,0.0302577,0.0302577,659766.15238397
1996-03-27,0.0321753,0.0321753,0.0321753,0.0321753,295465.50673698
1996-03-28,0.0304486,0.0304486,0.0304486,0.0304486,655877.52900668
1996-03-29,0.0311376,0.0311376,0.0311376,0.0311376,399972.86232858
1996-04-01,0.0304486,0.0304486,0.0304486,0.0304486,704820.2150576
1996-04-02,0.0304486,0.0304486,0.0304486,0.0304486,950887.6765006
1996-04-03,0.0300834,0.0300834,0.0300834,0.0300834,414840.70301088
1996-04-04,0.0311376,0.0311376,0.0311376,0.0311376,144298.28458019
1996-04-05,0.0304486,0.0304486,0.0304486,0.0304486,639643.61059519
1996-04-09,0.0311376,0.0311376,0.0311376,0.0311376,416439.27897794
1996-04-10,0.0304486,0.0304486,0.0304486,0.0304486,393573.73984403
1996-04-11,0.0304486,0.0304486,0.0304486,0.0304486,196445.35048972
