Date,Open,High,Low,Close,Volume
1997-11-28,1.3965,1.3965,0.9835,0.9835,32344
1997-12-02,0.686,0.686,0.686,0.686,1432
1997-12-03,0.735,0.735,0.735,0.735,1820
1997-12-04,0.7,0.735,0.637,0.637,8192
1997-12-05,0.637,0.637,0.637,0.637,1104
1997-12-08,0.602,0.602,0.602,0.602,2780
1997-12-10,0.546,0.546,0.546,0.546,3868
1997-12-12,0.511,0.511,0.511,0.511,1432
1997-12-15,0.497,0.532,0.497,0.532,12256
1997-12-22,0.497,0.497,0.497,0.497,272
1997-12-30,0.497,0.497,0.497,0.497,1288
1997-12-31,0.497,0.497,0.497,0.497,2864
1998-01-05,0.497,0.497,0.42,0.42,6316
1998-01-06,0.49,0.49,0.49,0.49,1432
1998-01-08,0.49,0.49,0.49,0.49,3552
1998-01-09,0.518,0.518,0.518,0.518,2864
1998-01-13,0.518,0.518,0.518,0.518,3264
1998-01-14,0.56,0.56,0.56,0.56,1432
1998-01-15,0.5635,0.623,0.5635,0.623,6800
1998-01-16,0.581,0.588,0.581,0.588,2836
1998-01-19,0.595,0.6615,0.595,0.6615,9292
1998-01-20,0.574,0.574,0.504,0.518,19256
1998-01-27,0.483,0.483,0.483,0.483,1892
1998-01-28,0.5495,0.5495,0.5495,0.5495,1420
1998-01-29,0.483,0.525,0.483,0.504,11556
1998-01-30,0.525,0.525,0.5215,0.5215,3180
1998-02-02,0.483,0.483,0.434,0.483,4224
1998-02-03,0.448,0.49,0.448,0.49,1548
1998-02-04,0.462,0.462,0.462,0.462,2204
1998-02-05,0.455,0.455,0.434,0.434,3840
1998-02-06,0.448,0.448,0.448,0.448,1320
1998-02-10,0.525,0.525,0.525,0.525,1288
1998-02-13,0.462,0.462,0.462,0.462,1432
1998-02-16,0.455,0.455,0.448,0.448,2780
1998-02-18,0.504,0.518,0.504,0.518,5728
1998-02-19,0.539,0.5775,0.525,0.5775,21604
1998-02-20,0.595,0.665,0.595,0.6055,10740
1998-02-23,0.63,0.728,0.63,0.728,9192
1998-02-24,0.735,0.77,0.728,0.77,21176
1998-02-25,0.791,0.8365,0.784,0.8365,12716
1998-02-26,0.8365,0.8505,0.77,0.77,10196
1998-02-27,0.8015,0.8015,0.784,0.8015,18168
1998-03-02,0.8925,0.9625,0.8715,0.9415,11396
1998-03-03,0.9415,0.9415,0.8505,0.8505,22336
1998-03-04,0.8365,0.8645,0.8155,0.8575,15248
1998-03-05,0.8365,0.8365,0.8015,0.8085,4324
1998-03-06,0.8435,0.8435,0.8365,0.8435,8748
1998-03-09,0.8225,0.8225,0.8155,0.8155,5184
1998-03-10,0.791,0.8085,0.791,0.8015,3708
1998-03-11,0.791,0.791,0.756,0.756,3364
1998-03-12,0.742,0.742,0.742,0.742,1432
1998-03-13,0.756,0.756,0.756,0.756,2148
1998-03-16,0.77,0.777,0.735,0.77,9736
1998-03-17,0.763,0.763,0.707,0.707,9236
1998-03-18,0.728,0.728,0.7,0.7,5240
1998-03-19,0.728,0.728,0.728,0.728,1432
1998-03-20,0.735,0.735,0.735,0.735,572
1998-03-23,0.7,0.7,0.7,0.7,1432
1998-03-24,0.665,0.665,0.665,0.665,5928
1998-03-25,0.7,0.798,0.679,0.798,102068
1998-03-26,0.742,0.791,0.742,0.791,33648
1998-03-27,0.756,0.8015,0.742,0.8015,30484
1998-03-30,0.77,0.9065,0.77,0.9065,46004
1998-03-31,0.8365,0.8715,0.749,0.749,4468
1998-04-01,0.8085,0.8085,0.77,0.77,6960
1998-04-02,0.77,0.77,0.721,0.721,4440
1998-04-06,0.735,0.735,0.728,0.728,4296
1998-04-07,0.707,0.728,0.707,0.714,8576
1998-04-08,0.728,0.728,0.686,0.686,5256
1998-04-09,0.728,0.728,0.728,0.728,1432
1998-04-14,0.756,0.756,0.721,0.721,9048
1998-04-15,0.77,0.77,0.7,0.7,10740
1998-04-16,0.7,0.7,0.665,0.665,11456
1998-04-17,0.637,0.6545,0.609,0.63,16464
1998-04-20,0.588,0.602,0.5845,0.588,25772
1998-04-21,0.5845,0.5845,0.56,0.56,24800
1998-04-22,0.532,0.56,0.532,0.532,25472
1998-04-23,0.56,0.56,0.5355,0.5495,32288
1998-04-24,0.5495,0.609,0.5495,0.609,20904
1998-04-27,0.616,0.616,0.609,0.609,4296
1998-04-29,0.567,0.567,0.567,0.567,1432
1998-05-06,0.56,0.56,0.56,0.56,1160
1998-05-08,0.567,0.567,0.567,0.567,1432
1998-05-12,0.567,0.567,0.567,0.567,716
1998-05-14,0.5705,0.5705,0.5705,0.5705,1432
1998-05-15,0.567,0.567,0.567,0.567,2436
1998-05-18,0.56,0.567,0.56,0.567,2492
1998-05-19,0.567,0.567,0.553,0.553,4696
1998-05-20,0.567,0.567,0.56,0.56,1604
1998-05-21,0.567,0.574,0.56,0.56,8720
1998-05-22,0.574,0.574,0.567,0.567,4008
1998-05-27,0.56,0.56,0.56,0.56,2580
1998-05-28,0.553,0.553,0.553,0.553,3292
1998-06-01,0.546,0.546,0.539,0.539,3724
1998-06-04,0.567,0.567,0.567,0.567,1764
1998-06-05,0.56,0.56,0.56,0.56,1432
1998-06-08,0.539,0.539,0.539,0.539,488
1998-06-09,0.539,0.553,0.532,0.546,14476
1998-06-15,0.532,0.532,0.532,0.532,1432
1998-06-16,0.504,0.504,0.504,0.504,1432
1998-06-18,0.497,0.497,0.497,0.497,2508
1998-06-19,0.49,0.49,0.49,0.49,2236
1998-07-09,0.4935,0.4935,0.4935,0.4935,1432
1998-07-13,0.49,0.49,0.49,0.49,2864
1998-07-20,0.455,0.455,0.42,0.42,5928
1998-07-21,0.455,0.455,0.455,0.455,4296
1998-07-22,0.504,0.56,0.504,0.56,15748
1998-07-24,0.56,0.56,0.5495,0.5495,2148
1998-07-29,0.511,0.511,0.511,0.511,2592
1998-07-31,0.546,0.546,0.511,0.525,5728
1998-08-03,0.553,0.553,0.518,0.546,1864
1998-08-04,0.49,0.49,0.49,0.49,1432
1998-08-05,0.504,0.504,0.455,0.4865,20616
1998-08-06,0.4865,0.4865,0.4865,0.4865,432
1998-08-07,0.4935,0.4935,0.4935,0.4935,144
1998-08-10,0.434,0.448,0.434,0.448,1576
1998-08-11,0.441,0.441,0.441,0.441,1720
1998-08-13,0.476,0.476,0.476,0.476,144
1998-08-18,0.441,0.441,0.441,0.441,2348
1998-08-19,0.483,0.483,0.483,0.483,144
1998-08-20,0.434,0.4865,0.434,0.4865,1676
1998-08-21,0.427,0.476,0.4165,0.476,1892
1998-08-26,0.434,0.434,0.434,0.434,1432
1998-08-27,0.4235,0.4515,0.4235,0.4515,3008
1998-08-28,0.4515,0.4515,0.406,0.406,1864
1998-08-31,0.4165,0.4165,0.4165,0.4165,144
1998-09-01,0.385,0.4305,0.371,0.4165,2004
1998-09-02,0.371,0.3815,0.336,0.3815,5440
1998-09-07,0.35,0.35,0.35,0.35,2148
1998-09-14,0.3535,0.3535,0.3535,0.3535,144
1998-09-21,0.2975,0.3185,0.2975,0.3185,1576
1998-09-22,0.329,0.329,0.329,0.329,1432
1998-09-23,0.3535,0.3535,0.3535,0.3535,144
1998-09-28,0.294,0.3535,0.294,0.3535,1576
1998-09-30,0.273,0.3115,0.273,0.287,4440
1998-10-09,0.3115,0.3115,0.3115,0.3115,144
1998-10-20,0.252,0.252,0.252,0.252,2004
1998-10-21,0.2695,0.2695,0.2695,0.2695,144
1998-10-22,0.252,0.252,0.252,0.252,1432
1998-10-23,0.245,0.266,0.238,0.266,2292
1998-10-26,0.2485,0.2485,0.2485,0.2485,432
1998-10-27,0.245,0.245,0.224,0.224,3080
1998-10-29,0.245,0.245,0.217,0.217,4296
1998-10-30,0.2205,0.245,0.21,0.21,3724
1998-11-02,0.217,0.217,0.217,0.217,4268
1998-11-03,0.217,0.217,0.217,0.217,716
1998-11-05,0.231,0.231,0.231,0.231,2864
1998-11-10,0.217,0.231,0.217,0.231,2864
1998-11-12,0.231,0.231,0.224,0.224,5440
1998-11-16,0.231,0.231,0.196,0.196,12716
1998-11-17,0.217,0.217,0.217,0.217,1432
1998-11-23,0.2485,0.2485,0.2485,0.2485,144
1998-11-24,0.245,0.245,0.245,0.245,7160
1998-11-25,0.252,0.252,0.245,0.245,1720
1998-11-27,0.245,0.245,0.245,0.245,6460
1998-11-30,0.245,0.245,0.245,0.245,144
1998-12-01,0.252,0.252,0.252,0.252,2864
1998-12-02,0.2485,0.2485,0.2485,0.2485,1432
1998-12-08,0.252,0.259,0.21,0.21,14320
1998-12-09,0.21,0.21,0.203,0.203,9308
1998-12-10,0.2485,0.2485,0.2065,0.2065,7160
1998-12-11,0.238,0.238,0.1995,0.1995,5012
1998-12-15,0.231,0.231,0.2205,0.2205,5728
1998-12-17,0.2205,0.2485,0.2205,0.2485,7304
1998-12-18,0.252,0.252,0.252,0.252,288
1998-12-21,0.238,0.294,0.238,0.294,4584
1998-12-29,0.245,0.2975,0.245,0.2975,5872
1999-01-04,0.28,0.28,0.252,0.252,7304
1999-01-05,0.266,0.28,0.266,0.28,2852
1999-01-11,0.287,0.287,0.287,0.287,288
1999-01-12,0.308,0.308,0.308,0.308,3580
1999-01-13,0.294,0.294,0.294,0.294,5728
1999-01-14,0.301,0.301,0.2975,0.2975,3436
1999-01-15,0.294,0.2975,0.294,0.2975,4296
1999-01-26,0.3255,0.343,0.3255,0.343,10740
1999-01-27,0.3535,0.3535,0.3535,0.3535,1432
1999-01-29,0.3535,0.3535,0.3535,0.3535,2864
1999-02-01,0.364,0.3745,0.364,0.3745,5728
1999-02-02,0.378,0.42,0.378,0.42,10024
1999-02-03,0.4375,0.448,0.4375,0.448,2864
1999-02-04,0.462,0.476,0.448,0.448,5012
1999-02-05,0.49,0.5075,0.49,0.5075,6444
1999-02-09,0.455,0.49,0.455,0.49,5012
1999-02-11,0.511,0.511,0.5005,0.5005,2864
1999-02-17,0.504,0.504,0.504,0.504,1432
1999-02-19,0.49,0.49,0.434,0.434,8204
1999-02-24,0.476,0.476,0.476,0.476,1432
1999-03-01,0.42,0.42,0.4095,0.4095,2864
1999-03-02,0.406,0.406,0.406,0.406,15036
1999-03-04,0.406,0.406,0.406,0.406,4052
1999-03-05,0.42,0.42,0.42,0.42,1148
1999-03-08,0.483,0.483,0.441,0.441,2864
1999-03-09,0.441,0.441,0.441,0.441,1432
1999-03-10,0.441,0.448,0.441,0.448,9480
1999-03-16,0.427,0.427,0.427,0.427,1804
1999-03-17,0.427,0.49,0.427,0.49,13604
1999-03-18,0.434,0.469,0.427,0.469,51184
1999-03-19,0.49,0.49,0.49,0.49,1432
1999-03-22,0.504,0.504,0.49,0.49,6444
1999-03-23,0.49,0.504,0.49,0.504,27920
1999-03-24,0.511,0.511,0.511,0.511,3424
1999-03-25,0.49,0.518,0.49,0.504,26016
1999-03-26,0.532,0.532,0.483,0.49,20216
1999-03-29,0.483,0.483,0.483,0.483,1432
1999-03-30,0.497,0.5215,0.497,0.5215,25972
1999-03-31,0.504,0.532,0.504,0.532,32428
1999-04-01,0.574,0.574,0.574,0.574,1432
1999-04-06,0.581,0.581,0.581,0.581,4824
1999-04-07,0.546,0.5985,0.546,0.5985,28908
1999-04-08,0.56,0.574,0.56,0.574,29608
1999-04-09,0.546,0.5845,0.546,0.5845,19916
1999-04-12,0.581,0.5915,0.574,0.588,38716
1999-04-13,0.595,0.665,0.595,0.637,52916
1999-04-14,0.7,0.707,0.637,0.707,46032
1999-04-15,0.707,0.8015,0.6825,0.791,46860
1999-04-16,0.77,0.8715,0.714,0.8715,43624
1999-04-19,0.8015,0.9135,0.798,0.9135,68008
1999-04-20,0.798,0.9065,0.798,0.8505,33416
1999-04-21,0.8365,0.9135,0.8365,0.8645,71372
1999-04-22,0.8715,1.0255,0.8645,1.0255,62052
1999-04-23,0.9765,1.2145,0.9205,1.0605,273272
1999-04-26,1.0535,1.2495,1.0535,1.2495,212212
1999-04-27,1.1865,1.3265,1.1515,1.3195,211452
1999-04-28,1.2425,1.3965,1.2425,1.3965,55396
1999-04-29,1.3265,1.3965,1.3265,1.3965,77772
1999-04-30,1.3615,1.5225,1.3545,1.5225,240228
1999-05-04,1.4665,1.6065,1.3545,1.6065,32216
1999-05-05,1.4875,1.6065,1.4735,1.6065,48364
1999-05-06,1.4735,1.7115,1.4735,1.6065,30840
1999-05-07,1.4735,1.8165,1.4665,1.8165,31800
1999-05-10,1.5715,1.8305,1.5715,1.8305,206468
1999-05-11,1.8165,1.9915,1.8165,1.9915,183076
1999-05-12,1.8165,2.0965,1.8165,2.0965,54176
1999-05-13,1.9215,2.1665,1.9215,2.1665,19872
1999-05-14,2.0265,2.1805,2.0265,2.1665,35508
1999-05-17,2.0965,2.1945,1.9215,2.1945,88984
1999-05-18,2.0265,2.1665,1.9705,2.1665,92964
1999-05-19,2.0265,2.1665,2.0265,2.1665,42840
1999-05-20,2.0965,2.1665,2.0265,2.1665,37556
1999-05-21,2.0405,2.3065,1.9565,2.3065,262480
1999-05-24,2.1665,2.3065,2.0405,2.3065,53948
1999-05-25,2.0475,2.3065,2.0475,2.3065,62652
1999-05-26,2.0965,2.3065,2.0965,2.2995,82828
1999-05-27,2.1315,2.2925,2.1105,2.2925,175388
1999-05-28,2.1665,2.2925,2.1105,2.2925,34620
1999-05-31,2.1315,2.373,2.1175,2.373,175388
1999-06-01,2.2225,2.373,2.1175,2.373,114424
1999-06-02,2.1595,2.2785,2.0965,2.2785,69368
1999-06-07,2.0265,2.583,1.9915,2.583,53360
1999-06-08,2.0965,2.583,2.0965,2.583,222548
1999-06-09,2.2505,2.2505,2.2085,2.2505,34076
1999-06-10,2.2785,2.429,2.2715,2.429,68296
1999-06-11,2.1945,2.478,2.1105,2.478,124704
1999-06-14,2.1805,2.1875,2.1315,2.1315,111532
1999-06-15,2.1665,2.2295,2.1315,2.2295,35492
1999-06-16,2.2085,2.38,2.2015,2.38,25700
1999-06-17,2.2855,2.3695,2.1315,2.3695,88984
1999-06-18,2.1455,2.583,2.1455,2.478,73132
1999-06-21,2.506,2.583,2.3485,2.583,5440
1999-06-22,2.2505,2.576,2.2505,2.555,124088
1999-06-23,2.2505,2.471,2.2505,2.471,139164
1999-06-24,2.2715,2.3695,2.2575,2.3695,12172
1999-06-25,2.2575,2.3345,2.2575,2.3345,75740
1999-06-28,2.3695,2.646,2.3695,2.646,53604
1999-06-29,2.457,2.653,2.457,2.653,96500
1999-06-30,2.513,2.737,2.513,2.737,133436
1999-07-01,2.898,2.898,2.66,2.856,65132
1999-07-02,2.856,2.933,2.681,2.933,31212
1999-07-05,2.87,2.996,2.737,2.996,44956
1999-07-06,2.793,3.108,2.758,3.108,218668
1999-07-07,3.15,3.15,3.017,3.108,23768
1999-07-08,3.01,3.108,2.828,3.108,41120
1999-07-09,2.961,3.073,2.842,3.073,47204
1999-07-12,3.108,3.143,2.898,3.143,61852
1999-07-13,2.933,3.136,2.926,3.136,81180
1999-07-14,2.849,3.108,2.849,3.108,38888
1999-07-15,2.947,3.157,2.947,3.157,60332
1999-07-16,3.017,3.15,3.017,3.15,75308
1999-07-19,3.073,3.192,2.856,2.933,29708
1999-07-20,2.933,3.136,2.898,3.136,41536
1999-07-21,2.933,3.136,2.898,3.136,61852
1999-07-22,2.968,3.143,2.968,3.143,49968
1999-07-23,3.031,3.143,3.024,3.143,27632
1999-07-26,3.038,3.143,3.038,3.143,55908
1999-07-27,3.073,3.073,3.073,3.073,5512
1999-07-28,3.073,3.178,3.073,3.178,5584
1999-07-29,2.933,3.143,2.863,3.143,42436
1999-07-30,3.136,3.136,2.933,3.108,7660
1999-08-02,2.94,3.108,2.863,3.108,8664
1999-08-03,2.968,3.08,2.891,3.08,14948
1999-08-04,2.968,3.073,2.947,3.073,12472
1999-08-05,2.968,3.066,2.968,3.066,1864
1999-08-06,2.982,3.129,2.968,3.129,24124
1999-08-09,2.961,3.157,2.849,3.157,56984
1999-08-10,2.968,3.143,2.947,3.143,40360
1999-08-11,2.982,3.143,2.975,3.143,21432
1999-08-12,2.975,3.143,2.975,3.143,12456
1999-08-13,3.017,3.136,3.017,3.136,105592
1999-08-16,3.108,3.157,2.989,3.157,5512
1999-08-17,3.122,3.143,3.003,3.143,4724
1999-08-18,3.129,3.129,3.129,3.129,432
1999-08-19,3.136,3.143,3.136,3.143,2148
1999-08-23,3.01,3.213,3.01,3.213,40932
1999-08-24,3.038,3.178,3.003,3.178,38272
1999-08-25,2.968,3.248,2.968,3.248,16752
1999-08-26,3.094,3.227,3.094,3.227,4296
1999-08-27,3.164,3.269,3.164,3.269,67292
1999-08-30,3.178,3.283,3.178,3.283,2836
1999-08-31,3.157,3.283,3.157,3.283,8592
1999-09-02,3.15,3.248,3.15,3.248,35936
1999-09-03,3.199,3.283,3.199,3.276,3208
1999-09-06,3.15,3.283,3.15,3.283,860
1999-09-07,3.227,3.325,3.227,3.325,7732
1999-09-08,3.143,3.346,3.143,3.346,124132
1999-09-09,3.171,3.346,3.171,3.346,6044
1999-09-13,3.136,3.199,3.136,3.143,43552
1999-09-14,3.073,3.136,3.073,3.136,12744
1999-09-15,3.136,3.143,3.066,3.143,51688
1999-09-16,2.961,3.353,2.793,3.283,16180
1999-09-17,2.793,3.297,2.793,3.297,17756
1999-09-20,2.814,3.353,2.814,3.353,7876
1999-09-21,3.213,3.353,3.213,3.353,4584
1999-09-22,3.003,3.353,3.003,3.353,92632
1999-09-23,3.206,3.353,3.206,3.353,4584
1999-09-24,3.213,3.339,3.213,3.339,4224
1999-09-29,3.241,3.241,3.241,3.241,716
1999-10-01,3.115,3.269,3.115,3.269,35796
1999-10-05,3.073,3.311,3.038,3.311,74952
1999-10-07,3.052,3.276,3.052,3.276,26776
1999-10-08,3.052,3.633,3.052,3.633,27420
1999-10-11,3.374,3.374,3.374,3.374,1432
1999-10-12,3.318,3.409,3.311,3.409,9308
1999-10-13,3.311,3.479,3.311,3.479,3580
1999-10-14,3.227,3.458,3.227,3.458,11456
1999-10-15,3.227,3.423,3.15,3.353,12672
1999-10-18,3.227,3.339,3.227,3.339,10024
1999-10-19,3.241,3.339,3.241,3.339,3436
1999-10-20,3.213,3.325,3.213,3.325,2864
1999-10-21,3.22,3.339,3.143,3.213,23196
1999-10-22,3.283,3.339,3.073,3.325,39072
1999-10-25,2.968,3.311,2.968,3.311,52976
1999-10-26,3.213,3.311,3.213,3.311,12900
1999-10-27,3.213,3.318,3.213,3.318,15748
1999-10-28,3.248,3.493,3.248,3.493,33360
1999-10-29,3.038,3.276,3.038,3.276,29064
1999-11-02,3.304,3.304,3.304,3.304,288
1999-11-04,3.269,3.269,3.269,3.269,25772
1999-11-08,3.206,3.213,3.206,3.213,1864
1999-11-10,3.003,3.003,3.003,3.003,2864
1999-11-15,3.199,3.199,2.793,2.933,22192
1999-11-16,2.898,2.898,2.898,2.898,11456
1999-11-17,2.793,3.353,2.793,3.353,10452
1999-11-24,2.898,3.346,2.898,3.136,21332
1999-11-29,3.038,3.108,3.038,3.108,8592
1999-11-30,3.108,3.108,3.108,3.108,2148
1999-12-01,3.108,3.108,3.108,3.108,716
1999-12-03,3.108,3.108,3.108,3.108,1432
1999-12-06,3.101,3.101,3.101,3.101,716
1999-12-07,3.101,3.101,3.101,3.101,1432
1999-12-08,3.073,3.101,2.933,3.073,75740
1999-12-09,3.003,3.038,3.003,3.038,28636
