Date,Open,High,Low,Close,Volume
2007-04-11,10.3255,13.2417,10.3255,12.8003,1781983.9861967
2007-04-12,12.5444,12.5444,11.1223,11.6673,325709.17389916
2007-04-13,11.6847,12.5907,11.143,12.2346,223446.47603313
2007-04-16,12.3398,12.5485,11.9613,12.1717,85467.83940214
2007-04-17,12.1717,12.1717,11.9191,12.1717,175665.04333362
2007-04-18,11.8354,12.3472,11.4826,12.1717,157089.27787948
2007-04-19,12.1667,12.4234,11.8064,12.4234,112414.4714077
2007-04-20,12.3398,14.8999,12.3017,14.8999,97322.039287008
2007-04-23,15.4457,16.5778,14.8145,15.5293,141559.76892458
2007-04-24,16.495,16.495,14.9404,15.5161,201219.54940035
2007-04-25,16.2847,16.2847,14.6895,15.5293,79469.503180096
2007-04-26,15.5293,15.545,14.933,15.3148,38581.086078742
2007-04-27,15.1732,15.1732,13.9341,14.8286,35993.639515973
2007-04-30,14.6895,14.6895,14.3284,14.6555,7733.3622186377
2007-05-02,14.6679,15.3198,14.5677,15.3198,207110.4275057
2007-05-04,15.7397,15.7397,15.3198,15.3819,26427.4523406
2007-05-07,15.3612,15.3612,14.7317,14.8999,69203.027154323
2007-05-08,14.6481,15.1094,14.311,14.6812,162855.79434415
2007-05-09,14.311,15.0257,14.311,15.0257,47425.251301463
2007-05-10,15.0257,15.0257,13.6409,14.0816,48322.345466716
2007-05-11,13.2831,14.2282,13.221,14.2282,33420.681688039
2007-05-14,14.6307,14.8402,13.8927,14.8402,20502.767187305
2007-05-15,14.8584,14.8584,14.1023,14.1644,39893.523975957
2007-05-16,14.1694,15.5293,14.1644,15.4034,324128.69440749
2007-05-17,15.3902,15.5293,14.9032,15.3198,61806.528020619
2007-05-18,15.2933,15.9484,14.7317,15.9484,81145.366842777
2007-05-21,16.1207,16.3095,15.7604,16.2209,34075.089544792
2007-05-22,16.5489,17.1916,15.9567,16.5149,36411.398037074
2007-05-23,16.5778,16.8926,15.6171,16.1505,44505.771232038
2007-05-24,16.1596,16.3228,15.7397,16.1505,18975.413056692
2007-05-25,15.6552,16.5778,15.6552,16.36,39497.49855711
2007-05-28,15.7604,16.5364,15.7604,16.5364,30492.749856627
2007-05-29,16.558,17.2032,16.3683,16.8719,60879.248991124
2007-05-30,16.5778,16.9149,16.3683,16.8926,38364.962450775
2007-05-31,16.789,16.9978,16.5778,16.746,86311.808206329
2007-06-01,16.5778,16.789,16.3683,16.789,30202.97515991
2007-06-04,16.8263,16.9514,16.4569,16.9017,15836.18717559
2007-06-05,16.9017,16.9017,16.5778,16.7832,6158.9196998081
2007-06-06,16.7799,16.789,15.9906,16.6201,70813.691510242
2007-06-08,15.9484,16.789,15.9484,16.789,61170.23108241
2007-06-11,16.789,16.789,16.4114,16.7004,14141.005199794
2007-06-12,16.6955,16.746,16.4312,16.6201,22455.124206436
2007-06-13,16.5994,18.048,16.5994,18.0049,270466.04275919
2007-06-14,18.2575,20.7753,18.2575,20.1036,261426.27961618
2007-06-15,20.5658,21.5944,20.5235,20.9849,330294.85847471
2007-06-18,21.5729,21.5729,20.6072,21.1961,127729.06412919
2007-06-19,20.6122,21.1745,20.5741,20.9849,238385.56904346
2007-06-20,21.0693,23.8803,20.5658,22.2438,1446619.277924
2007-06-21,22.5809,22.874,21.4255,21.6151,68762.328136399
2007-06-22,21.8247,22.9999,21.6988,22.6637,79440.525710424
2007-06-25,21.9092,22.6438,21.4478,22.6438,98191.36337716
2007-06-26,22.2438,22.4119,21.6151,22.4119,28608.006933395
2007-06-27,22.4119,23.482,22.2868,22.937,115035.72501841
2007-06-28,23.294,23.482,23.294,23.4613,28013.968805126
2007-06-29,23.4613,23.4613,22.6223,22.6223,22359.740035434
2007-07-02,22.7067,23.0844,20.5658,23.0844,81193.662625563
2007-07-03,23.8605,23.8605,22.2868,22.3697,33580.057771233
2007-07-04,22.2868,22.5809,21.51,22.5809,35783.552860853
2007-07-05,22.455,22.874,22.0351,22.455,27890.814559021
2007-07-06,22.455,22.9784,21.8247,22.9784,30175.205084807
2007-07-09,22.455,23.0844,22.1402,22.874,27814.748701133
2007-07-10,22.6637,22.6637,21.8247,21.8247,20615.054882282
2007-07-11,21.6151,21.8031,20.9849,21.5505,25484.4771817
2007-07-12,21.8247,21.8247,20.5658,21.4039,32730.051994197
2007-07-13,21.5729,21.8247,21.0279,21.1107,10346.16406737
2007-07-16,20.9443,22.6438,20.4407,22.6438,62393.321781471
2007-07-17,21.4039,22.5809,21.4039,22.455,11355.545927602
2007-07-18,21.7833,22.1601,21.4039,21.8247,10887.076834576
2007-07-19,21.8661,22.0773,21.1961,21.4039,97151.796652687
2007-07-20,21.4478,21.9506,21.2375,21.5729,33794.974004632
2007-07-23,21.7833,22.0558,21.1961,21.8247,7034.2807628077
2007-07-24,21.2789,22.2868,21.1961,21.9928,39381.588678424
2007-07-25,21.4478,22.1601,20.9849,22.1601,29488.197574674
2007-07-26,22.1179,22.2231,20.7753,20.7753,25723.541306491
2007-07-27,19.6854,20.4813,18.5515,20.4813,97157.833625536
2007-07-30,20.1459,20.6494,19.4038,20.6494,67041.790874641
2007-07-31,20.5658,21.4039,20.5235,21.4039,48475.684577062
2007-08-01,20.6494,20.7753,19.9786,20.1459,84696.314272131
2007-08-02,20.1914,20.3554,19.832,20.1459,31237.712306103
2007-08-03,19.9363,19.9363,19.0965,19.8899,17310.415945138
2007-08-06,19.2986,19.4535,18.7611,19.4535,29354.176777442
2007-08-07,19.3069,19.6415,18.4886,18.8861,17857.365685191
2007-08-08,19.0758,19.1594,17.4177,18.3627,38952.963606196
2007-08-09,17.7539,18.0264,16.789,18.0264,58664.887350378
2007-08-10,16.8296,17.6231,15.6328,17.6231,102242.17215835
2007-08-13,17.1667,17.6272,16.6623,17.1203,62549.075680957
2007-08-14,17.1145,17.6073,16.4735,17.5436,30664.199885518
2007-08-16,16.7832,16.7832,15.0887,16.3683,75530.982093883
2007-08-17,16.9978,17.04,15.5707,16.9944,45676.943964603
2007-08-20,17.7109,18.467,17.2081,17.6272,42924.08434579
2007-08-21,17.6272,17.6272,16.6201,17.6272,20293.887926755
2007-08-22,17.9221,18.8447,16.9978,18.8447,30623.148470149
2007-08-23,19.2646,19.2646,18.2782,18.5921,38544.864241653
2007-08-24,18.1109,18.467,17.7962,18.467,27751.964183511
2007-08-27,18.467,18.467,18.1399,18.4256,24825.239746668
2007-08-28,18.3826,18.6774,17.9221,18.6774,13000.017331471
2007-08-29,18.048,19.0965,18.048,19.0965,16630.652802422
2007-08-30,19.0551,19.3069,18.1945,18.7188,52179.971116763
2007-08-31,18.9499,18.9499,18.5971,18.9292,7943.4488737576
2007-09-03,19.2986,19.2986,18.8861,19.0924,5816.0196420262
2007-09-04,19.181,19.3069,18.7611,19.2597,26274.113230253
2007-09-05,18.9292,18.9292,18.4712,18.7138,20710.439053285
2007-09-06,18.6774,18.8787,18.144,18.7569,12527.926054736
2007-09-07,18.7569,18.7569,18.2575,18.7138,8619.5898327641
2007-09-10,18.1308,18.3826,16.9978,18.3826,16899.901791456
2007-09-11,18.048,18.6352,18.048,18.6352,19081.663778821
2007-09-12,18.6774,18.8033,18.1308,18.1308,3113.8705951392
2007-09-13,18.0513,18.6352,18.0513,18.6352,3390.3639515901
2007-09-14,18.4505,18.6774,18.2575,18.6733,3659.6129406231
2007-09-17,18.6733,18.6733,18.4712,18.6691,16270.849220666
2007-09-18,18.6691,18.7611,18.3826,18.7611,11077.84517658
2007-09-19,18.8033,18.8033,18.3826,18.795,17749.907568492
2007-09-20,18.7569,18.8861,18.5921,18.8861,5164.0265744127
2007-09-21,18.6774,18.6807,18.4331,18.6302,10849.647602916
2007-09-24,18.2616,18.3362,18.0132,18.048,11315.701906803
2007-09-25,18.0894,18.0894,17.6902,17.9544,6822.9867131181
2007-09-26,17.7191,17.9544,17.3133,17.6272,12038.931254026
2007-09-27,17.5436,18.0894,17.0193,17.3796,11430.40439092
2007-09-28,17.6272,17.6272,16.495,16.495,24527.013287963
2007-10-01,16.3733,16.4901,15.613,15.9484,22277.637204697
2007-10-02,15.6759,15.6759,15.2643,15.5293,21282.744079302
2007-10-03,15.5293,16.2797,15.2138,15.9484,17247.631427516
2007-10-04,16.2714,16.2714,15.8738,15.9484,19701.057193054
2007-10-05,16.2424,16.3683,15.9699,16.3683,9997.22703674
2007-10-08,16.4114,16.5778,16.2466,16.3683,8813.9803584785
2007-10-09,16.452,16.452,16.1173,16.3435,4305.5690353883
2007-10-10,16.3683,16.789,16.201,16.789,20264.910457082
2007-10-11,16.4114,16.789,16.2847,16.717,23086.591566365
2007-10-12,16.5447,16.789,16.2888,16.789,12273.165800539
2007-10-15,17.1617,17.1617,16.789,16.9944,4414.2345466572
2007-10-16,16.8296,17.2081,16.6201,17.2081,5189.3818603754
2007-10-17,17.2032,17.2032,16.5323,16.8677,13738.9428081
2007-10-18,16.789,16.789,16.1795,16.6201,8503.6799540773
2007-10-19,16.3683,16.789,16.2847,16.789,13862.097054204
2007-10-22,16.418,16.5737,16.3774,16.5737,3697.0421722824
2007-10-23,16.389,16.389,15.2858,15.9484,32384.737147275
2007-10-24,16.3484,16.3484,15.3405,15.8854,59035.557483261
2007-10-25,15.8565,15.9699,15.4862,15.8184,15930.363952022
2007-10-26,15.7397,15.7397,14.9495,15.5252,31593.893704152
2007-10-29,15.5293,15.5293,14.9703,15.4034,18523.847487641
2007-10-30,15.0125,15.3819,14.9206,15.2485,8898.4979783543
2007-10-31,14.8733,14.9835,14.4087,14.4087,44319.832468311
2007-11-02,14.0468,14.3209,13.7875,13.8505,13808.97169314
2007-11-05,13.5987,13.6824,12.9692,13.2417,14809.901791384
2007-11-06,12.6537,12.8003,12.3017,12.5907,24821.617562959
2007-11-07,12.7961,12.8815,11.9439,12.5709,30841.686887256
2007-11-08,11.9439,12.5709,11.7526,12.1178,36115.586367508
2007-11-09,12.382,12.382,11.6673,12.382,29576.337378259
2007-11-12,12.0739,12.382,12.0035,12.2131,10172.29924934
2007-11-13,12.5071,12.5071,12.0913,12.2934,12110.167533636
2007-11-14,12.5907,12.8003,11.8354,12.3307,13808.97169314
2007-11-15,12.3721,12.3721,10.0771,11.5,52391.265166452
2007-11-16,11.2101,11.2101,10.5044,10.9243,26370.704795826
2007-11-19,11.3327,11.3327,10.4962,10.9128,22849.942230714
2007-11-20,10.6485,10.6485,10.2377,10.3454,12725.938764159
2007-11-21,10.2825,10.2825,9.32172,9.36314,30605.037551605
2007-11-22,9.10804,9.86339,8.60779,9.86339,767190.58350422
2007-11-23,9.86339,10.0729,9.69526,10.0729,10698.723281709
2007-11-26,10.135,10.3454,9.77891,10.0688,32197.590988979
2007-11-27,9.81701,9.86339,9.66627,9.77145,13193.200462616
2007-11-28,9.88409,9.88409,9.67041,9.76648,18971.790872982
2007-11-29,10.0315,10.3156,9.79547,9.89983,13466.071635357
2007-11-30,10.0729,10.2783,9.87084,10.2783,36882.281919239
2007-12-03,10.5384,10.7993,10.1152,10.304,14259.329867621
2007-12-04,10.4887,10.4887,10.01,10.27,6402.8134028783
2007-12-05,10.367,10.367,10.0729,10.1152,18304.101675964
2007-12-06,10.1491,10.1491,9.9048,10.0688,17873.061814597
2007-12-07,9.98845,9.98845,9.74992,9.88409,5252.1663779975
2007-12-10,9.97189,9.97189,9.69526,9.82198,5901.7446564716
2007-12-11,9.86339,9.86339,9.35982,9.62403,5281.1438476692
2007-12-12,9.44347,9.44347,9.14117,9.28777,15867.5794344
2007-12-13,9.23393,9.23393,8.97387,9.12875,29957.87406227
2007-12-14,9.02356,9.02356,8.50426,9.02356,60855.101099731
2007-12-17,9.00286,9.00286,8.33944,8.43635,53823.235126063
2007-12-18,8.39411,8.59205,8.00815,8.05785,46165.938765313
2007-12-19,8.17131,8.18042,7.93196,8.03797,575817.3368194
2007-12-20,8.05785,8.33033,8.02472,8.28478,48397.203930034
2007-12-21,8.30632,8.75522,8.15972,8.35932,50291.606009822
2007-12-27,8.23426,8.35187,8.18457,8.35187,11424.367418072
2007-12-28,8.39411,8.59205,8.39411,8.39411,25547.261699322
2008-01-02,8.47776,8.47776,8.43635,8.43635,6979.9480071732
2008-01-03,8.39411,8.60365,8.22598,8.60365,14062.524552767
2008-01-04,8.68399,8.68399,8.38665,8.38665,21337.076834936
2008-01-07,8.35187,8.35187,8.17131,8.31046,19035.782785175
2008-01-08,8.18042,8.47776,8.18042,8.31046,28099.693819571
2008-01-09,8.19285,8.4231,8.17131,8.22598,206597.2848136
2008-01-10,8.41647,8.41647,7.73906,8.21852,20832.38590482
2008-01-11,8.01643,8.18042,7.68498,8.05785,83870.456386486
2008-01-14,8.24751,8.24751,7.60431,7.89054,19395.586366931
2008-01-15,7.89054,7.89054,7.55503,7.66021,14113.235124693
2008-01-16,7.48728,7.48728,6.93328,7.07598,12742.842288134
2008-01-17,7.25695,7.30325,6.92557,7.13478,19965.476603809
2008-01-18,7.01353,7.6386,7.01353,7.34491,446931.58869249
2008-01-21,7.42839,7.42839,7.11458,7.13478,12965.002888951
2008-01-22,6.71562,7.17653,6.71562,7.13478,72590.976316773
2008-01-23,7.14365,7.21893,6.96732,7.13478,28685.280185854
2008-01-24,7.21893,7.73906,7.21893,7.73906,8628.0415947517
2008-01-25,8.13736,8.13736,7.68017,8.07855,13317.56210329
2008-01-28,8.12162,8.33944,7.76084,8.07855,13638.729058819
2008-01-29,8.20444,8.35932,8.14647,8.18457,6513.8937032865
2008-01-30,8.3734,8.38168,7.97834,7.97834,8705.3148472096
2008-01-31,8.17546,8.17546,7.73103,7.73103,3342.0681688039
2008-02-01,7.92864,8.39411,7.92864,8.39411,19100.982091936
2008-02-04,8.58294,8.58294,8.39411,8.39411,10697.51588714
2008-02-05,8.39411,8.39411,8.18457,8.18457,31533.523975669
2008-02-06,8.03797,8.18457,8.01975,8.18457,11680.335066838
2008-02-07,8.21852,9.0658,8.21852,9.0658,66770.127096469
2008-02-08,9.29191,9.5147,9.00286,9.14945,17371.99306819
2008-02-11,8.91921,9.44347,8.91921,9.44347,4499.9595611027
2008-02-12,9.7375,9.7375,9.40123,9.44347,21839.352975912
2008-02-13,9.65302,9.65302,9.23393,9.40123,10593.679954149
2008-02-14,9.61161,9.61161,9.23393,9.27617,9810.0808784436
