Date,Open,High,Low,Close,Volume
2010-04-14,6.15119,6.33771,5.8484,5.85733,269511.83955993
2010-04-15,6.01622,6.04417,5.85733,5.85733,115531.57168422
2010-04-16,6.00254,6.00254,5.77882,5.94116,453.94550537125
2010-04-19,5.77882,5.77882,5.41981,5.77399,730.94988633704
2010-04-20,5.9651,5.9882,5.64804,5.91871,306171.59996951
2010-04-21,5.64804,5.91871,5.64804,5.91871,455.16578898784
2010-04-22,5.86683,5.87175,5.86683,5.86683,1293.5006335847
2010-04-23,5.63878,5.80267,5.63878,5.66639,2918.9184108818
2010-04-26,5.87175,5.9882,5.69433,5.87175,3328.9337060558
2010-04-27,5.77882,5.77882,5.69916,5.69916,1073.8495825987
2010-04-28,5.63878,5.63878,5.59214,5.63878,1097.0349713139
2010-04-29,5.92272,5.9882,5.68539,5.68539,927.41554860793
2010-04-30,5.59649,5.94116,5.59214,5.94116,1365.4973669635
2010-05-05,5.77882,5.77882,5.54568,5.54568,287169.34349198
2010-05-07,5.50405,5.54568,5.49864,5.49864,38403.545697684
2010-05-10,5.59214,5.59214,5.59214,5.59214,449.06437090489
2010-05-11,5.59649,5.59649,5.42899,5.42899,23490.459619346
2010-05-12,5.63878,5.63878,5.59214,5.59214,1021.3773870853
2010-05-13,5.62009,5.62009,5.62009,5.62009,2175.7656883789
2010-05-14,5.59214,5.73236,5.59214,5.73236,3919.5509764851
2010-05-17,5.73236,5.73236,5.73236,5.73236,460.0469234542
2010-05-18,5.73236,5.73236,5.73236,5.73236,6733.5249963402
2010-05-20,5.72228,5.7276,5.35965,5.72228,2225.797316659
2010-05-25,5.18649,5.59214,5.18649,5.5687,700.44279592231
2010-05-26,5.35965,5.52208,5.35965,5.52208,2932.3415306643
2010-05-27,5.54568,5.59214,5.54568,5.59214,24395.910062855
2010-05-28,5.59214,5.62009,5.45201,5.62009,19596.534598809
2010-05-31,5.52208,5.60149,5.52208,5.60149,1808.4603197855
2010-06-01,5.59214,5.59214,5.40604,5.46192,14655.606235238
2010-06-04,5.42899,5.46192,5.41481,5.46192,650.41116764214
2010-06-07,5.41481,5.41481,5.41481,5.41481,401.47330985791
2010-06-08,5.2895,5.41481,5.2895,5.41481,2482.0568761428
