Date,Open,High,Low,Close,Volume
2021-12-09,66.8051,67.0759,63.194,63.194,2424037.4141359
2021-12-10,62.3093,62.7336,58.6802,60.9371,1061153.918949
2021-12-13,60.9913,61.0635,60.0344,60.9371,202151.82649579
2021-12-14,61.0815,61.3885,60.0344,60.4857,107925.37279593
2021-12-15,60.8468,60.9371,60.0434,60.9371,86756.128610208
2021-12-16,61.3885,61.4698,60.7204,61.2712,64742.817443718
2021-12-17,61.3885,61.4066,60.4857,61.0274,82449.393149265
2021-12-20,60.4857,61.3794,60.4857,60.4857,54416.843172394
2021-12-21,60.4857,60.9191,60.0614,60.4857,96071.880983286
2021-12-22,60.7565,61.3885,60.7476,61.1176,86632.066271827
2021-12-23,61.3885,62.201,61.2621,62.1107,5012.3400104849
2021-12-27,62.2913,64.0065,62.2913,63.2031,39106.221376831
2021-12-28,63.6364,63.6364,63.2121,63.4648,16464.844622287
2021-12-29,63.5551,65.3878,63.4739,64.7649,23485.443735315
2021-12-30,64.9995,65.7218,64.9995,65.4511,42592.151545449
2022-01-03,65.4511,66.3537,65.4511,66.2363,14558.493869128
2022-01-04,66.76,68.9718,65.9113,67.5273,88638.10997547
2022-01-05,66.9856,68.6016,66.9856,68.1683,50447.95604365
2022-01-07,68.1593,68.6016,67.7079,67.8884,85358.211904521
2022-01-10,67.8884,68.3849,67.8884,68.2044,30938.045633778
2022-01-11,68.5203,68.9627,67.7169,68.3849,218922.39616623
2022-01-12,68.4301,69.9648,68.4301,69.2697,76508.800999822
2022-01-13,70.3259,70.3259,69.333,70.1454,37447.995300434
2022-01-14,69.9648,70.2808,69.5225,70.0551,144043.02105711
2022-01-17,70.4162,70.5967,69.9558,70.5967,12848.205918589
2022-01-18,70.5967,71.9509,69.694,70.4162,131342.13916535
2022-01-19,69.9648,72.1135,68.6107,71.4544,88917.250236828
2022-01-20,71.4544,71.4544,65.2975,66.8051,213694.05476303
2022-01-21,66.8051,68.4662,66.0829,67.4371,60646.544878243
2022-01-24,67.7079,67.7531,66.444,66.7059,70562.670353129
2022-01-25,65.9204,67.3468,65.9204,66.742,32540.886737683
2022-01-26,66.742,66.8502,65.9113,66.3086,11131.271771351
2022-01-27,65.3065,66.2905,64.9995,65.6767,16802.692954485
2022-01-28,65.6767,65.9024,63.4017,64.0969,7548.9717505977
2022-01-31,65.6134,65.6134,63.2301,64.9995,7165.7077409562
2022-02-01,65.4511,66.8412,65.3607,65.9113,9912.8023765369
2022-02-02,66.3537,67.7079,66.3537,67.7079,20103.637314981
2022-02-03,67.7079,67.9788,67.2566,67.2566,16656.476627108
2022-02-04,67.9788,67.9788,67.2566,67.2566,19133.29259693
2022-02-07,65.9024,65.9024,62.4718,65.0538,40896.263687758
2022-02-08,66.787,66.9856,65.767,66.6246,9391.0759356666
2022-02-09,67.7079,68.5926,66.7239,67.5905,55559.989004619
2022-02-10,68.6107,68.6107,64.3045,64.819,245626.81450276
2022-02-11,64.1871,65.4329,64.1871,65.4059,2636.3246905976
2022-02-14,65.4239,65.9024,64.1238,65.9024,4684.460973335
2022-02-15,66.3537,66.6246,65.9113,66.3717,1775.642218079
2022-02-16,66.3717,66.8594,65.9024,66.3537,5947.2383461422
2022-02-17,66.4079,66.4079,64.5843,64.9995,3535.7766438603
2022-02-18,65.4419,65.4419,63.2031,63.7358,950.40612795493
2022-02-21,64.0878,64.1058,58.8066,63.5551,11294.103590476
2022-02-22,63.5642,63.5642,60.4857,61.8399,15926.502689669
2022-02-23,61.8399,61.9392,60.4857,60.4857,1277.1774656551
2022-02-24,50.5552,56.8746,50.2573,50.2573,19148.800389227
2022-02-25,51.0065,56.1072,50.9976,54.1663,50429.125153003
2022-02-28,54.1663,54.8343,52.3607,52.3607,53103.111624894
2022-03-01,51.7288,53.2636,48.7497,49.8691,45396.846552421
2022-03-02,48.7497,49.6524,46.9531,48.3254,76667.202021148
2022-03-03,48.3254,48.7497,47.3955,47.3955,69570.171646081
2022-03-04,47.3955,47.3955,44.0554,44.6872,29951.085423978
2022-03-07,44.6872,45.1386,43.333,43.5136,32942.981637972
2022-03-08,43.4684,44.6331,43.3827,43.5136,16920.109096167
2022-03-09,44.3261,44.3261,40.6248,43.5136,162167.19945525
2022-03-10,44.2358,45.5809,42.349,44.2358,65185.89722365
2022-03-11,44.4164,45.5448,43.6084,44.1049,16132.534787338
2022-03-14,46.0414,46.6553,44.1004,44.2358,5339.1113481851
2022-03-15,46.0414,46.4927,45.1386,46.4927,1221.7924931635
2022-03-16,46.4927,49.2914,45.9601,47.874,2414.7848006314
2022-03-17,48.2983,53.2636,48.1358,53.2636,11301.857486625
2022-03-18,54.9789,54.9789,51.0157,54.8885,9384.4297389676
2022-03-21,54.8885,54.8885,51.5753,52.3518,8295.5611797838
2022-03-22,52.3607,54.1573,51.0609,52.451,7741.7114548683
2022-03-23,52.3607,53.2545,51.7288,52.2705,1145.3612311252
2022-03-24,52.2614,54.058,52.2525,53.2636,53640.345858062
