Date,Open,High,Low,Close,Volume
2008-03-20,2.68605,2.80835,2.62216,2.62216,235294.02917177
2008-03-25,2.51144,2.65135,2.31311,2.33076,53880.49232154
2008-03-26,2.31902,2.38896,2.15595,2.19083,117702.06805414
2008-03-27,2.31311,2.31311,2.19655,2.24309,13108.343146121
2008-03-28,2.26676,2.26676,2.15595,2.23755,13415.069612126
2008-03-31,2.15595,2.26088,2.06863,2.25492,28448.037066922
2008-04-01,2.26088,2.29595,2.15595,2.2025,7965.8997948058
2008-04-02,2.21415,2.22012,2.10959,2.16763,11888.178523109
2008-04-03,2.13272,2.13272,1.98124,1.98685,28894.082513825
2008-04-04,1.99868,1.99868,1.83534,1.91707,48135.831439897
2008-04-07,1.89366,1.90549,1.83534,1.89366,25254.93590799
2008-04-08,1.82976,2.20829,1.80626,2.20829,102000.59419907
2008-04-09,2.2025,2.43551,2.15017,2.43551,111523.72066745
2008-04-10,2.44727,2.47629,2.36582,2.40063,13342.039501173
2008-04-11,2.44727,2.79099,2.44727,2.75612,139779.63236556
2008-04-14,2.50556,2.66294,2.50556,2.6164,6709.7818864007
2008-04-15,2.62216,2.63364,2.45341,2.4591,1323.5303185164
2008-04-16,2.6164,2.70947,2.4591,2.65135,73279.536871203
2008-04-17,2.62216,2.62216,2.4591,2.46471,5634.5539451272
2008-04-18,2.44727,2.46471,2.30736,2.46471,17541.832651101
2008-04-21,2.49408,2.55194,2.49408,2.55194,4190.8048285791
2008-04-22,2.49408,2.59288,2.49408,2.59288,2163.9383645694
2008-04-23,2.61049,2.61049,2.61049,2.61049,20.223723033358
2008-04-24,2.44727,2.59288,2.44727,2.59288,865.1259297603
2008-04-25,2.45341,2.51722,2.45341,2.51722,832.54326487323
2008-04-28,2.53475,2.53475,2.34837,2.48223,3497.5805446024
2008-04-29,2.48223,2.48223,2.33076,2.33076,23658.385328524
2008-04-30,2.44139,2.55798,2.44139,2.55798,29979.422316617
2008-05-05,2.55798,2.59288,2.44727,2.55798,19892.278683645
2008-05-06,2.8435,2.8435,2.53475,2.68072,1969.5659154153
2008-05-07,2.72709,2.72709,2.72709,2.72709,1.1235401685199
2008-05-08,2.47629,2.49995,2.38896,2.40063,12057.833088554
2008-05-09,2.40063,2.48223,2.38896,2.48223,2987.4933080944
2008-05-12,2.48223,2.58728,2.48223,2.58728,120.21879803164
2008-05-13,2.33076,2.51722,2.32471,2.51722,2185.2856277711
2008-05-15,2.27246,2.44727,2.27246,2.44727,14084.699552565
2008-05-16,2.22012,2.30165,2.15595,2.15595,22035.993325181
2008-05-19,2.21415,2.27246,2.15595,2.27246,34481.447771874
2008-05-20,2.26676,2.26676,2.26676,2.26676,17.976642696317
2008-05-21,2.0569,2.26088,2.0569,2.26088,1653.8511280613
2008-05-23,2.26676,2.33076,2.26676,2.30736,2130.2321595137
2008-05-26,2.31311,2.31311,2.25492,2.25492,131.45419971684
2008-05-27,2.15595,2.30165,2.15595,2.30165,502.22245532838
2008-05-29,2.12685,2.30165,2.07452,2.09784,4676.1741813797
2008-05-30,2.15595,2.15595,1.95204,2.15017,9921.9832281991
2008-06-02,2.03338,2.03338,2.03338,2.03338,1714.5222971612
2008-06-03,2.01035,2.01035,1.92863,2.00445,3425.6739738171
2008-06-04,1.89366,1.99868,1.89366,1.89366,2506.6181159678
2008-06-05,1.95204,2.08021,1.95204,2.08021,2451.5646477104
2008-06-06,2.03953,2.20829,2.03953,2.20829,368.52117527452
2008-06-09,2.25492,2.25492,2.25492,2.25492,1.1235401685199
2008-06-10,1.80626,1.80626,1.80626,1.80626,105.61277584087
2008-06-11,2.15595,2.15595,2.15595,2.15595,105.61277584087
2008-06-12,2.15017,2.21415,1.81802,2.09784,1583.0680974446
2008-06-13,2.09185,2.09185,2.09185,2.09185,2368.42267524
2008-06-16,2.09784,2.09784,2.09784,2.09784,2.2470803370396
2008-06-17,2.15017,2.15017,2.15017,2.15017,5.6177008425993
2008-06-18,2.21415,2.21415,2.21415,2.21415,1.1235401685199
2008-06-19,2.24309,2.30165,2.24309,2.30165,2.2470803370396
2008-06-20,2.28999,2.28999,2.28999,2.28999,257.29069859104
2008-06-24,2.18531,2.18531,2.15017,2.15017,226.95511404101
2008-06-26,2.18531,2.18531,2.18531,2.18531,15.729562359279
2008-06-27,1.89953,2.08021,1.80626,2.03953,29589.553878138
2008-06-30,2.03953,2.03953,2.03953,2.03953,630.30603453966
2008-07-01,1.80626,1.89366,1.77707,1.86456,5824.4322336071
2008-07-02,1.74804,1.86456,1.70736,1.85868,1288.7005732922
2008-07-03,1.74804,1.83534,1.72482,1.82353,19833.85459488
2008-07-07,1.82976,1.82976,1.71894,1.80626,2230.2272345119
2008-07-08,1.74804,1.74804,1.74804,1.74804,257.29069859104
2008-07-11,1.74804,1.82353,1.71894,1.80626,3554.8810931969
2008-07-14,1.83534,1.83534,1.83534,1.83534,87.63613314455
2008-07-15,1.66635,1.73658,1.57904,1.73658,3984.0734375715
2008-07-16,1.57904,1.68985,1.57904,1.68985,1934.7361701912
2008-07-17,1.69562,1.81802,1.69562,1.81802,223.58449353545
2008-07-18,1.81802,1.81802,1.81802,1.81802,257.29069859104
2008-07-23,1.74804,1.74804,1.74804,1.74804,1358.3600637405
2008-07-29,1.6724,1.6724,1.66635,1.66635,487.61643313763
2008-07-30,1.66072,1.77707,1.66072,1.77707,396.60967948751
2008-08-05,1.74226,1.74226,1.63155,1.63155,2715.5965873125
2008-08-06,1.71894,1.71894,1.66072,1.66072,1363.977764583
2008-08-07,1.76567,1.76567,1.76567,1.76567,346.05037190411
2008-08-08,1.68985,1.68985,1.57333,1.68985,1217.9175426755
2008-08-11,1.74226,1.74226,1.74226,1.74226,667.38286010081
2008-08-13,1.71894,1.80048,1.71894,1.80048,5144.6904316525
2008-08-14,1.89366,1.89366,1.54994,1.74804,1923.500768506
2008-08-18,1.78321,1.78321,1.78321,1.78321,1.1235401685199
2008-08-19,1.57333,1.74804,1.57333,1.74804,801.08414015466
2008-08-21,1.5906,1.67844,1.5906,1.67844,2368.42267524
2008-08-22,1.6724,1.6724,1.57333,1.60243,4187.4342080735
2008-08-25,1.74226,1.74226,1.74226,1.74226,1.1235401685199
2008-08-26,1.74804,1.76567,1.74804,1.76567,314.59124718556
2008-08-28,1.68985,1.754,1.53238,1.754,2148.20880221
2008-09-01,1.71894,1.71894,1.56194,1.57333,8658.000538614
2008-09-02,1.57333,1.60243,1.54414,1.60243,3107.7121061259
2008-09-04,1.59639,1.59639,1.59639,1.59639,612.32939184333
2008-09-08,1.5906,1.5906,1.5906,1.5906,622.44125336001
2008-09-09,1.5906,1.59639,1.5906,1.59639,416.83340252087
2008-09-10,1.5906,1.59639,1.5906,1.59639,244.93175673734
2008-09-16,1.57333,1.57333,1.19453,1.50916,6196.324029387
2008-09-17,1.45656,1.45656,1.45656,1.45656,1268.4768502589
2008-09-18,1.33997,1.41002,1.33997,1.41002,1069.6102404308
2008-09-19,1.39862,1.39862,1.39862,1.39862,342.67975139856
2008-09-22,1.39862,1.39862,1.39862,1.39862,171.90164578353
2008-09-24,1.38109,1.38109,1.36934,1.36934,1717.8929176668
2008-09-25,1.37503,1.50319,1.37503,1.50319,194.37244915394
2008-09-26,1.50916,1.60243,1.45656,1.56194,9013.0392318664
2008-09-29,1.4918,1.56194,1.4918,1.51494,11219.672122841
2008-09-30,1.46253,1.46253,1.43929,1.45656,9100.6753650109
2008-10-01,1.50916,1.53834,1.50916,1.53834,772.99563594168
2008-10-02,1.48585,1.48585,1.48585,1.48585,186.50766797431
2008-10-03,1.53834,1.53834,1.43929,1.50916,3094.2296241037
2008-10-06,1.42175,1.42762,1.31123,1.33997,8011.9649417152
2008-10-07,1.34609,1.34609,1.15946,1.28201,39754.221782739
2008-10-08,1.21188,1.28201,1.16561,1.16561,31400.700629793
2008-10-09,1.1826,1.1826,1.1826,1.1826,512.33431684506
2008-10-10,1.16561,1.16561,1.04882,1.04882,21498.941124629
2008-10-13,1.16561,1.25283,1.16561,1.19453,7243.4634664476
2008-10-14,1.1422,1.22363,1.10704,1.21188,24392.057058565
2008-10-15,1.1826,1.28201,1.1826,1.28201,15692.485533717
2008-10-16,1.1826,1.18856,1.13613,1.18856,8488.3459731676
2008-10-17,1.14781,1.14781,1.13046,1.13046,13576.859396394
2008-10-20,1.10704,1.10704,1.10704,1.10704,1714.5222971612
2008-10-21,1.07784,1.10133,1.07784,1.10133,4968.2946251948
2008-10-22,1.04882,1.04882,0.99062,0.99062,2404.3759606325
2008-10-23,0.938105,0.99062,0.932495,0.985002,27569.42865514
2008-10-24,0.920664,0.920664,0.909,0.909,7004.1494105528
2008-10-27,0.86806,1.09556,0.86806,1.09556,18673.237600799
2008-10-28,1.13046,1.15376,1.07784,1.11879,8249.0319172729
2008-10-29,1.13613,1.18856,1.13046,1.13046,2486.3943929344
2008-10-30,1.13613,1.14781,1.13613,1.13613,7467.0479599831
2008-10-31,1.07784,1.12458,1.07784,1.12458,4440.2307459905
2008-11-03,1.11879,1.11879,1.10704,1.10704,8080.5008919949
2008-11-04,1.16561,1.2004,1.16561,1.2004,725.80694886384
2008-11-05,1.21777,1.31708,1.10704,1.31123,42766.43297454
2008-11-06,1.28781,1.41605,1.28781,1.41605,43486.622222562
2008-11-07,1.33464,1.36934,1.33464,1.36934,2474.0354510808
2008-11-10,1.33464,1.33464,1.24117,1.28781,12135.357360184
2008-11-12,1.21188,1.21188,1.21188,1.21188,599.97044998961
2008-11-13,1.1826,1.1826,1.15376,1.15376,2.2470803370396
2008-11-14,1.25842,1.25842,1.20609,1.25842,5524.4470086122
2008-11-17,1.16561,1.16561,1.16561,1.16561,87.63613314455
2008-11-18,1.10704,1.1422,1.10133,1.1422,11103.947485482
2008-11-19,1.0839,1.0839,1.0839,1.0839,425.82172386902
2008-11-20,1.0254,1.06637,1.0254,1.06637,12598.255909614
2008-11-21,1.11879,1.11879,1.11879,1.11879,171.90164578353
2008-11-24,1.11879,1.13046,1.11879,1.13046,2284.1571626009
2008-11-25,1.13046,1.42175,1.13046,1.42175,73280.660411371
2008-11-26,1.35759,1.43929,1.28201,1.43929,13025.201173651
2008-11-27,1.45095,1.585,1.45095,1.49751,15953.146852814
2008-11-28,1.51494,1.51494,1.42175,1.42175,7304.1346355477
2008-12-01,1.29366,1.33997,1.29366,1.33997,6194.07694905
2008-12-02,1.31123,1.37503,1.25283,1.37503,8247.9083771044
2008-12-03,1.36934,1.37503,1.36934,1.37503,36213.946711733
2008-12-04,1.40432,1.40432,1.40432,1.40432,21.347263201878
2008-12-05,1.39257,1.39257,1.32287,1.32287,307.85000617445
2008-12-08,1.38109,1.38109,1.38109,1.38109,639.29435588781
2008-12-10,1.39257,1.39257,1.33997,1.33997,6487.3209330338
2008-12-12,1.28201,1.28201,1.24684,1.24684,3415.5621123003
2008-12-15,1.28781,1.28781,1.28201,1.28201,7268.1813501549
2008-12-16,1.31123,1.33997,1.28201,1.33997,867.37301009733
2008-12-17,1.34609,1.34609,1.28781,1.34609,11280.343291941
2008-12-18,1.28781,1.32868,1.28201,1.32868,2338.0870906899
2008-12-23,1.25283,1.25283,1.25283,1.25283,1232.5235648663
2008-12-29,1.25283,1.25283,1.25283,1.25283,1081.9691822846
2008-12-30,1.27623,1.31123,1.27623,1.31123,3467.2449600522
2008-12-31,1.31708,1.31708,1.31708,1.31708,5697.4721945642
2009-01-05,1.3518,1.39862,1.33464,1.33464,919.05585784925
2009-01-06,1.39257,1.48585,1.39257,1.39257,18673.237600799
2009-01-07,1.46838,1.74226,1.46838,1.54414,27053.72371779
2009-01-08,1.54414,1.54414,1.54414,1.54414,29.212044381516
2009-01-09,1.48585,1.48585,1.41605,1.45095,7611.9846417221
2009-01-13,1.31123,1.38109,1.31123,1.38109,5075.0309412042
2009-01-14,1.42175,1.42175,1.34609,1.39257,1583.0680974446
2009-01-15,1.40432,1.42762,1.40432,1.42762,1089.8339634643
2009-01-16,1.35759,1.35759,1.35759,1.35759,3432.4152148282
2009-01-19,1.39257,1.39257,1.39257,1.39257,3298.7139347743
2009-01-20,1.39862,1.39862,1.32868,1.33464,6535.63316028
2009-01-21,1.25283,1.33464,1.25283,1.33464,12015.138562151
2009-01-22,1.25283,1.25283,1.25283,1.25283,5989.5926383795
2009-01-23,1.1826,1.33464,1.17699,1.29366,6503.050495393
2009-01-26,1.29946,1.29946,1.24684,1.24684,7141.2213111123
2009-01-28,1.25283,1.29366,1.24684,1.24684,11224.166283514
2009-01-29,1.24117,1.24117,1.24117,1.24117,513.45785701358
2009-01-30,1.24117,1.24684,1.22363,1.24684,1652.7275878927
2009-02-02,1.16561,1.16561,1.15376,1.15946,4269.4526403756
2009-02-03,1.15376,1.22363,1.15376,1.15376,8580.4762669862
2009-02-04,1.13046,1.13046,1.13046,1.13046,2576.277606416
2009-02-05,1.10704,1.13046,1.10704,1.13046,861.75530925475
2009-02-06,1.10704,1.13613,1.10704,1.11879,2576.277606416
2009-02-09,1.12458,1.12458,1.12458,1.12458,544.91698173213
2009-02-10,1.13613,1.19453,1.13613,1.19453,7080.5501420122
2009-02-11,1.21777,1.21777,1.15946,1.15946,11615.158262158
2009-02-12,1.08959,1.16561,1.08959,1.15946,17350.830822453
2009-02-16,1.09556,1.10133,1.08959,1.09556,8355.7682332822
2009-02-17,0.99062,1.04296,0.99062,1.00815,2933.5633800053
2009-02-18,0.973173,1.06637,0.973173,1.06637,7533.3368299258
2009-02-19,1.04296,1.06637,0.99062,1.06637,9953.4423529175
2009-02-20,0.973173,0.973173,0.973173,0.973173,3432.4152148282
2009-02-23,1.00815,1.00815,1.00815,1.00815,307.85000617445
