Date,Open,High,Low,Close,Volume
2011-04-12,5.13423,5.46187,5.12882,5.37219,1026237.9487263
2011-04-13,5.39318,5.49892,5.351,5.36677,340447.67624603
2011-04-14,5.351,5.351,5.23978,5.2716,114913.01738531
2011-04-15,5.26636,5.28737,5.03886,5.23455,128599.26692638
2011-04-18,5.22923,5.36677,5.13423,5.28737,168774.8885526
2011-04-19,5.23455,5.41437,5.23455,5.38796,66980.079222855
2011-04-20,5.34037,5.39318,5.31387,5.34037,19781.600949836
2011-04-21,5.34037,5.41437,5.29286,5.40382,186369.7516745
2011-04-26,5.41968,5.68396,5.41968,5.63646,155319.40586501
2011-04-27,5.63646,6.02232,5.60472,5.90092,159475.42813973
2011-04-28,5.87441,6.00113,5.869,5.9431,46718.083813609
2011-04-29,5.869,5.95373,5.869,5.90613,16931.40841814
2011-05-02,5.869,5.869,5.774,5.84791,12995.058436648
2011-05-04,5.79518,5.92722,5.55191,5.8955,76028.802573772
2011-05-05,5.869,5.94851,5.71046,5.92722,34933.44190171
2011-05-06,5.92201,5.99059,5.72101,5.99059,65624.323958654
2011-05-09,5.90613,5.996,5.76327,5.94851,18706.538060302
2011-05-10,5.91659,5.97473,5.78445,5.94851,29264.121607057
2011-05-11,5.78969,5.97473,5.78969,5.9431,30898.350333872
2011-05-12,5.85323,5.9696,5.85323,5.96409,33255.944389867
2011-05-13,5.8955,5.9696,5.8955,5.93786,33099.511090151
2011-05-16,5.92201,5.9696,5.84268,5.8955,40391.965551356
2011-05-17,5.82159,5.92201,5.78969,5.81627,22176.916510728
2011-05-18,5.81627,5.97473,5.81627,5.97473,69031.463415577
2011-05-19,5.9696,6.23396,5.84268,6.15473,63063.699449836
2011-05-20,6.09082,6.18601,6.08064,6.17078,21763.089412899
2011-05-23,6.08587,6.08587,5.9696,6.08064,14805.690671653
2011-05-24,5.99059,6.08587,5.99059,6.08587,6457.034073362
2011-05-25,6.08064,6.08064,5.87964,6.02781,34174.573979686
2011-05-26,5.90092,6.0755,5.88487,6.0171,2620.5351342407
2011-05-27,6.0755,6.08064,5.82159,5.94851,6105.3365130088
2011-05-30,5.869,6.18096,5.81627,6.04351,32853.211852302
