Date,Open,High,Low,Close,Volume
2015-12-16,7.51463,7.52162,6.477,7.18347,44696.748955134
2015-12-17,7.18347,7.3671,6.84612,7.3671,15874.305439742
2015-12-18,7.3671,7.51463,7.18918,7.18918,770.6861924886
2015-12-21,7.01765,7.3671,7.01765,7.3671,1602.3765690792
2015-12-22,7.42887,7.42887,7.3671,7.3671,10.167364017
2015-12-23,7.3671,7.3671,7.24465,7.3671,44.7364016748
2015-12-28,7.3613,7.3613,7.18347,7.33681,86.4225941445
2015-12-29,7.3312,7.33681,7.18347,7.33681,2037.5397490068
2015-12-30,7.3671,7.42887,7.18347,7.42887,2681.1338912829
2016-01-04,7.42887,7.42887,7.18347,7.42887,7626.5397491517
2016-01-05,7.39798,7.39798,7.3671,7.3671,5094.8661089187
2016-01-07,7.39798,7.39798,7.24465,7.3671,5845.2175733733
2016-01-08,7.39798,7.39798,7.3671,7.3671,9.1506276153
2016-01-11,7.42887,7.42887,7.05414,7.06043,1587.1255230537
2016-01-12,7.06043,7.1161,6.78426,6.87632,1529.1715481568
2016-01-13,6.94457,6.94457,6.94457,6.94457,82.3556485377
2016-01-14,6.93198,6.93198,6.4468,6.50798,24500.297071765
2016-01-15,6.50798,6.50798,6.38533,6.38533,1962.301255281
2016-01-18,6.38533,6.38533,6.09066,6.09066,336.5397489627
2016-01-19,6.13974,6.13974,6.08447,6.11506,339.5899581678
2016-01-20,6.13355,6.13355,5.77121,5.77121,3904.267782528
2016-01-21,5.92474,5.92474,5.52572,5.76511,2440.16736408
2016-01-22,5.76511,5.76511,5.76511,5.76511,161.6610878703
2016-01-25,5.55631,5.60548,5.53182,5.60548,13315.179916663
2016-01-26,5.60548,5.76511,5.60548,5.76511,407.7112970817
2016-01-27,5.80209,6.26219,5.75911,6.26219,5687.6234311098
2016-01-28,6.20092,6.63122,6.13974,6.62453,1902.3138075807
2016-01-29,6.62453,6.63122,6.32386,6.59355,2394.4142260035
2016-02-01,6.63122,6.63122,6.63122,6.63122,458.5481171667
2016-02-02,6.74767,6.74767,6.15184,6.15184,2249.0209205604
2016-02-03,6.20092,6.20092,6.20092,6.20092,338.5732217661
2016-02-04,6.14584,6.20092,5.98002,6.20092,238.9330543995
2016-02-05,6.20092,6.23141,6.13974,6.23141,756.4518828648
2016-02-08,6.14584,6.238,6.14584,6.238,39.6527196663
2016-02-09,6.238,6.56925,6.07827,6.56925,1374.6276150984
2016-02-10,6.56925,6.56925,6.50798,6.50798,3.0502092051
2016-02-11,6.50798,6.50798,6.50798,6.50798,5.0836820085
2016-02-12,6.50798,6.50798,6.50798,6.50798,9.1506276153
2016-02-15,6.50798,6.50798,6.50798,6.50798,2.0334728034
2016-02-16,6.50798,6.50798,6.50798,6.50798,7.1171548119
2016-02-17,6.50798,6.50798,6.50798,6.50798,2.0334728034
2016-02-18,6.50798,6.50798,6.29298,6.29298,1913.4979079994
2016-02-19,6.29298,6.29298,6.29298,6.29298,79.3054393326
2016-02-22,6.29298,6.29298,6.14584,6.14584,357.8912133984
2016-02-23,6.13974,6.20092,6.13974,6.13974,16988.648536005
2016-02-24,6.13974,6.14584,6.13974,6.13974,5793.3640168866
2016-02-25,6.13974,6.13974,6.05378,6.13974,483.9665272092
2016-02-26,6.13974,6.14584,6.13974,6.14584,416.861924697
2016-02-29,6.13974,6.23141,6.0046,6.23141,2488.9707113616
2016-03-01,6.21331,6.21331,6.13974,6.13974,630.376569054
2016-03-02,6.14584,6.23141,6.14584,6.21941,1536.2887029687
2016-03-03,6.21941,6.4468,6.21941,6.4468,225.7154811774
2016-03-04,6.4468,6.4468,6.21941,6.41641,123.0251046057
2016-03-07,6.42792,6.4468,6.42792,6.4468,2.0334728034
2016-03-08,6.23141,6.4468,6.23141,6.32386,2267.322175791
2016-03-09,6.23141,6.26219,6.23141,6.26219,16.2677824272
