Date,Open,High,Low,Close,Volume
2007-04-18,7.57131,7.57131,5.97397,6.0895,1922499.1141774
2007-04-19,6.10233,6.60914,6.03169,6.43591,448372.73630198
2007-04-20,6.54501,6.63454,6.34621,6.60914,175520.18005526
2007-04-23,6.80181,6.80181,6.3528,6.42291,71818.041883585
2007-04-24,6.3846,6.3846,6.25642,6.28814,32408.839010198
2007-04-25,6.28814,6.48098,6.16014,6.47438,45473.908347057
2007-04-26,6.48098,6.48098,6.3079,6.37195,28758.405366418
2007-04-27,6.3528,6.45515,6.27558,6.41693,69126.03204026
2007-04-30,6.57735,6.67285,6.48757,6.60914,61302.698571692
2007-05-02,6.60914,6.66731,6.55178,6.55767,20379.595870982
2007-05-04,6.55178,6.73776,6.48098,6.73776,70801.566285238
2007-05-07,6.73776,6.73776,6.54501,6.68602,39210.005527686
2007-05-08,6.61583,6.61583,6.41693,6.41693,41524.109549453
2007-05-09,6.41693,6.5068,6.37195,6.41693,14155.532520751
2007-05-10,6.48098,6.48098,6.28814,6.40375,26593.41478629
2007-05-11,6.40375,6.40375,6.00604,6.40375,89972.318835454
2007-05-14,6.41043,6.41693,6.28814,6.3528,8575.7303000432
2007-05-15,6.37792,6.41693,6.28814,6.40375,27571.189186043
2007-05-16,6.41043,6.41043,6.28814,6.3911,4086.3912632274
2007-05-17,6.32705,6.32705,6.17297,6.22435,25691.904513177
2007-05-18,6.32055,6.32055,6.11515,6.16014,8153.4319271581
2007-05-21,6.17938,6.25642,6.17297,6.17297,10492.577900956
2007-05-22,6.23059,6.23059,6.14081,6.1857,35630.144657812
2007-05-23,6.17938,6.17938,6.1344,6.16014,12465.200758664
2007-05-24,6.09582,6.19211,6.08308,6.16014,16762.172073061
2007-05-25,6.1344,6.33961,6.1344,6.33961,4049.9666057279
2007-05-28,6.32055,6.57735,6.32055,6.51269,33634.756389166
2007-05-29,6.51269,6.51269,6.3846,6.41693,49278.008514663
2007-05-30,6.3528,6.41693,6.17938,6.41693,19961.850580284
2007-05-31,6.29464,6.54501,6.25642,6.51269,69721.347536269
2007-06-01,6.41693,6.55767,6.41693,6.49362,38075.149792467
2007-06-04,6.41693,6.60248,6.41693,6.57735,31445.862127554
2007-06-05,6.64156,6.67285,6.54501,6.57735,19537.275666305
2007-06-06,6.60914,6.80181,6.54501,6.66037,76923.185286252
2007-06-08,6.57735,6.57735,6.43591,6.46779,35964.796198588
2007-06-11,6.48098,6.60914,6.48098,6.57735,40353.96742728
2007-06-12,6.57735,6.57735,6.53245,6.54501,82261.674151025
2007-06-13,6.61583,6.6797,6.51928,6.60914,51257.460995652
2007-06-14,6.64156,6.64156,6.57735,6.60914,29793.093293514
2007-06-15,6.65404,6.65404,6.41693,6.54501,29333.231992582
2007-06-18,6.59658,6.60248,6.51928,6.54501,60596.970832638
2007-06-19,6.54501,7.02637,6.51928,6.99438,121864.38301738
2007-06-20,6.96311,7.05834,6.62831,6.73776,102587.7713063
2007-06-21,6.66731,6.73776,6.57735,6.63454,70872.139059143
2007-06-22,6.64156,6.7245,6.64156,6.67285,80266.285882379
2007-06-25,6.74391,6.74391,6.64156,6.73144,60806.412613261
2007-06-26,6.67285,6.78854,6.67285,6.78854,15438.363427062
2007-06-27,6.82755,6.82755,6.66037,6.66037,26297.464444106
2007-06-28,6.66037,6.89801,6.66037,6.67285,52280.76621728
2007-06-29,6.67285,6.67285,6.60914,6.62197,22484.258112126
2007-07-02,6.58341,6.58341,6.55767,6.55767,16451.424213768
2007-07-03,6.54501,6.86594,6.54501,6.84714,155682.40096458
2007-07-04,6.83388,6.83388,6.73776,6.80181,17857.18833914
2007-07-05,6.83388,6.83388,6.73776,6.75024,25757.924204895
2007-07-06,6.80181,6.80181,6.76974,6.79557,12732.694337176
2007-07-09,6.83388,6.83388,6.73776,6.76974,38143.446025279
2007-07-10,6.73776,6.76974,6.67285,6.68602,18264.689194915
2007-07-11,6.67285,6.67285,6.42291,6.64156,9587.6528162018
2007-07-12,6.7057,6.75024,6.63454,6.69244,20650.504261134
2007-07-13,6.62197,6.7057,6.62197,6.7057,16120.187484631
2007-07-16,6.63454,6.63454,6.48098,6.57735,15545.360858466
2007-07-17,6.5068,6.64156,6.48757,6.64156,8183.0269613765
2007-07-18,6.57735,6.62197,6.54501,6.62197,10278.583038146
2007-07-19,6.55767,6.73144,6.55767,6.73144,11874.438344843
2007-07-20,6.73776,6.73776,6.46181,6.46181,17821.901952186
2007-07-23,6.53245,6.53245,6.44276,6.44864,74097.997788946
2007-07-24,6.51928,6.53245,6.51928,6.51928,8181.8886908296
2007-07-25,6.44864,6.44864,6.09582,6.41693,17840.114280937
2007-07-26,6.3528,6.3528,6.03169,6.06376,152038.79694409
2007-07-27,5.77508,5.9355,5.71095,5.9355,59665.865525307
2007-07-30,5.99963,6.16014,5.94191,5.99963,19094.488423577
2007-07-31,6.00604,6.09582,5.90343,5.99963,30629.722145456
2007-08-01,5.9355,5.9355,5.77508,5.77508,20024.455460361
2007-08-02,5.79432,5.91634,5.77508,5.91634,8555.2414301997
2007-08-03,5.97397,5.97397,5.85845,5.90343,4956.0299610285
2007-08-06,5.96114,6.03169,5.85212,5.95473,20077.954176064
2007-08-07,5.99331,6.28814,5.99331,6.16014,38459.885237305
2007-08-08,6.22435,6.33961,6.16655,6.16655,12177.218310308
2007-08-09,6.23059,6.23059,6.12798,6.12798,12757.736289207
2007-08-10,5.77508,5.83912,5.77508,5.80715,34125.350994863
2007-08-13,5.80064,5.89693,5.80064,5.83288,21111.503832612
2007-08-14,5.80064,5.90343,5.77508,5.83912,24380.616843195
2007-08-16,5.61458,5.77508,5.45432,5.77508,48266.085998504
2007-08-17,5.45432,5.77508,5.40935,5.77508,12695.131409129
2007-08-20,5.77508,5.94841,5.46707,5.79432,29781.710588045
2007-08-21,5.77508,5.77508,5.51838,5.68538,11158.466170869
2007-08-22,5.61458,5.80064,5.61458,5.80064,32290.458873324
2007-08-23,5.83912,6.04451,5.80715,5.89693,30990.553908811
2007-08-24,5.92917,5.92917,5.7366,5.82647,11225.624133134
2007-08-27,5.85845,5.85845,5.75566,5.78791,9521.6331244839
2007-08-28,5.83288,5.83288,5.64672,5.64672,40654.470851652
2007-08-29,5.58251,5.67888,5.58251,5.67888,10406.069339394
2007-08-30,5.7366,5.7366,5.61458,5.61458,15513.489283155
2007-08-31,5.65946,5.65946,5.55694,5.65946,4191.1121535385
2007-09-03,5.60183,5.65946,5.60183,5.64672,29284.286359067
2007-09-04,5.62116,5.64031,5.55044,5.64031,16690.461028608
2007-09-05,5.58251,5.63399,5.55694,5.55694,3585.552222609
2007-09-06,5.49914,5.58251,5.42226,5.42226,11941.596307109
2007-09-07,5.45432,5.45432,5.26167,5.41567,15935.78765604
2007-09-10,5.35795,5.38361,5.16555,5.16555,6542.7791033513
2007-09-11,5.22328,5.26808,5.19753,5.21035,5796.0736246111
2007-09-12,5.15273,5.19753,5.00514,5.00514,15146.966167066
2007-09-13,5.06277,5.06927,5.00514,5.00514,2060.2696898165
2007-09-14,5.05635,5.06927,4.96007,4.96007,11233.592026961
2007-09-17,5.00514,5.00514,4.87669,4.99864,5909.9006792971
2007-09-18,4.99214,4.99864,4.87669,4.99864,4713.5783345472
2007-09-19,4.95365,5.0372,4.95365,5.00514,17102.514966572
2007-09-20,4.97298,4.97298,4.81256,4.941,14682.551783947
2007-09-21,4.87669,5.00514,4.87669,5.00514,10823.814630091
2007-09-24,4.96007,4.99864,4.81256,4.96658,4579.2624100178
2007-09-25,4.84472,4.96658,4.81256,4.84472,6963.9392056895
2007-09-26,4.81256,4.84472,4.7805,4.84472,6686.2011922556
2007-09-27,4.87669,4.89602,4.81256,4.89602,17422.368990239
2007-09-28,4.89602,4.89602,4.81256,4.83181,16608.505549234
2007-10-01,4.83181,5.1334,4.81256,5.1334,67535.868086298
2007-10-02,5.26167,5.35145,5.1334,5.16555,48823.838566466
2007-10-03,5.26167,5.26167,5.06927,5.16555,7914.3951123176
2007-10-04,5.06927,5.12698,5.05003,5.12698,2640.7876687152
2007-10-05,5.06927,5.30665,5.06927,5.30014,47328.151067892
2007-10-08,5.46074,5.46074,5.3902,5.46074,29497.14295133
2007-10-09,5.35795,5.48639,5.32598,5.39652,79637.960540512
2007-10-10,5.42226,5.44142,5.38361,5.39652,47314.49182133
2007-10-11,5.42226,5.42859,5.37737,5.42226,8885.3398887891
2007-10-12,5.39652,5.40935,5.39652,5.40935,9860.8377474481
2007-10-15,5.42226,5.42226,5.20394,5.31315,15433.810344875
2007-10-16,5.20394,5.20394,4.81256,4.87669,88419.717809537
2007-10-17,4.81256,4.81256,4.55586,4.55586,159204.21003657
2007-10-18,4.62008,4.62008,4.51738,4.58151,29186.395092037
2007-10-19,4.68422,4.80606,4.58802,4.7805,26325.921207778
2007-10-22,4.71628,4.71628,4.55586,4.67788,8206.9306428605
2007-10-23,4.77418,4.77418,4.65205,4.66498,19116.115563967
2007-10-24,4.68422,4.68422,4.67788,4.67788,1563.9837313856
2007-10-25,4.62008,4.65205,4.51738,4.51738,14074.715311923
2007-10-26,4.52379,4.52379,4.49172,4.51738,9020.7940838655
2007-10-29,4.49172,4.52379,4.49172,4.49814,7517.1386914635
2007-10-30,4.56218,4.56218,4.55586,4.56218,5108.5582143076
2007-10-31,4.49814,4.58802,4.49814,4.58802,283591.0005858
2007-11-02,4.49814,4.55586,4.39544,4.55586,7349.8129210749
2007-11-05,4.45966,4.49172,4.29924,4.31848,9579.6849223737
2007-11-06,4.30575,4.45966,4.30575,4.33772,3814.3446025279
2007-11-07,4.33772,4.36329,4.30575,4.32498,6319.6780761667
2007-11-08,4.30575,4.30575,4.1708,4.29282,12262.588601323
2007-11-09,4.22219,4.23502,3.84365,3.85014,19579.391676539
2007-11-12,3.72178,3.84365,3.65756,3.66398,17853.773527499
2007-11-13,3.56136,3.83731,3.56136,3.78583,4015.8184893221
2007-11-14,3.85014,4.07469,3.79866,3.79866,9778.8822680742
2007-11-15,3.89503,3.89503,3.72178,3.84365,1369.3394678726
2007-11-16,3.65756,3.78583,3.59975,3.75385,9647.9811551854
2007-11-19,3.78583,3.78583,3.59343,3.65115,3818.8976847153
2007-11-20,3.62541,3.62541,3.43293,3.43942,10115.810349945
2007-11-21,3.50365,3.50365,3.15706,3.17631,137067.12444124
2007-11-22,3.13142,3.16989,2.88745,3.15706,37191.851848104
2007-11-23,3.20196,3.20196,3.05446,3.09927,19978.924638487
2007-11-26,3.16348,3.22753,3.11218,3.18913,14020.078325675
2007-11-27,3.19564,3.20196,3.11218,3.17631,12178.356580856
2007-11-28,3.20838,3.38795,3.17631,3.38795,31148.773514823
2007-11-29,3.43293,3.59343,3.20838,3.29175,40310.7131465
2007-11-30,3.36247,3.36247,3.33664,3.33664,1858.7958030224
2007-12-03,3.38795,3.38795,3.33664,3.34315,13824.295791614
2007-12-04,3.33664,3.3688,3.24053,3.33664,7653.7311570866
2007-12-05,3.3688,3.3688,3.25336,3.26609,11030.97986962
2007-12-06,3.33032,3.33032,3.28543,3.30458,15166.316766363
2007-12-07,3.35597,3.35597,3.2726,3.3239,6125.0338126537
2007-12-10,3.33664,3.3688,3.27892,3.33664,18771.219588269
