Date,Open,High,Low,Close,Volume
2008-12-29,0.992134,1.93736,0.976591,1.93736,239007.16500406
2008-12-30,1.49212,1.80461,1.47648,1.5233,299653.12572003
2008-12-31,1.4843,1.93736,1.4843,1.93736,246426.12675738
2009-01-05,1.88272,2.03901,1.7187,1.79671,189070.97978028
2009-01-06,1.73424,1.78116,1.64051,1.64051,87473.295563367
2009-01-07,1.5624,1.78898,1.49212,1.60931,125784.715018
2009-01-08,1.69523,1.69523,1.64051,1.64051,36509.575133174
2009-01-09,1.64051,1.65613,1.5624,1.62495,44733.233132498
2009-01-12,1.64051,1.64832,1.49212,1.49993,29909.940466684
2009-01-13,1.4843,1.4843,1.34364,1.43738,34440.999328772
2009-01-14,1.46093,1.46093,1.25772,1.32801,52538.223994044
2009-01-15,1.18744,1.35928,1.18744,1.18744,69907.282965384
2009-01-16,1.29682,1.29682,1.21863,1.28899,26706.911772817
2009-01-19,1.28899,1.31236,1.25772,1.25772,23485.87589023
2009-01-20,1.28899,1.28899,1.18744,1.24217,27026.539372626
2009-01-21,1.24217,1.28899,1.2109,1.28899,55427.252334576
2009-01-22,1.28899,1.28899,1.27336,1.28118,38326.050295471
2009-01-23,1.31236,1.31236,1.2109,1.28899,113511.69045489
2009-01-26,1.32028,1.32028,1.25772,1.32028,130971.91081913
2009-01-27,1.32028,1.35155,1.32028,1.32028,74154.728605106
2009-01-28,1.32028,1.34364,1.28899,1.32801,144267.96879149
2009-01-29,1.32028,1.32028,1.30472,1.32028,81035.725595372
2009-01-30,1.34364,1.35155,1.31236,1.34364,76716.251200763
2009-02-02,1.34364,1.34364,1.28899,1.33591,36505.073335993
2009-02-03,1.33591,1.33591,1.28118,1.32801,38936.043813418
2009-02-04,1.33591,1.33591,1.28899,1.33591,44303.311501768
2009-02-05,1.33591,1.33591,1.32028,1.32801,59959.43664596
2009-02-06,1.33591,1.35155,1.32801,1.35155,63325.655487616
2009-02-09,1.28899,1.34364,1.28899,1.34364,21505.085130848
2009-02-10,1.34364,1.34364,1.32028,1.32801,20713.894276389
2009-02-11,1.32801,1.32801,1.30472,1.32801,22043.049893907
2009-02-12,1.32801,1.33591,1.32028,1.33591,33141.105392926
2009-02-13,1.33591,1.39837,1.29682,1.3671,87598.220435123
2009-02-16,1.3671,1.37492,1.34364,1.3671,78816.339585428
2009-02-17,1.3671,1.3671,1.32028,1.35928,40797.536947519
2009-02-18,1.3671,1.3671,1.35155,1.35928,26690.030033391
2009-02-19,1.35928,1.37492,1.33591,1.3671,29405.739182477
2009-02-20,1.3671,1.3671,1.32801,1.35155,18464.121135476
2009-02-23,1.3671,1.3671,1.32801,1.35928,16395.545331075
2009-02-24,1.35928,1.35928,1.32801,1.35155,14400.123730855
2009-02-25,1.35928,1.3671,1.33591,1.35155,29960.585684963
2009-02-26,1.35928,1.35928,1.35155,1.35928,15246.461600774
2009-02-27,1.35155,1.35155,1.32028,1.32028,22530.369438686
2009-03-02,1.35155,1.35155,1.30472,1.32028,14726.504026436
2009-03-03,1.32028,1.32801,1.30472,1.32801,7475.2342180806
