Date,Open,High,Low,Close,Volume
1998-09-15,6.28454,6.28454,6.28454,6.28454,151059.74843331
1998-09-16,6.21518,6.21518,6.21518,6.21518,65549.56942673
1998-09-17,5.6248,5.6248,5.6248,5.6248,14879.42912489
1998-09-18,5.06355,5.06355,5.06355,5.06355,144421.43203247
1998-09-21,5.06355,5.06355,5.06355,5.06355,103399.68070052
1998-09-22,5.17347,5.17347,5.17347,5.17347,67423.986456311
1998-09-23,5.52068,5.52068,5.52068,5.52068,24521.964200237
1998-09-24,5.59012,5.59012,5.59012,5.59012,49417.406871702
1998-09-25,5.34132,5.34132,5.34132,5.34132,17704.518626688
1998-09-28,5.45124,5.45124,5.45124,5.45124,17382.554427353
1998-09-29,5.4802,5.4802,5.4802,5.4802,17867.256894715
1998-09-30,5.59012,5.59012,5.59012,5.59012,8739.8645383035
1998-10-01,5.09823,5.09823,5.09823,5.09823,32060.609580295
1998-10-02,4.92459,4.92459,4.92459,4.92459,17943.357523649
1998-10-05,5.02871,5.02871,5.02871,5.02871,11991.11756213
1998-10-06,4.61215,4.61215,4.61215,4.61215,11851.794872237
1998-10-07,4.64682,4.64682,4.64682,4.64682,25764.160620215
1998-10-08,4.4039,4.4039,4.4039,4.4039,10676.332849939
1998-10-09,4.18969,4.18969,4.18969,4.18969,20974.504113022
1998-10-12,4.22453,4.22453,4.22453,4.22453,40053.517176142
1998-10-13,4.25913,4.25913,4.25913,4.25913,26735.907112752
1998-10-14,4.32865,4.32865,4.32865,4.32865,13897.145622192
1998-10-15,4.54262,4.54262,4.54262,4.54262,9036.0716016914
1998-10-16,4.68159,4.68159,4.68159,4.68159,20596.342526166
1998-10-19,4.78578,4.78578,4.78578,4.78578,11306.211901727
1998-10-20,4.75103,4.75103,4.75103,4.75103,10953.807450819
1998-10-21,4.88991,4.88991,4.88991,4.88991,3594.2912434818
1998-10-22,5.13308,5.13308,5.13308,5.13308,11785.060474556
1998-10-23,5.24292,5.24292,5.24292,5.24292,13815.191098725
1998-10-26,5.24292,5.24292,5.24292,5.24292,17274.842767939
1998-10-27,5.24292,5.24292,5.24292,5.24292,31390.924045679
1998-10-28,5.24292,5.24292,5.24292,5.24292,36965.002420343
1998-10-29,5.24292,5.24292,5.24292,5.24292,23461.238510792
1998-10-30,5.54964,5.54964,5.54964,5.54964,5293.0914370623
1998-11-02,5.52068,5.52068,5.52068,5.52068,4091.8722788172
1998-11-03,5.45124,5.45124,5.45124,5.45124,6613.7300437879
1998-11-04,5.41067,5.41067,5.41067,5.41067,5154.9395260751
1998-11-05,5.52068,5.52068,5.52068,5.52068,9729.172714441
1998-11-06,5.09823,5.09823,5.09823,5.09823,3573.2172231617
1998-11-09,5.34132,5.34132,5.34132,5.34132,26561.461055658
1998-11-10,5.41067,5.41067,5.41067,5.41067,7176.8746978969
1998-11-12,5.41067,5.41067,5.41067,5.41067,15031.630382757
1998-11-13,5.52068,5.52068,5.52068,5.52068,17089.859700685
1998-11-16,5.6248,5.6248,5.6248,5.6248,23853.449444527
1998-11-17,5.76377,5.76377,5.76377,5.76377,17190.54668666
1998-11-18,5.76377,5.76377,5.76377,5.76377,9918.8388973218
1998-11-19,5.54964,5.54964,5.54964,5.54964,12544.895984986
1998-11-20,5.38172,5.38172,5.38172,5.38172,9180.077407212
1998-11-23,5.41067,5.41067,5.41067,5.41067,1129.8016449381
1998-11-24,5.41067,5.41067,5.41067,5.41067,5726.2796325308
1998-11-25,5.24292,5.24292,5.24292,5.24292,687.24721821623
1998-11-26,5.59012,5.59012,5.59012,5.59012,27767.36332953
1998-11-27,5.6248,5.6248,5.6248,5.6248,19566.057088295
1998-11-30,5.59012,5.59012,5.59012,5.59012,22295.142719748
1998-12-01,5.76377,5.76377,5.76377,5.76377,33858.925980943
1998-12-02,5.90256,5.90256,5.90256,5.90256,44377.203678481
1998-12-03,5.90256,5.90256,5.90256,5.90256,20416.04257454
1998-12-04,6.07621,6.07621,6.07621,6.07621,28142.012579665
1998-12-07,6.28454,6.28454,6.28454,6.28454,29942.670538126
1998-12-08,6.25558,6.25558,6.25558,6.25558,6205.1282053595
1998-12-09,6.25558,6.25558,6.25558,6.25558,19026.32801232
1998-12-10,5.65965,5.65965,5.65965,5.65965,6182.8834061327
1998-12-11,5.65965,5.65965,5.65965,5.65965,7512.8882441117
1998-12-14,5.52068,5.52068,5.52068,5.52068,4666.724721993
1998-12-15,5.6248,5.6248,5.6248,5.6248,1588.7469763534
1998-12-16,5.69433,5.69433,5.69433,5.69433,1428.3502661394
1998-12-17,5.76377,5.76377,5.76377,5.76377,574.85244317576
1998-12-18,5.6248,5.6248,5.6248,5.6248,1860.3676827012
1998-12-21,5.65965,5.65965,5.65965,5.65965,1539.5742622732
1998-12-22,5.59012,5.59012,5.59012,5.59012,574.85244317576
1998-12-23,5.65965,5.65965,5.65965,5.65965,9448.1857768398
1998-12-28,5.76377,5.76377,5.76377,5.76377,1141.5094340048
1998-12-29,5.93733,5.93733,5.93733,5.93733,5953.4107404251
1998-12-30,5.8678,5.8678,5.8678,5.8678,4748.67924546
1998-12-31,5.72909,5.72909,5.72909,5.72909,2148.3792937424
1999-01-04,5.93733,5.93733,5.93733,5.93733,5455.8297050897
1999-01-05,5.90256,5.90256,5.90256,5.90256,5080.0096760481
1999-01-06,5.72909,5.72909,5.72909,5.72909,1773.7300436075
1999-01-07,5.93733,5.93733,5.93733,5.93733,9568.776004227
1999-01-08,5.90256,5.90256,5.90256,5.90256,6700.3676828816
1999-01-11,5.8678,5.8678,5.8678,5.8678,3613.0237059886
