Date,Open,High,Low,Close,Volume
2007-07-20,37.1428,40.1379,34.8696,34.8696,1155003.4003694
2007-07-23,35.5427,35.5427,32.5949,35.2478,147894.69179703
2007-07-24,35.2478,35.2478,34.1099,34.8696,108100.47615142
2007-07-25,32.7457,34.8696,32.7457,34.8696,16420.585202529
2007-07-26,34.8696,34.8696,33.7319,34.1187,13979.04046396
2007-07-27,32.6711,33.1177,32.5949,32.9747,9114.1884825363
2007-07-30,32.3361,32.5949,31.0788,31.1543,12302.330701853
2007-07-31,31.0788,32.2465,31.0788,32.1554,3095.8148972697
2007-08-01,31.6464,32.9213,30.7007,32.6027,8959.1697689763
2007-08-02,32.9747,34.8696,32.9747,34.1099,5698.0775668082
2007-08-03,34.1099,35.6269,32.8984,34.1494,9830.0101892687
2007-08-06,32.7457,34.1494,32.2167,34.1038,9098.2306737874
2007-08-07,33.3914,34.1099,33.3528,33.3528,1135.2841081298
2007-08-08,32.3667,34.1038,31.5332,33.9511,939.23102921584
2007-08-09,34.0801,34.0801,32.443,33.3528,3440.0476288513
2007-08-10,31.0788,32.5869,31.0788,32.5869,3611.02415116
2007-08-13,34.0801,34.0801,31.0788,33.3449,7790.8301998668
2007-08-14,32.2167,32.9747,31.8359,32.2167,4024.787335147
2007-08-16,30.3208,30.3208,29.5619,30.3208,7567.4208773835
2007-08-17,30.3208,32.5949,28.8049,32.5949,6203.02822936
2007-08-20,32.5949,34.0801,32.5949,33.2765,4056.7029526446
2007-08-21,33.3449,33.3449,32.5045,32.5045,34.195304461742
2007-08-22,33.2765,33.2765,31.8359,32.5869,300.91867926333
2007-08-23,31.2833,31.8359,31.2833,31.457,3371.6570199277
2007-08-24,31.457,31.457,31.0788,31.457,1331.3371870439
2007-08-27,31.457,31.8359,30.3208,31.8359,4235.6583793278
2007-08-28,32.443,32.443,31.8359,31.8359,3059.3399058439
2007-08-29,31.0788,31.8359,31.0788,31.8359,6906.3116577898
2007-08-30,31.8359,32.443,31.8359,32.2167,3805.9373865919
2007-08-31,32.1403,32.208,31.8359,32.208,928.97243787732
2007-09-03,32.5949,32.5949,31.0788,32.4053,971.14664671347
2007-09-04,32.9747,32.9747,31.8359,31.8359,1107.9278645604
2007-09-05,32.2167,32.2535,32.1403,32.2167,7519.547451137
