Date,Open,High,Low,Close,Volume
2021-07-19,29.3919,30.3716,26.0657,27.5108,270497.04828317
2021-07-20,27.9223,28.902,26.4527,26.9622,53847.503449731
2021-07-21,27.5108,27.5108,26.4527,26.4527,30945.268966354
2021-07-22,26.4723,26.8348,26.0706,26.2568,11820.606896871
2021-07-23,26.2568,26.9034,26.2078,26.3547,14178.400000383
2021-07-26,27.3345,27.3345,26.4429,26.7466,13879.33793141
2021-07-27,27.0356,27.0356,26.3645,26.3645,1911.7517241896
2021-07-28,26.3645,26.4282,25.6689,25.9628,24987.503448951
2021-07-29,26.3547,26.9426,25.9824,26.3253,56759.531036017
2021-07-30,26.4527,27.8096,25.8159,27.5108,29839.862069772
2021-08-02,27.8194,28.4122,27.1875,27.1875,15932.965517672
2021-08-03,27.6284,27.8733,26.4576,27.1287,4897.2689656496
2021-08-04,27.4324,27.4324,26.3008,27.0405,10449.820689938
2021-08-05,27.0356,27.0356,26.4478,26.8985,515.448275876
2021-08-06,27.0405,27.0405,26.2568,26.5458,3807.172413896
2021-08-09,26.9328,26.9328,26.4527,26.923,26957.434483487
2021-08-10,26.6486,27.0601,26.1588,26.3547,13358.786207258
2021-08-11,27.2169,27.2169,26.2568,26.8152,3296.827586296
2021-08-12,26.4821,26.8887,26.2078,26.2666,9289.2965519752
2021-08-13,26.4527,26.4527,26.2078,26.4527,842.06896554
2021-08-16,26.4527,26.4527,25.8649,26.247,121785.6275895
2021-08-17,26.4429,26.4429,25.8747,26.1588,1202.3724138256
2021-08-18,25.9726,26.247,25.8649,26.247,4640.0551725392
2021-08-19,26.4429,26.4429,25.9628,25.9628,259.2551724208
2021-08-20,26.0608,26.5997,25.9628,26.5997,9425.0482761168
2021-08-23,26.8446,26.8446,26.4576,26.8054,1811.72413798
2021-08-24,26.8446,26.9328,25.9873,26.9328,760.413793124
2021-08-25,27.1385,27.1385,26.0853,26.1588,1951.5586207424
2021-08-26,26.1588,26.1588,25.8894,25.9726,12406.482758956
2021-08-27,25.9139,26.8054,25.9139,26.0804,6342.5655174128
2021-08-30,26.3547,26.4576,26.0608,26.4037,2999.8068966328
2021-08-31,26.4527,26.4527,25.8845,25.9628,12316.662069298
2021-09-01,26.0608,26.0608,25.8159,25.9334,9771.0620692296
2021-09-02,26.3449,26.3547,25.5514,25.7767,80311.944829757
2021-09-03,25.9139,25.9432,25.6885,25.7326,17435.420690126
2021-09-06,25.8649,25.8649,25.277,25.4632,27611.69655247
2021-09-07,25.424,25.424,24.3953,24.4345,40694.896552824
2021-09-08,24.4932,24.4981,23.4155,23.5135,26486.89655244
2021-09-09,23.5086,24.4932,23.4155,24.2924,5240.2206897968
2021-09-10,24.4883,24.4932,24.1014,24.1748,3947.0068966584
2021-09-13,24.4932,25.5611,24.1993,25.1791,14800.0000004
2021-09-14,25.4681,25.8453,25.277,25.424,10558.013793389
2021-09-15,25.7571,25.7571,25.2966,25.6493,4360.3862070144
2021-09-16,25.473,25.9628,24.6892,25.2868,12950.510345178
2021-09-17,25.473,25.8649,24.6892,25.664,5105.4896553104
2021-09-20,25.6591,25.6591,23.9054,24.4834,14268.220690041
2021-09-21,24.4736,24.9782,23.974,24.0034,6306.8413794808
2021-09-22,25.0811,25.6199,24.0034,24.0034,23829.020690299
2021-09-23,24.3757,24.9831,24.1405,24.6353,2783.4206897304
2021-09-24,24.6598,25.3113,24.4443,24.4932,2331.2551724768
2021-09-27,24.4932,25.0566,24.4345,24.8851,4160.3310345952
2021-09-28,24.5128,24.7872,24.4541,24.748,1072.7448276152
2021-09-29,24.4932,24.5275,24.1014,24.1699,9984.3862071664
2021-09-30,24.1699,24.2973,23.5135,24.0034,13675.20000037
2021-10-01,23.7976,24.3463,23.6115,24.3316,1810.7034483248
2021-10-04,24.0034,24.5912,24.0034,24.4932,2521.103448344
2021-10-05,24.4932,24.5912,24.0181,24.5618,3001.8482759432
2021-10-06,24.3267,24.4932,23.5135,23.9838,10615.17241408
2021-10-07,24.0034,24.3659,23.5135,24.1014,11472.551724448
2021-10-08,23.9054,24.1014,23.5135,23.6115,16408.606896995
2021-10-11,23.8074,23.9936,23.4253,23.5135,9364.82758646
2021-10-12,23.7437,23.7437,23.1461,23.3176,12317.682758954
2021-10-13,23.3176,23.9054,23.0139,23.0236,296332.7448356
2021-10-14,23.391,23.7291,22.9257,23.0236,10029.296551995
2021-10-15,23.0236,24.0034,22.9257,23.9054,45962.675863311
2021-10-18,24.0034,24.2483,23.9054,24.1993,11894.096552046
2021-10-19,24.1699,24.1699,23.0187,23.3176,31149.406897394
2021-10-20,23.1706,23.2098,22.5142,22.7395,117286.42758938
2021-10-21,22.7493,22.9257,22.4358,22.5338,20667.944828145
2021-10-22,22.5338,22.5338,21.9949,21.9998,17112.882759083
2021-10-25,22.2546,22.2546,21.3679,21.3679,19616.634483289
2021-10-26,21.3679,21.7353,20.8682,21.0593,12594.289655513
2021-10-27,21.0593,21.0593,20.1334,20.8095,21167.062069538
2021-10-28,20.6723,20.6723,19.5946,19.6926,45708.524139166
2021-10-29,19.7905,21.0446,19.5946,19.6093,44020.303449466
2021-11-02,19.6142,20.5351,19.6142,19.7122,13854.841379685
2021-11-03,19.7122,20.2608,19.6044,19.9424,11624.634483073
2021-11-04,19.9375,20.5253,19.9375,20.3784,7464.3034484776
2021-11-05,20.5743,20.8682,19.8885,19.9963,11204.11034513
2021-11-08,20.1726,20.1726,18.3111,18.6149,159541.958625
2021-11-09,18.6149,18.7481,18.027,18.4561,10739.696552014
2021-11-10,18.5071,18.513,17.6939,18.027,22828.744828203
2021-11-12,17.7037,18.2249,17.0473,17.1453,38126.841380341
2021-11-15,17.1453,17.4882,17.0865,17.0865,27695.393104197
2021-11-16,17.3412,17.7821,17.2041,17.5136,34783.062069906
2021-11-17,17.1962,18.4189,17.1962,18.3014,14857.158621091
2021-11-18,18.3014,18.6149,18.127,18.6149,6740.6344829408
2021-11-19,18.8598,18.8598,17.6332,17.8311,12346.262069299
2021-11-22,17.8311,18.3229,17.1551,17.6351,14347.834483146
2021-11-23,17.6214,17.931,17.2432,17.2942,9502.620689912
2021-11-24,17.3412,17.5372,16.8533,17.1453,15806.400000427
2021-11-25,17.1649,17.4784,16.9003,17.3471,29270.31724217
2021-11-26,17.2432,17.3353,16.8533,16.8533,9553.655172672
2021-11-29,16.8514,16.8514,16.0656,16.4595,27046.23448349
2021-11-30,16.5182,16.5182,16.2655,16.3595,5477.0206898032
2021-12-01,16.2635,16.6554,16.1655,16.1851,98726.20689922
