Date,Open,High,Low,Close,Volume
2015-07-08,8.58124,8.58124,8.58124,8.58124,629.83160698627
2015-07-09,8.58124,8.58124,8.53991,8.53991,15657.613749679
2015-07-10,8.78863,8.83979,8.66736,8.66736,5925.6657023958
2015-07-13,8.66736,8.88238,8.66736,8.88238,16568.770141119
2015-07-14,9.01079,9.09671,8.88238,9.05385,12699.504635533
2015-07-15,9.09671,9.09671,9.09671,9.09671,24235.920236832
2015-07-16,9.15673,9.25104,9.15673,9.25104,30614.014976913
2015-07-17,9.28534,9.35392,9.26819,9.26819,8449.1910077208
2015-07-20,9.31106,9.44158,9.31106,9.44158,3520.7586830532
2015-07-21,9.44158,9.44158,9.19959,9.34535,2724.0217002156
2015-07-22,9.09671,9.09671,9.09671,9.09671,3261.4780048439
2015-07-23,9.18245,9.19199,9.18245,9.19199,174.2534112662
2015-07-24,9.00231,9.00231,9.00231,9.00231,69.28147676849
2015-07-28,9.18245,9.18245,9.06338,9.06338,113.36968925753
2015-07-29,9.06338,9.26819,8.85646,9.18245,661.32318733558
2015-07-30,9.18245,9.18245,9.18245,9.18245,17506.169516183
2015-07-31,9.25104,9.25104,8.85646,8.85646,5855.3345062823
2015-08-03,9.01079,9.01079,9.01079,9.01079,24699.896187311
2015-08-04,9.18245,9.18245,9.18245,9.18245,23363.603461156
2015-08-05,8.96754,9.01079,8.96754,9.01079,15890.651444264
2015-08-06,9.02012,9.02012,9.02012,9.02012,10.497193449771
2015-08-07,9.08814,9.18245,9.08814,9.18245,2622.1989237528
2015-08-10,9.22532,9.22532,9.18245,9.18245,436.68324751048
2015-08-11,9.11386,9.11386,9.11386,9.11386,55.635125283787
2015-08-12,9.09671,9.09671,9.01079,9.01079,8038.7507438347
2015-08-13,9.11386,9.22532,9.11386,9.22532,165.85565650638
2015-08-18,9.17293,9.17293,9.17293,9.17293,582.5942364623
2015-08-19,9.09577,9.36441,9.0872,9.0872,402.04250912623
2015-08-20,9.0872,9.12244,9.0872,9.11291,2165.5710086878
2015-08-24,8.66374,9.07957,8.63783,8.99288,25291.937897879
2015-08-25,8.99288,8.99288,8.94792,8.99288,21991.620277271
2015-08-28,8.99288,9.07957,8.99288,9.07957,12074.921625272
2015-08-31,9.12244,9.20913,9.07957,9.20913,9010.7908572835
2015-09-01,9.20913,9.20913,9.07957,9.17293,4688.0465946678
2015-09-02,9.19959,9.19959,9.19199,9.19199,7453.0073493375
2015-09-03,9.1653,9.20913,9.1653,9.20913,20852.67478797
2015-09-04,9.07957,9.07957,9.07957,9.07957,9238.5799551436
2015-09-07,8.8194,9.18245,8.73281,9.13101,1885.2959435789
2015-09-08,8.99288,9.06242,8.77692,9.06242,81823.523502276
2015-09-10,8.99288,8.99288,8.99288,8.99288,335.91019039268
2015-09-11,8.99288,9.17293,8.99288,9.14911,13633.754852563
2015-09-14,9.14911,9.14911,8.90647,9.07957,7530.6865808658
2015-09-15,9.13101,9.13101,9.07957,9.11291,2136.1788670284
2015-09-16,9.11291,9.11291,9.04451,9.04451,1476.9551183828
2015-09-17,9.071,9.071,9.00984,9.00984,7071.9592271108
2015-09-18,8.99288,8.99288,8.99288,8.99288,800.93586021754
2015-09-21,8.99288,8.99288,8.94792,8.94792,646.6271165059
2015-09-22,8.94792,8.99288,8.94792,8.99288,3611.0345467213
2015-09-23,8.99288,8.99288,8.99288,8.99288,713.80915458444
