Date,Open,High,Low,Close,Volume
1999-08-10,4.47985,4.47985,4.47985,4.47985,54482.125979853
1999-08-11,4.7014,4.7014,4.7014,4.7014,64371.850388503
1999-08-12,5.15049,5.15049,5.15049,5.15049,38513.14960319
1999-08-13,5.59976,5.59976,5.59976,5.59976,67720.039364611
1999-08-16,5.48586,5.48586,5.48586,5.48586,23277.992124105
1999-08-17,4.953,4.953,4.953,4.953,0.0
1999-08-18,4.53385,4.53385,4.53385,4.53385,42774.685035916
1999-08-19,4.7014,4.7014,4.7014,4.7014,23086.12204538
1999-08-20,4.58769,4.58769,4.58769,4.58769,5535.0590546712
1999-08-23,4.47985,4.47985,4.47985,4.47985,15137.539368857
1999-08-24,4.56353,4.56353,4.56353,4.56353,24995.846454675
1999-08-25,4.47985,4.47985,4.47985,4.47985,6480.9448813665
1999-08-26,4.47985,4.47985,4.47985,4.47985,9429.6850386087
1999-08-27,4.41978,4.41978,4.41978,4.41978,7212.519684457
1999-08-30,4.47985,4.47985,4.47985,4.47985,3150.7086611629
1999-08-31,4.41978,4.41978,4.41978,4.41978,16155.236219168
1999-09-01,4.47985,4.47985,4.47985,4.47985,7128.3661411567
1999-09-02,4.41978,4.41978,4.41978,4.41978,3305.5511808355
1999-09-03,4.36604,4.36604,4.36604,4.36604,2607.637795065
1999-09-06,4.36604,4.36604,4.36604,4.36604,6296.9291333498
1999-09-07,4.31212,4.31212,4.31212,4.31212,7956.4370072316
1999-09-08,4.1983,4.1983,4.1983,4.1983,5992.8543302248
1999-09-09,3.97675,3.97675,3.97675,3.97675,18145.748030031
1999-09-10,4.00064,4.00064,4.00064,4.00064,17369.29133718
1999-09-13,4.03058,4.03058,4.03058,4.03058,13867.381888644
1999-09-14,3.69521,3.69521,3.69521,3.69521,2052.2244092831
1999-09-15,3.69521,3.69521,3.69521,3.69521,9365.7283457005
1999-09-16,3.41367,3.41367,3.41367,3.41367,12583.759841504
1999-09-17,3.35984,3.35984,3.35984,3.35984,20864.468502252
1999-09-20,3.35984,3.35984,3.35984,3.35984,11830.866140777
1999-09-21,3.07839,3.07839,3.07839,3.07839,9808.937007082
1999-09-22,2.77288,2.77288,2.77288,2.77288,17894.409447374
1999-09-23,2.85692,2.85692,2.85692,2.85692,25880.01968295
1999-09-24,2.91066,2.91066,2.91066,2.91066,26257.027556935
1999-09-27,2.96458,2.96458,2.96458,2.96458,16324.665353013
