Date,Open,High,Low,Close,Volume
1994-03-07,9.4045,9.4045,9.4045,9.4045,167206
1994-03-08,10.232,10.232,10.232,10.232,296707
1994-03-10,11.242,11.242,11.242,11.242,260330
1994-03-14,12.314,12.314,12.314,12.314,0
1994-03-15,13.55,13.55,13.55,13.55,359974
1994-03-17,13.55,13.55,13.55,13.55,585607
1994-03-21,12.191,12.191,12.191,12.191,189343
1994-03-22,11.015,11.015,11.015,11.015,267066
1994-03-24,11.913,11.913,11.913,11.913,174558
1994-03-28,10.737,10.737,10.737,10.737,92712
1994-03-29,9.657,9.657,9.657,9.657,88850
1994-03-31,8.7253,8.7253,8.7253,8.7253,86653
1994-04-05,8.1507,8.1507,8.1507,8.1507,191687
1994-04-07,8.9778,8.9778,8.9778,8.9778,215351
1994-04-08,9.4045,9.4045,9.4045,9.4045,99341
1994-04-11,8.4815,8.4815,8.4815,8.4815,107633
1994-04-12,7.6282,7.6282,7.6282,7.6282,0
1994-04-14,6.6703,6.6703,6.6703,6.6703,56423
1994-04-18,7.4279,7.4279,7.4279,7.4279,63531
1994-04-19,7.8546,7.8546,7.8546,7.8546,68395
1994-04-21,8.8037,8.8037,8.8037,8.8037,189766
1994-04-25,8.8037,8.8037,8.8037,8.8037,96782
1994-04-26,7.9242,7.9242,7.9242,7.9242,0
1994-04-28,7.1493,7.1493,7.1493,7.1493,80636
1994-05-05,7.2276,7.2276,7.2276,7.2276,146569
1994-05-06,7.1493,7.1493,7.1493,7.1493,173334
1994-05-09,6.47,6.47,6.47,6.47,63057
1994-05-10,6.2959,6.2959,6.2959,6.2959,70276
1994-05-12,6.7486,6.7486,6.7486,6.7486,146728
1994-05-16,7.2712,7.2712,7.2712,7.2712,100892
1994-05-17,7.2712,7.2712,7.2712,7.2712,154358
1994-05-19,6.7749,6.7749,6.7749,6.7749,78930
1994-05-23,7.4279,7.4279,7.4279,7.4279,275376
1994-05-24,7.8546,7.8546,7.8546,7.8546,257971
1994-05-26,7.7762,7.7762,7.7762,7.7762,189355
1994-05-30,8.1244,8.1244,8.1244,8.1244,251798
1994-05-31,8.0983,8.0983,8.0983,8.0983,132875
1994-06-01,7.2974,7.2974,7.2974,7.2974,78919
1994-06-06,6.6007,6.6007,6.6007,6.6007,184745
1994-06-07,6.1739,6.1739,6.1739,6.1739,156607
1994-06-09,5.5905,5.5905,5.5905,5.5905,213801
1994-06-13,5.0418,5.0418,5.0418,5.0418,0
1994-06-14,4.5542,4.5542,4.5542,4.5542,277248
1994-06-16,4.6414,4.6414,4.6414,4.6414,220279
1994-06-20,4.206,4.206,4.206,4.206,175115
1994-06-21,3.7967,3.7967,3.7967,3.7967,224763
1994-06-23,3.4222,3.4222,3.4222,3.4222,234278
1994-06-27,3.7358,3.7358,3.7358,3.7358,0
1994-06-28,4.0753,4.0753,4.0753,4.0753,203627
1994-06-30,4.3627,4.3627,4.3627,4.3627,221979
1994-07-04,4.3627,4.3627,4.3627,4.3627,209765
1994-07-05,4.7632,4.7632,4.7632,4.7632,70494
1994-07-06,5.2422,5.2422,5.2422,5.2422,69522
1994-07-07,5.7472,5.7472,5.7472,5.7472,195455
1994-07-11,6.1479,6.1479,6.1479,6.1479,248637
1994-07-12,6.2174,6.2174,6.2174,6.2174,158847
1994-07-13,6.2174,6.2174,6.2174,6.2174,308774
1994-07-14,6.0172,6.0172,6.0172,6.0172,237467
1994-07-18,6.4002,6.4002,6.4002,6.4002,308346
1994-07-19,7.0273,7.0273,7.0273,7.0273,555590
1994-07-20,6.322,6.322,6.322,6.322,300003
1994-07-21,6.5223,6.5223,6.5223,6.5223,191223
1994-07-25,6.0694,6.0694,6.0694,6.0694,193566
1994-07-26,6.1739,6.1739,6.1739,6.1739,118936
1994-07-27,6.1739,6.1739,6.1739,6.1739,69316
1994-07-28,6.2698,6.2698,6.2698,6.2698,129885
1994-08-01,6.47,6.47,6.47,6.47,107526
1994-08-02,6.6703,6.6703,6.6703,6.6703,91238
1994-08-03,7.0273,7.0273,7.0273,7.0273,234258
1994-08-04,7.2712,7.2712,7.2712,7.2712,165493
1994-08-08,7.2712,7.2712,7.2712,7.2712,177560
1994-08-09,7.0273,7.0273,7.0273,7.0273,94187
1994-08-10,6.8705,6.8705,6.8705,6.8705,80666
1994-08-11,6.7749,6.7749,6.7749,6.7749,126074
1994-08-16,6.8967,6.8967,6.8967,6.8967,67900
1994-08-17,7.2712,7.2712,7.2712,7.2712,146474
1994-08-18,7.1493,7.1493,7.1493,7.1493,90192
1994-08-22,6.9228,6.9228,6.9228,6.9228,148040
1994-08-23,6.949,6.949,6.949,6.949,70519
1994-08-24,6.8705,6.8705,6.8705,6.8705,129451
1994-08-25,6.322,6.322,6.322,6.322,111992
1994-08-29,6.7225,6.7225,6.7225,6.7225,130229
1994-08-30,6.6703,6.6703,6.6703,6.6703,88168
1994-08-31,6.3742,6.3742,6.3742,6.3742,71990
1994-09-01,6.4002,6.4002,6.4002,6.4002,105712
1994-09-05,6.0433,6.0433,6.0433,6.0433,72979
1994-09-06,5.4425,5.4425,5.4425,5.4425,0
1994-09-07,4.9201,4.9201,4.9201,4.9201,267589
1994-09-08,5.3902,5.3902,5.3902,5.3902,76643
1994-09-12,5.6428,5.6428,5.6428,5.6428,254795
1994-09-13,5.0941,5.0941,5.0941,5.0941,335035
1994-09-14,5.0941,5.0941,5.0941,5.0941,105738
1994-09-15,4.9635,4.9635,4.9635,4.9635,99198
1994-09-19,4.894,4.894,4.894,4.894,167154
1994-09-20,4.5368,4.5368,4.5368,4.5368,92581
1994-09-21,4.1363,4.1363,4.1363,4.1363,148996
1994-09-22,4.3627,4.3627,4.3627,4.3627,143420
1994-09-26,4.1363,4.1363,4.1363,4.1363,83161
1994-09-27,3.8401,3.8401,3.8401,3.8401,87518
1994-09-28,3.8925,3.8925,3.8925,3.8925,135346
1994-09-29,4.1624,4.1624,4.1624,4.1624,165412
1994-10-03,4.5629,4.5629,4.5629,4.5629,251945
1994-10-04,5.0157,5.0157,5.0157,5.0157,302629
1994-10-05,5.5208,5.5208,5.5208,5.5208,210021
1994-10-06,5.2683,5.2683,5.2683,5.2683,149559
1994-10-07,5.1465,5.1465,5.1465,5.1465,172206
1994-10-10,4.894,4.894,4.894,4.894,137399
1994-10-11,4.415,4.415,4.415,4.415,194983
1994-10-12,4.8415,4.8415,4.8415,4.8415,260573
1994-10-13,4.5194,4.5194,4.5194,4.5194,86493
1994-10-14,4.7632,4.7632,4.7632,4.7632,103511
1994-10-17,4.7632,4.7632,4.7632,4.7632,44333
1994-10-18,4.9897,4.9897,4.9897,4.9897,339536
1994-10-19,5.3902,5.3902,5.3902,5.3902,373054
1994-10-20,4.9635,4.9635,4.9635,4.9635,176301
1994-10-21,4.7632,4.7632,4.7632,4.7632,149711
1994-10-24,4.293,4.293,4.293,4.293,253416
1994-10-25,4.267,4.267,4.267,4.267,237686
1994-10-26,4.2147,4.2147,4.2147,4.2147,127385
1994-10-27,4.1102,4.1102,4.1102,4.1102,114828
1994-10-28,3.8925,3.8925,3.8925,3.8925,112944
1994-11-02,3.9099,3.9099,3.9099,3.9099,93616
1994-11-03,4.1102,4.1102,4.1102,4.1102,209969
1994-11-04,3.7096,3.7096,3.7096,3.7096,91766
1994-11-07,3.7619,3.7619,3.7619,3.7619,100606
1994-11-08,3.5616,3.5616,3.5616,3.5616,79195
1994-11-09,3.4135,3.4135,3.4135,3.4135,80298
1994-11-10,3.1088,3.1088,3.1088,3.1088,102200
1994-11-14,2.8824,2.8824,2.8824,2.8824,120545
1994-11-15,2.6124,2.6124,2.6124,2.6124,215287
1994-11-16,2.534,2.534,2.534,2.534,211969
1994-11-17,2.7865,2.7865,2.7865,2.7865,276376
1994-11-18,2.7604,2.7604,2.7604,2.7604,227696
1994-11-21,2.4817,2.4817,2.4817,2.4817,58325
1994-11-22,2.2466,2.2466,2.2466,2.2466,221458
1994-11-23,2.2466,2.2466,2.2466,2.2466,184177
1994-11-24,2.2553,2.2553,2.2553,2.2553,142272
1994-11-25,2.3599,2.3599,2.3599,2.3599,138635
1994-11-28,2.5862,2.5862,2.5862,2.5862,62020
1994-11-29,2.8388,2.8388,2.8388,2.8388,159827
1994-11-30,3.1088,3.1088,3.1088,3.1088,223644
1994-12-01,3.4135,3.4135,3.4135,3.4135,185911
1994-12-02,3.7358,3.7358,3.7358,3.7358,453676
1994-12-05,3.6399,3.6399,3.6399,3.6399,306047
1994-12-06,3.7358,3.7358,3.7358,3.7358,207227
1994-12-07,3.4396,3.4396,3.4396,3.4396,230122
1994-12-08,3.1088,3.1088,3.1088,3.1088,0
1994-12-09,2.8126,2.8126,2.8126,2.8126,305245
1994-12-12,3.0826,3.0826,3.0826,3.0826,201203
1994-12-13,3.0565,3.0565,3.0565,3.0565,188259
1994-12-14,2.9868,2.9868,2.9868,2.9868,80680
1994-12-15,3.0826,3.0826,3.0826,3.0826,59506
1994-12-16,3.3874,3.3874,3.3874,3.3874,91807
1994-12-19,3.5093,3.5093,3.5093,3.5093,155128
1994-12-20,3.2568,3.2568,3.2568,3.2568,131998
1994-12-21,3.3874,3.3874,3.3874,3.3874,101032
1994-12-22,3.3874,3.3874,3.3874,3.3874,92544
1994-12-23,3.5616,3.5616,3.5616,3.5616,160820
1994-12-27,3.7619,3.7619,3.7619,3.7619,199322
1994-12-28,3.7358,3.7358,3.7358,3.7358,228067
1994-12-29,3.7619,3.7619,3.7619,3.7619,227556
1995-01-02,4.0144,4.0144,4.0144,4.0144,329380
1995-01-03,2.9345,2.9345,2.9345,2.9345,420276
1995-01-04,3.2132,3.2132,3.2132,3.2132,783897
1995-01-05,3.2132,3.2132,3.2132,3.2132,331216
1995-01-06,3.013,3.013,3.013,3.013,242674
1995-01-09,3.0565,3.0565,3.0565,3.0565,143285
1995-01-10,2.9606,2.9606,2.9606,2.9606,89021
1995-01-11,2.9084,2.9084,2.9084,2.9084,88490
1995-01-12,2.9606,2.9606,2.9606,2.9606,182937
1995-01-13,3.0565,3.0565,3.0565,3.0565,188865
1995-01-16,3.013,3.013,3.013,3.013,89693
1995-01-17,2.8824,2.8824,2.8824,2.8824,70891
1995-01-18,2.8824,2.8824,2.8824,2.8824,97755
1995-01-19,2.9345,2.9345,2.9345,2.9345,97958
1995-01-20,2.8563,2.8563,2.8563,2.8563,82527
1995-01-23,2.7604,2.7604,2.7604,2.7604,93138
1995-01-24,2.6559,2.6559,2.6559,2.6559,128993
1995-01-25,2.6559,2.6559,2.6559,2.6559,106055
1995-01-26,2.5601,2.5601,2.5601,2.5601,72888
1995-01-27,2.5079,2.5079,2.5079,2.5079,129159
1995-01-30,2.4817,2.4817,2.4817,2.4817,85767
1995-01-31,2.3075,2.3075,2.3075,2.3075,110277
1995-02-01,2.534,2.534,2.534,2.534,159062
1995-02-02,2.3075,2.3075,2.3075,2.3075,200187
1995-02-03,2.2553,2.2553,2.2553,2.2553,124687
1995-02-06,2.4817,2.4817,2.4817,2.4817,112948
1995-02-07,2.7081,2.7081,2.7081,2.7081,163886
1995-02-08,2.7081,2.7081,2.7081,2.7081,320390
1995-02-09,2.7604,2.7604,2.7604,2.7604,308406
1995-02-10,2.6124,2.6124,2.6124,2.6124,158500
1995-02-13,2.534,2.534,2.534,2.534,189649
1995-02-14,2.682,2.682,2.682,2.682,67993
1995-02-15,2.6559,2.6559,2.6559,2.6559,53214
1995-02-16,2.7343,2.7343,2.7343,2.7343,128004
1995-02-17,2.7343,2.7343,2.7343,2.7343,107158
1995-02-20,2.6559,2.6559,2.6559,2.6559,63180
1995-02-21,2.4295,2.4295,2.4295,2.4295,199528
1995-02-22,2.534,2.534,2.534,2.534,105580
1995-02-23,2.6124,2.6124,2.6124,2.6124,89887
1995-02-24,2.8563,2.8563,2.8563,2.8563,632584
1995-02-27,2.7081,2.7081,2.7081,2.7081,126238
1995-02-28,2.6298,2.6298,2.6298,2.6298,126425
1995-03-01,2.6559,2.6559,2.6559,2.6559,98157
1995-03-02,2.7081,2.7081,2.7081,2.7081,83236
1995-03-03,2.7604,2.7604,2.7604,2.7604,171237
1995-03-06,2.8388,2.8388,2.8388,2.8388,215375
1995-03-07,2.8388,2.8388,2.8388,2.8388,258237
1995-03-08,2.8388,2.8388,2.8388,2.8388,211668
1995-03-09,2.8563,2.8563,2.8563,2.8563,186381
1995-03-10,2.7865,2.7865,2.7865,2.7865,42380
1995-03-13,2.7604,2.7604,2.7604,2.7604,195156
1995-03-14,2.7343,2.7343,2.7343,2.7343,160553
1995-03-15,2.7343,2.7343,2.7343,2.7343,121239
1995-03-16,2.7604,2.7604,2.7604,2.7604,154203
1995-03-17,2.7081,2.7081,2.7081,2.7081,79728
1995-03-20,2.6559,2.6559,2.6559,2.6559,246521
1995-03-21,2.6559,2.6559,2.6559,2.6559,103046
1995-03-22,2.6298,2.6298,2.6298,2.6298,106876
1995-03-23,2.6298,2.6298,2.6298,2.6298,81817
1995-03-24,2.682,2.682,2.682,2.682,61658
1995-03-27,2.7604,2.7604,2.7604,2.7604,68674
1995-03-28,2.6559,2.6559,2.6559,2.6559,98345
1995-03-29,2.6298,2.6298,2.6298,2.6298,51823
1995-03-30,2.7081,2.7081,2.7081,2.7081,116825
1995-03-31,2.7604,2.7604,2.7604,2.7604,236830
1995-04-03,2.7604,2.7604,2.7604,2.7604,145504
1995-04-04,2.8388,2.8388,2.8388,2.8388,247298
1995-04-05,2.9084,2.9084,2.9084,2.9084,440054
1995-04-06,3.0565,3.0565,3.0565,3.0565,314829
1995-04-07,3.3613,3.3613,3.3613,3.3613,534895
1995-04-10,3.6835,3.6835,3.6835,3.6835,878913
1995-04-11,4.0406,4.0406,4.0406,4.0406,677570
1995-04-12,4.0406,4.0406,4.0406,4.0406,554138
1995-04-13,3.8925,3.8925,3.8925,3.8925,470658
1995-04-14,3.9621,3.9621,3.9621,3.9621,248901
1995-04-18,4.3364,4.3364,4.3364,4.3364,191947
1995-04-19,4.7632,4.7632,4.7632,4.7632,0
1995-04-20,5.0157,5.0157,5.0157,5.0157,424257
1995-04-21,5.0157,5.0157,5.0157,5.0157,462924
1995-04-24,5.5208,5.5208,5.5208,5.5208,240724
1995-04-25,5.8953,5.8953,5.8953,5.8953,568023
1995-04-26,5.5208,5.5208,5.5208,5.5208,317826
1995-04-27,6.0694,6.0694,6.0694,6.0694,575398
1995-04-28,6.1479,6.1479,6.1479,6.1479,499687
1995-05-04,5.7734,5.7734,5.7734,5.7734,917397
1995-05-05,5.5208,5.5208,5.5208,5.5208,236558
1995-05-09,5.6167,5.6167,5.6167,5.6167,199769
1995-05-10,5.6689,5.6689,5.6689,5.6689,281166
1995-05-11,5.7734,5.7734,5.7734,5.7734,417535
1995-05-12,6.1479,6.1479,6.1479,6.1479,290033
1995-05-15,6.1479,6.1479,6.1479,6.1479,328676
1995-05-16,5.8169,5.8169,5.8169,5.8169,137807
1995-05-17,5.5731,5.5731,5.5731,5.5731,125787
1995-05-18,5.0157,5.0157,5.0157,5.0157,111818
1995-05-19,5.0157,5.0157,5.0157,5.0157,354193
1995-05-22,4.7632,4.7632,4.7632,4.7632,430849
1995-05-23,4.5194,4.5194,4.5194,4.5194,280931
1995-05-24,4.9635,4.9635,4.9635,4.9635,262239
1995-05-25,5.4425,5.4425,5.4425,5.4425,662995
1995-05-26,5.3641,5.3641,5.3641,5.3641,239185
1995-05-29,5.8953,5.8953,5.8953,5.8953,227986
1995-05-30,5.5208,5.5208,5.5208,5.5208,218349
1995-05-31,5.5208,5.5208,5.5208,5.5208,289471
1995-06-01,5.2944,5.2944,5.2944,5.2944,132910
1995-06-02,5.1202,5.1202,5.1202,5.1202,98879
1995-06-05,5.216,5.216,5.216,5.216,142209
1995-06-06,5.4946,5.4946,5.4946,5.4946,237455
1995-06-07,5.6428,5.6428,5.6428,5.6428,182310
1995-06-08,5.6428,5.6428,5.6428,5.6428,266026
1995-06-09,5.6428,5.6428,5.6428,5.6428,108255
1995-06-12,5.5208,5.5208,5.5208,5.5208,135446
1995-06-13,5.6428,5.6428,5.6428,5.6428,108519
1995-06-14,5.7734,5.7734,5.7734,5.7734,148362
1995-06-16,5.6428,5.6428,5.6428,5.6428,157065
1995-06-19,5.5208,5.5208,5.5208,5.5208,81179
1995-06-20,5.7734,5.7734,5.7734,5.7734,144899
1995-06-21,5.7734,5.7734,5.7734,5.7734,108586
1995-06-22,5.7734,5.7734,5.7734,5.7734,154604
1995-06-23,5.7734,5.7734,5.7734,5.7734,65688
1995-06-26,6.0433,6.0433,6.0433,6.0433,150939
1995-06-27,6.1479,6.1479,6.1479,6.1479,170359
1995-06-28,5.9736,5.9736,5.9736,5.9736,118169
1995-06-29,6.1479,6.1479,6.1479,6.1479,146684
1995-06-30,6.2698,6.2698,6.2698,6.2698,261190
1995-07-03,6.5223,6.5223,6.5223,6.5223,204153
1995-07-04,6.47,6.47,6.47,6.47,180549
1995-07-05,6.2435,6.2435,6.2435,6.2435,95737
1995-07-06,6.2174,6.2174,6.2174,6.2174,90499
1995-07-07,6.1739,6.1739,6.1739,6.1739,70249
1995-07-10,6.0694,6.0694,6.0694,6.0694,41925
1995-07-11,6.0172,6.0172,6.0172,6.0172,93183
1995-07-12,5.8169,5.8169,5.8169,5.8169,51460
1995-07-13,5.7908,5.7908,5.7908,5.7908,99573
1995-07-14,6.0172,6.0172,6.0172,6.0172,159043
1995-07-17,6.2959,6.2959,6.2959,6.2959,132695
1995-07-18,6.6007,6.6007,6.6007,6.6007,191061
1995-07-19,6.4002,6.4002,6.4002,6.4002,79338
1995-07-20,6.2698,6.2698,6.2698,6.2698,192945
1995-07-21,6.2,6.2,6.2,6.2,77469
1995-07-24,5.8953,5.8953,5.8953,5.8953,83886
1995-07-25,5.6689,5.6689,5.6689,5.6689,116063
1995-07-26,5.6689,5.6689,5.6689,5.6689,178333
1995-07-27,5.8953,5.8953,5.8953,5.8953,122817
1995-07-28,5.8691,5.8691,5.8691,5.8691,164311
1995-07-31,5.6428,5.6428,5.6428,5.6428,147765
1995-08-01,5.5208,5.5208,5.5208,5.5208,71847
1995-08-02,5.6167,5.6167,5.6167,5.6167,61574
1995-08-03,5.4685,5.4685,5.4685,5.4685,81008
1995-08-04,4.9374,4.9374,4.9374,4.9374,823797
1995-08-07,4.9374,4.9374,4.9374,4.9374,227345
1995-08-08,5.0157,5.0157,5.0157,5.0157,154574
1995-08-09,4.9374,4.9374,4.9374,4.9374,115040
1995-08-10,5.1465,5.1465,5.1465,5.1465,133206
1995-08-11,5.3205,5.3205,5.3205,5.3205,202893
1995-08-16,5.4164,5.4164,5.4164,5.4164,80650
1995-08-17,5.4164,5.4164,5.4164,5.4164,143587
1995-08-18,5.2683,5.2683,5.2683,5.2683,67578
1995-08-21,5.2683,5.2683,5.2683,5.2683,102411
1995-08-22,5.2683,5.2683,5.2683,5.2683,67390
1995-08-23,5.3205,5.3205,5.3205,5.3205,87341
1995-08-24,5.2683,5.2683,5.2683,5.2683,80395
1995-08-25,5.2944,5.2944,5.2944,5.2944,41565
1995-08-28,5.4425,5.4425,5.4425,5.4425,64480
1995-08-29,5.4164,5.4164,5.4164,5.4164,99477
1995-08-30,5.4685,5.4685,5.4685,5.4685,65465
1995-08-31,5.4685,5.4685,5.4685,5.4685,52297
1995-09-01,5.4425,5.4425,5.4425,5.4425,65213
1995-09-04,5.4946,5.4946,5.4946,5.4946,125053
1995-09-05,5.5208,5.5208,5.5208,5.5208,144870
1995-09-06,5.4946,5.4946,5.4946,5.4946,137795
1995-09-07,5.4425,5.4425,5.4425,5.4425,107469
1995-09-08,5.4425,5.4425,5.4425,5.4425,128409
1995-09-11,5.6167,5.6167,5.6167,5.6167,188641
1995-09-12,5.7734,5.7734,5.7734,5.7734,440412
1995-09-13,5.7734,5.7734,5.7734,5.7734,374554
1995-09-14,6.1479,6.1479,6.1479,6.1479,228283
