Date,Open,High,Low,Close,Volume
1994-11-23,4.57128,4.57128,4.57128,4.57128,13376.907894668
1994-11-24,4.2055,4.2055,4.2055,4.2055,47782.828947122
1994-11-25,4.61688,4.61688,4.61688,4.61688,26489.703947232
1994-11-28,5.07405,5.07405,5.07405,5.07405,0.0
1994-11-29,5.57693,5.57693,5.57693,5.57693,0.0
1994-11-30,6.1255,6.1255,6.1255,6.1255,0.0
1994-12-01,6.71967,6.71967,6.71967,6.71967,0.0
1994-12-02,7.95391,7.95391,7.95391,7.95391,70046.743420691
1994-12-05,8.68528,8.68528,8.68528,8.68528,76002.006578555
1994-12-06,8.3196,8.3196,8.3196,8.3196,54948.519736558
1994-12-07,7.49684,7.49684,7.49684,7.49684,35788.684210342
1994-12-08,6.76547,6.76547,6.76547,6.76547,98243.486841598
1994-12-09,7.40544,7.40544,7.40544,7.40544,36851.24999981
1994-12-12,7.77112,7.77112,7.77112,7.77112,52515.427631308
1994-12-13,7.08536,7.08536,7.08536,7.08536,31670.986841942
1994-12-14,7.13115,7.13115,7.13115,7.13115,19863.453947266
1994-12-15,6.94826,6.94826,6.94826,6.94826,37196.940789282
1994-12-16,7.40544,7.40544,7.40544,7.40544,40821.085526105
1994-12-19,7.31395,7.31395,7.31395,7.31395,34318.223684033
1994-12-20,7.03966,7.03966,7.03966,7.03966,24554.243420926
1994-12-21,7.13115,7.13115,7.13115,7.13115,16912.335526229
1994-12-22,7.31395,7.31395,7.31395,7.31395,23823.09210514
1994-12-23,7.63393,7.63393,7.63393,7.63393,26107.302631444
1994-12-27,7.58823,7.58823,7.58823,7.58823,19925.657894634
1994-12-28,7.13115,7.13115,7.13115,7.13115,11085.559210469
1994-12-29,7.40544,7.40544,7.40544,7.40544,13456.447368352
1995-01-02,7.77112,7.77112,7.77112,7.77112,18078.914473591
1995-01-03,8.54819,8.54819,8.54819,8.54819,45448.651315555
1995-01-04,8.13681,8.13681,8.13681,8.13681,30478.914473527
1995-01-05,8.3196,8.3196,8.3196,8.3196,30168.914473528
1995-01-06,7.99971,7.99971,7.99971,7.99971,11125.328947311
1995-01-09,8.04531,8.04531,8.04531,8.04531,17027.565789386
1995-01-10,7.99971,7.99971,7.99971,7.99971,15499.99999992
1995-01-11,7.95391,7.95391,7.95391,7.95391,7858.0921052226
1995-01-12,7.86252,7.86252,7.86252,7.86252,8966.5460525853
1995-01-13,8.13681,8.13681,8.13681,8.13681,9278.5855262679
1995-01-16,8.13681,8.13681,8.13681,8.13681,17819.901315697
1995-01-17,7.77112,7.77112,7.77112,7.77112,3216.2499999834
1995-01-18,7.63393,7.63393,7.63393,7.63393,10872.43421047
1995-01-19,7.54253,7.54253,7.54253,7.54253,15711.085526235
1995-01-20,7.40544,7.40544,7.40544,7.40544,16879.703947281
1995-01-23,7.03966,7.03966,7.03966,7.03966,9801.7105262652
1995-01-24,6.76547,6.76547,6.76547,6.76547,20620.098684104
1995-01-25,6.90257,6.90257,6.90257,6.90257,22238.421052517
1995-01-26,6.76547,6.76547,6.76547,6.76547,10199.407894684
1995-01-27,6.67398,6.67398,6.67398,6.67398,7490.9868420666
1995-01-30,6.71967,6.71967,6.71967,6.71967,9226.5789473208
1995-01-31,6.1255,6.1255,6.1255,6.1255,8162.9934210105
1995-02-01,6.49118,6.49118,6.49118,6.49118,9704.8355262657
1995-02-02,5.85112,5.85112,5.85112,5.85112,20081.677631475
1995-02-03,6.03401,6.03401,6.03401,6.03401,12842.565789407
1995-02-06,6.62828,6.62828,6.62828,6.62828,9127.6644736371
1995-02-07,7.26825,7.26825,7.26825,7.26825,32744.769736673
1995-02-08,6.76547,6.76547,6.76547,6.76547,13450.328947299
1995-02-09,7.22255,7.22255,7.22255,7.22255,23676.249999878
1995-02-10,6.85677,6.85677,6.85677,6.85677,11739.210526255
1995-02-13,6.76547,6.76547,6.76547,6.76547,13081.184210459
1995-02-14,7.13115,7.13115,7.13115,7.13115,19000.756578849
1995-02-15,7.22255,7.22255,7.22255,7.22255,19384.177631479
1995-02-16,7.40544,7.40544,7.40544,7.40544,20458.980263052
1995-02-17,7.40544,7.40544,7.40544,7.40544,20390.657894632
1995-02-20,7.40544,7.40544,7.40544,7.40544,26332.664473548
1995-02-21,6.85677,6.85677,6.85677,6.85677,23480.460526195
1995-02-22,6.94826,6.94826,6.94826,6.94826,15974.177631496
1995-02-23,7.22255,7.22255,7.22255,7.22255,18483.749999905
