Date,Open,High,Low,Close,Volume
2021-12-22,126.796,126.796,109.505,115.173,9187.2201490825
2021-12-23,117.67,141.204,115.269,137.151,8657.3283580476
2021-12-27,144.086,144.086,121.128,133.52,2684.8544775619
2021-12-28,124.394,130.542,120.072,130.542,973.3768656535
2021-12-29,128.717,128.717,118.151,121.993,941.1044775944
2021-12-30,121.993,123.914,121.993,122.953,239.440298503
2022-01-03,124.875,127.372,115.269,127.372,680.8432835694
2022-01-04,125.835,125.835,120.168,124.875,176.977611937
2022-01-05,124.682,133.039,124.682,133.039,218.619402981
2022-01-07,128.717,131.599,123.914,128.698,104.10447761
2022-01-10,124.875,126.796,124.778,124.875,314.3955223822
2022-01-11,124.875,124.971,123.914,123.914,195.7164179068
2022-01-12,122.665,123.895,120.072,123.895,254.0149253684
2022-01-13,123.914,128.717,123.914,124.875,112.4328358188
2022-01-14,125.835,126.315,121.993,124.682,155.1156716389
2022-01-17,122.185,123.722,120.264,123.722,106.1865671622
2022-01-18,122.953,122.953,117.19,121.993,316.4776119344
2022-01-19,118.151,119.976,115.749,119.976,255.0559701445
2022-01-20,116.229,122.953,115.269,122.953,803.6865671492
2022-01-21,119.591,121.897,118.151,121.897,168.6492537282
2022-01-24,118.631,118.631,107.584,114.789,576.7388059594
2022-01-25,114.789,114.789,108.737,114.596,597.5597014814
2022-01-26,114.308,114.308,108.929,114.289,120.7611940276
2022-01-27,116.133,118.247,112.387,118.247,135.335820893
2022-01-28,118.247,124.875,115.269,119.687,1534.4999999714
2022-01-31,119.687,122.281,116.229,121.878,455.9776119318
2022-02-01,121.878,126.796,101.936,126.796,979.6231343101
2022-02-02,117.382,129.677,117.382,129.639,243.6044776074
2022-02-03,126.796,148.889,126.796,144.067,2825.3955223354
2022-02-04,142.933,144.086,142.165,142.165,475.7574626777
2022-02-07,142.165,146.007,142.165,144.086,297.7388059646
2022-02-08,144.566,144.566,138.323,142.165,65.5858208943
2022-02-09,142.165,142.165,142.165,142.165,1.0410447761
2022-02-10,141.685,142.165,141.589,142.165,328.9701492476
2022-02-11,142.165,142.165,141.204,141.204,89.5298507446
2022-02-14,131.599,131.599,123.914,128.717,252.9738805923
2022-02-15,124.875,131.503,123.914,131.503,87.4477611924
2022-02-16,131.503,131.503,131.503,131.503,84.3246268641
2022-02-17,126.796,126.796,124.875,124.875,284.2052238753
2022-02-18,126.796,129.581,122.953,122.953,151.9925373106
2022-02-21,124.875,129.581,117.478,126.642,307.1082089495
2022-02-22,121.993,134.48,115.269,134.48,1603.208955194
2022-02-23,134.288,134.288,124.875,126.796,36.4365671635
2022-02-24,119.13,119.13,102.013,111.427,1185.7499999779
2022-02-25,113.348,120.072,113.348,120.072,41.641791044
2022-02-28,110.466,118.151,110.466,118.151,16.6567164176
2022-03-01,119.111,121.993,119.111,121.993,69.7499999987
2022-03-02,121.993,122.953,121.993,122.953,26.0261194025
2022-03-03,122.953,132.559,122.953,123.914,190.5111940263
2022-03-04,123.914,130.619,116.249,124.778,142.6231343257
2022-03-07,123.818,123.818,123.818,123.818,10.410447761
2022-03-08,124.394,129.159,124.394,129.159,26.0261194025
2022-03-09,128.717,130.638,128.717,128.717,160.3208955194
2022-03-10,122.953,129.677,121.032,129.677,240.4813432791
2022-03-11,127.756,127.756,127.756,127.756,411.2126865595
2022-03-14,124.875,127.756,124.875,127.756,92.6529850729
2022-03-15,124.875,127.276,123.146,127.276,159.2798507433
2022-03-16,127.276,127.276,127.276,127.276,1.0410447761
2022-03-17,127.276,127.564,127.257,127.564,32.2723880591
2022-03-18,126.796,127.564,124.875,124.875,69.7499999987
2022-03-21,127.372,127.564,122.953,127.564,61.4216417899
2022-03-22,127.564,127.564,127.564,127.564,1.0410447761
2022-03-23,127.564,127.564,124.875,124.875,218.619402981
2022-03-25,126.219,126.219,126.219,126.219,1.0410447761
2022-03-28,126.411,126.411,122.953,125.835,58.2985074616
2022-03-29,125.835,125.835,120.072,120.072,65.5858208943
2022-03-30,124.875,124.875,124.875,124.875,2.0820895522
2022-04-04,123.914,123.914,123.914,123.914,10.410447761
2022-04-05,123.434,123.434,123.434,123.434,5.2052238805
2022-04-06,122.953,122.953,122.953,122.953,215.4962686527
2022-04-07,123.434,124.875,121.032,121.032,5030.3283581152
2022-04-08,124.394,124.394,121.032,121.032,8.3283582088
2022-04-11,120.648,120.648,120.552,120.552,24.9850746264
2022-04-12,121.032,121.032,118.151,119.111,207.1679104439
2022-04-13,118.151,118.151,118.151,118.151,338.3395522325
2022-04-14,120.552,121.993,117.19,117.19,199.8805970112
2022-04-19,119.111,119.111,117.19,117.19,1844.7313432492
2022-04-20,119.111,123.914,119.111,120.552,1145.14925371
2022-04-21,123.914,129.677,122.473,122.953,289.4104477558
2022-04-22,127.276,128.717,124.875,124.875,87.4477611924
2022-04-25,122.953,128.237,121.993,121.993,122.8432835798
2022-04-26,121.513,121.513,121.513,121.513,55.1753731333
2022-04-27,121.032,123.914,120.072,123.914,254.0149253684
2022-04-29,123.914,123.914,116.229,121.032,213.4141791005
2022-05-02,121.993,121.993,118.151,118.151,56.2164179094
2022-05-04,118.151,123.914,116.229,123.914,49.9701492528
2022-05-05,118.151,118.151,118.151,118.151,5.2052238805
2022-05-06,118.151,118.151,115.269,115.269,795.3582089404
2022-05-10,114.308,115.269,110.466,111.427,284.2052238753
2022-05-12,110.946,114.308,89.3333,107.584,276.9179104426
2022-05-13,108.545,110.466,106.624,108.545,210.2910447722
2022-05-16,111.427,114.308,105.663,105.663,149.9104477584
2022-05-19,106.143,106.143,104.703,104.703,158.2388059672
2022-05-23,104.703,105.663,103.742,105.663,97.8582089534
2022-05-24,103.742,103.742,99.4194,101.821,75.9962686553
