Date,Open,High,Low,Close,Volume
2008-04-18,24.4835,24.9476,23.596,24.9079,345893.26431547
2008-04-21,24.832,24.832,24.3282,24.7165,87068.885596901
2008-04-22,24.6921,24.87,24.2524,24.4835,154151.44386245
2008-04-23,24.4835,24.7779,24.4835,24.4916,135344.6265947
2008-04-24,24.3373,24.6768,24.3373,24.5991,60153.905722882
2008-04-25,24.3282,24.6686,24.3282,24.6081,3459.8961865869
2008-04-28,24.6388,24.7165,24.376,24.5602,14318.03389891
2008-04-29,24.4067,24.8546,24.3914,24.8166,82173.641952627
2008-04-30,24.7165,24.7165,24.3282,24.3373,1099.7685381821
2008-05-05,24.3526,24.5458,24.3282,24.5223,255.83739407861
2008-05-06,24.3282,24.3914,23.9417,24.3282,58214.636125342
2008-05-07,24.3914,24.4294,23.2483,24.3219,1022.242055128
2008-05-08,24.3138,24.3219,23.3639,24.2993,454.08368645987
2008-05-09,24.3138,24.4067,24.097,24.3282,5656.1106993917
2008-05-12,22.3987,24.3987,22.3987,24.3987,1573.7876059987
2008-05-13,24.3914,24.3914,23.9417,23.9417,532.71769070049
2008-05-14,23.1707,24.3282,23.1707,24.3282,5585.2293434565
2008-05-15,24.3282,24.8618,24.3282,24.8076,29523.192268197
2008-05-16,23.186,23.186,20.1594,20.9712,16292.744174418
2008-05-19,19.3865,19.6944,18.536,19.0705,10359.753178404
2008-05-20,19.54,21.3937,19.5255,20.8538,1754.3135593962
2008-05-21,20.8538,22.9395,20.0818,22.3138,1824.0873941449
2008-05-23,22.1675,22.1675,20.2353,22.1675,218.18167373804
2008-05-26,20.1594,22.1594,20.127,20.182,410.89036018686
2008-05-27,22.098,22.098,20.2353,21.8813,238.11705509481
2008-05-28,20.321,21.6114,20.321,20.4664,271.34269068944
2008-05-29,21.8199,21.8578,20.1657,20.8222,1273.6493644606
2008-05-30,20.5992,20.5992,19.9653,20.5766,225.93432204345
2008-06-02,20.4303,20.4303,18.9224,20.3599,334.47139831922
2008-06-03,20.5071,20.5071,20.5071,20.5071,1.1075211864875
2008-06-04,20.545,20.545,19.4651,20.0818,1589.2929026096
2008-06-05,20.545,20.545,18.4909,20.0736,1003.4141949577
2008-06-06,19.9193,20.0042,18.7301,19.9888,250.29978814617
2008-06-09,19.224,19.224,18.1514,19.1545,212.6440678056
2008-06-10,20.7003,20.7003,18.9224,19.5797,1550.5296610825
2008-06-11,19.68,19.68,18.1577,18.1577,259.15995763808
2008-06-12,18.536,20.2353,18.1821,18.1884,966.86599580359
2008-06-13,19.9888,19.9888,18.1514,19.1933,197.13877119477
2008-06-16,19.9653,19.9653,19.9653,19.9653,1.1075211864875
2008-06-17,19.9121,19.9121,18.2263,19.7649,3869.6790255873
2008-06-18,19.9825,19.9825,18.3436,19.9193,27.688029662187
2008-06-19,19.9572,19.9572,18.2263,19.1473,219.28919492452
2008-06-20,19.9265,19.9265,18.2263,19.503,529.39512714103
2008-06-23,19.8507,19.8507,17.3008,17.9175,1250.3914195444
2008-06-24,19.2691,19.2691,15.9103,15.9103,433.04078391661
2008-06-25,19.1933,19.2322,16.2661,17.5708,658.97510596006
2008-06-26,17.7631,17.7631,15.4941,16.2191,8554.4936444294
2008-06-27,17.3694,17.3694,15.4471,15.5636,14390.022776032
2008-06-30,17.3008,17.3008,14.9839,16.3744,864.97404664674
2008-07-01,16.2191,16.2191,15.2395,15.2927,971.29608054954
2008-07-02,14.9071,15.5238,14.5966,14.5966,4737.9756357935
2008-07-03,14.6363,16.0565,13.4381,14.2056,693.30826274117
2008-07-04,14.2878,14.2878,13.4381,13.6711,760.86705511691
