Date,Open,High,Low,Close,Volume
1997-01-16,2.58297,2.58297,2.58297,2.58297,3087906.0765992
1997-01-17,2.81787,2.81787,2.81787,2.81787,2566373.5764321
1997-01-20,2.67712,2.67712,2.67712,2.67712,1459134.4573902
1997-01-21,2.58297,2.58297,2.58297,2.58297,930503.40766393
1997-01-22,2.60642,2.60642,2.60642,2.60642,711291.94106181
1997-01-23,2.67712,2.67712,2.67712,2.67712,731979.59134161
1997-01-24,2.67712,2.67712,2.67712,2.67712,621409.1373356
1997-01-27,2.67712,2.67712,2.67712,2.67712,1173538.9886052
1997-01-28,2.62987,2.62987,2.62987,2.62987,739357.46119792
1997-01-29,2.53591,2.53591,2.53591,2.53591,357445.84770659
1997-01-30,2.51255,2.51255,2.51255,2.51255,405354.32662153
1997-01-31,2.48902,2.48902,2.48902,2.48902,413798.9980946
1997-02-03,2.58297,2.58297,2.58297,2.58297,586728.54976104
1997-02-04,2.62987,2.62987,2.62987,2.62987,672228.60488931
1997-02-05,2.58297,2.58297,2.58297,2.58297,342226.81770193
1997-02-06,2.65323,2.65323,2.65323,2.65323,247779.53891941
1997-02-07,2.70047,2.70047,2.70047,2.70047,431769.72564488
1997-02-10,2.72391,2.72391,2.72391,2.72391,475232.63693924
1997-02-11,2.72391,2.72391,2.72391,2.72391,303424.85353437
1997-02-12,2.79452,2.79452,2.79452,2.79452,1150179.2863263
1997-02-13,2.84123,2.84123,2.84123,2.84123,668009.63445756
1997-02-14,2.98217,2.98217,2.98217,2.98217,727296.20884957
1997-02-17,3.00534,3.00534,3.00534,3.00534,660249.24162405
1997-02-18,3.21689,3.21689,3.21689,3.21689,781152.30308734
1997-02-19,3.2406,3.2406,3.2406,3.2406,1095978.8092323
1997-02-20,3.05268,3.05268,3.05268,3.05268,395238.22043873
1997-02-21,3.07622,3.07622,3.07622,3.07622,771744.03267758
1997-02-24,2.98217,2.98217,2.98217,2.98217,333139.37301498
1997-02-25,2.93518,2.93518,2.93518,2.93518,434885.99787551
1997-02-26,2.98217,2.98217,2.98217,2.98217,805799.79533046
1997-02-27,2.86468,2.86468,2.86468,2.86468,690446.12145714
1997-02-28,2.91192,2.91192,2.91192,2.91192,802625.19115023
1997-03-03,2.91192,2.91192,2.91192,2.91192,256886.0536668
1997-03-04,2.91192,2.91192,2.91192,2.91192,222712.50534646
1997-03-05,2.93518,2.93518,2.93518,2.93518,250573.86365897
1997-03-06,3.02933,3.02933,3.02933,3.02933,246756.48626486
1997-03-07,3.09939,3.09939,3.09939,3.09939,376183.86474778
1997-03-10,3.00534,3.00534,3.00534,3.00534,182825.79126997
1997-03-11,2.93518,2.93518,2.93518,2.93518,660773.1074022
1997-03-12,2.88794,2.88794,2.88794,2.88794,381890.29989437
1997-03-13,2.86468,2.86468,2.86468,2.86468,299848.6563165
1997-03-14,2.79452,2.79452,2.79452,2.79452,482570.12313814
1997-03-17,2.77053,2.77053,2.77053,2.77053,117463.71997332
1997-03-18,2.84123,2.84123,2.84123,2.84123,279440.32633384
1997-03-19,2.88794,2.88794,2.88794,2.88794,397293.29989392
1997-03-20,2.91192,2.91192,2.91192,2.91192,612841.07135376
1997-03-21,2.91192,2.91192,2.91192,2.91192,151444.32415267
1997-03-24,2.95863,2.95863,2.95863,2.95863,307225.40440456
1997-03-25,3.02933,3.02933,3.02933,3.02933,265409.24891817
1997-03-26,3.09939,3.09939,3.09939,3.09939,736224.36244337
1997-03-27,3.09939,3.09939,3.09939,3.09939,666039.80939025
1997-04-01,2.93518,2.93518,2.93518,2.93518,1104687.0962468
1997-04-02,2.98217,2.98217,2.98217,2.98217,480524.01782905
1997-04-03,2.98217,2.98217,2.98217,2.98217,313680.0589816
1997-04-04,3.00534,3.00534,3.00534,3.00534,187144.599077
1997-04-07,3.09939,3.09939,3.09939,3.09939,332114.07682391
1997-04-08,3.17017,3.17017,3.17017,3.17017,317017.31955976
1997-04-09,3.26396,3.26396,3.26396,3.26396,737910.3801405
1997-04-10,3.33429,3.33429,3.33429,3.33429,781696.3606942
1997-04-11,3.26396,3.26396,3.26396,3.26396,137710.51532632
1997-04-14,3.12338,3.12338,3.12338,3.12338,313941.43098655
1997-04-15,3.21689,3.21689,3.21689,3.21689,179185.65326119
1997-04-16,3.28749,3.28749,3.28749,3.28749,213223.46762188
1997-04-17,3.28749,3.28749,3.28749,3.28749,366090.19393021
1997-04-18,3.19336,3.19336,3.19336,3.19336,250331.56171447
1997-04-21,3.31066,3.31066,3.31066,3.31066,102690.0319685
1997-04-22,3.28749,3.28749,3.28749,3.28749,150555.88368951
1997-04-23,3.38144,3.38144,3.38144,3.38144,335072.17972966
1997-04-24,3.38144,3.38144,3.38144,3.38144,214827.59623592
