Date,Open,High,Low,Close,Volume
2000-11-20,14.459,14.5046,13.0084,13.1851,136430.52630965
2000-11-21,13.1851,13.1851,12.8744,13.1404,16386.315788736
2000-11-22,12.9637,12.9637,12.7452,12.9191,8030.5263154281
2000-11-23,12.8336,12.8336,12.5676,12.5676,11006.315788978
2000-11-24,12.7452,12.9191,12.6578,12.9191,9524.2105258872
2000-11-27,12.9637,12.9637,12.7452,12.8744,11398.947367908
2000-11-28,12.6578,12.6578,12.4393,12.6122,6752.6315786435
2000-11-29,12.4393,12.4393,12.1724,12.1724,2501.0526314664
2000-11-30,11.8655,11.8655,10.6809,11.3373,18313.684209702
2000-12-01,11.1207,11.7316,11.1207,11.3373,4367.3684208561
2000-12-04,11.4276,11.4276,10.9868,11.0751,27861.052630325
2000-12-05,11.2043,11.3829,11.1654,11.3829,19064.210525458
2000-12-06,11.6888,12.3054,11.6888,12.218,11714.736841578
2000-12-07,12.0004,12.3054,11.8655,12.3054,4395.7894734864
2000-12-08,12.1268,12.3947,11.8655,12.1724,3278.9473682735
2000-12-11,12.0403,12.3947,12.0403,12.2626,3297.8947366937
2000-12-12,12.084,12.2626,11.8655,12.2626,1228.4210525763
2000-12-13,11.8655,12.084,11.8655,11.9111,4465.2631576938
2000-12-14,11.8655,12.084,11.8655,12.084,2672.6315788271
2000-12-15,12.1268,12.1268,11.8655,11.8655,1455.7894736187
2000-12-18,11.6888,11.6888,11.2043,11.2043,726.315789441
2000-12-19,11.3373,11.8218,10.9868,11.8218,2270.5263156873
2000-12-20,11.7772,11.7772,11.4276,11.4276,3482.1052630012
2000-12-21,11.6005,11.6005,11.5596,11.5596,1137.8947367909
2000-12-22,11.2927,11.8655,11.2927,11.6888,11762.105262629
2000-12-27,11.8655,11.8655,11.8655,11.8655,662.1052631281
2000-12-28,11.8655,11.8655,11.4703,11.8655,3222.1052630129
2000-12-29,11.6442,11.7772,11.6442,11.7772,2730.5263156666
2001-01-03,10.9868,11.4276,10.9868,11.0751,1571.5789472977
2001-01-04,11.4276,11.4276,11.2043,11.2043,2792.6315788217
2001-01-05,11.2043,11.2043,11.0314,11.2043,3065.2631577568
2001-01-08,10.5469,10.9431,10.5469,10.8984,3059.9999998623
2001-01-09,10.5906,10.8984,10.5906,10.8984,1841.0526314961
2001-01-10,10.9868,10.9868,10.5469,10.5469,2981.0526314448
2001-01-11,10.5906,10.5906,10.241,10.5469,3201.0526314349
2001-01-12,10.5469,10.5469,10.2857,10.2857,3410.526315636
