Date,Open,High,Low,Close,Volume
2014-07-08,4.76609,4.76609,4.51518,4.57084,1323326.0468269
2014-07-09,4.57084,4.57084,4.43722,4.50961,50002.708637408
2014-07-10,4.50961,4.54305,4.48182,4.53755,140054.71449221
2014-07-11,4.55427,4.55427,4.49296,4.53755,8720.3806733333
2014-07-14,4.51518,4.72707,4.51518,4.70469,91938.491945541
2014-07-15,4.73814,4.73814,4.68805,4.68805,79246.427524114
2014-07-16,4.72149,4.72149,4.68239,4.68239,13667.789165186
2014-07-17,4.68239,4.69362,4.57084,4.59887,127274.75841632
2014-07-18,4.67132,4.67132,4.5765,4.63773,9926.6617860482
2014-07-21,4.63773,4.72707,4.63773,4.67132,170294.53879617
2014-07-22,4.65453,4.72707,4.63773,4.72707,210281.42020098
2014-07-23,4.72149,4.92773,4.69362,4.92773,47406.720350489
2014-07-24,4.92207,4.92773,4.82732,4.83305,29346.896046294
2014-07-25,4.82732,4.90543,4.79388,4.86633,56050.673498201
2014-07-28,4.86633,4.86633,4.77723,4.79388,11752.005856292
2014-07-29,4.79388,4.90543,4.75493,4.78838,7548.4919471477
2014-07-30,4.87756,4.87756,4.73814,4.73814,9786.5446557434
2014-07-31,4.68239,4.90543,4.54862,4.81625,220595.3147835
2014-08-01,4.73814,4.73814,4.62674,4.71027,29717.569545554
2014-08-04,4.71027,4.71027,4.64895,4.64895,9019.7218153481
2014-08-06,4.68239,4.68239,4.49854,4.54862,9926.6617860482
2014-08-07,4.54862,4.57084,4.50961,4.54305,20448.184479845
2014-08-08,4.55985,4.58772,4.55985,4.58772,1019.033674944
2014-08-11,4.61001,4.65453,4.52075,4.65453,4860.7906294829
2014-08-12,4.66576,4.67674,4.62101,4.62101,10358.477305806
2014-08-13,4.55985,4.62101,4.55985,4.62101,1115.8418740637
2014-08-14,4.61559,4.62101,4.5319,4.5319,2672.4158125406
2014-08-18,4.65453,4.65453,4.52633,4.65453,2146.3396778508
2014-08-19,4.64895,4.67132,4.54305,4.57084,12974.846266224
2014-08-21,4.65453,4.71027,4.65453,4.68239,76274.670569558
2014-08-22,4.68239,4.68239,4.63223,4.68239,4727.0424596465
2014-08-25,4.68239,4.68239,4.63223,4.66576,8763.6896045184
2014-08-26,4.66576,4.72149,4.63223,4.72149,7528.1112736488
2014-08-27,4.72707,4.82732,4.6992,4.8106,41259.399706389
2014-08-28,4.77723,5.00011,4.74371,4.87756,91975.431916258
2014-08-29,4.73814,4.89986,4.73814,4.87756,18682.708638005
2014-09-01,4.87756,4.92207,4.82182,4.92207,51108.360174723
2014-09-02,4.89986,4.89986,4.83305,4.86084,70006.339676559
2014-09-03,4.76609,4.89986,4.76609,4.86633,10403.060029085
2014-09-04,4.87756,4.87756,4.77723,4.84404,4820.0292824851
2014-09-05,4.8106,4.84961,4.77174,4.77174,28559.692532399
