Date,Open,High,Low,Close,Volume
2018-06-15,7.52671,7.75927,4.98141,6.20729,436566.33480816
2018-06-18,5.99008,7.17729,5.99008,6.12978,141109.32689842
2018-06-19,6.12978,6.18412,5.42369,5.64866,67436.131241979
2018-06-20,5.4547,5.4547,4.65557,4.67108,114949.57846781
2018-06-21,4.84945,6.40135,4.84945,6.02892,177147.6556128
2018-06-22,6.32374,6.94448,6.02892,6.20729,146814.60321204
2018-06-25,6.38585,6.4401,5.81936,5.81936,28048.594024973
2018-06-26,5.97457,6.05218,5.67191,6.02117,21797.442508505
2018-06-27,5.89696,6.02117,5.7185,5.92022,16598.127942037
2018-06-28,5.91247,5.91247,5.23738,5.66425,29161.47508368
2018-06-29,5.66425,5.66425,5.20638,5.35375,31314.453840713
2018-07-02,5.35375,5.57106,5.35375,5.43143,13817.099220438
2018-07-03,5.43143,5.55556,5.35375,5.5478,4907.0071997819
2018-07-04,5.54004,5.81936,5.54004,5.71075,8593.1322254554
2018-07-05,5.81936,6.09093,5.74176,5.98232,28819.862859963
2018-07-06,6.09093,6.09093,5.7496,5.92797,13486.052323228
2018-07-09,5.86596,5.86596,5.63307,5.72626,9508.7938560367
2018-07-10,5.78835,6.01333,5.66425,5.85822,14436.931708832
2018-07-11,5.95899,6.59532,5.92797,6.19954,57267.591441856
2018-07-12,6.28489,6.34708,6.05218,6.19954,16628.64999639
2018-07-13,6.19954,6.20729,6.01333,6.20729,4080.5638819239
2018-07-16,6.40135,6.4246,6.11419,6.12978,13741.968009724
2018-07-17,6.18412,6.29273,6.05993,6.2694,5508.0568854968
2018-07-18,6.20729,6.28489,5.99008,6.26164,19481.288153201
2018-07-19,6.2694,6.30049,6.09093,6.28489,9413.7059174763
2018-07-20,6.27714,6.28489,6.12978,6.16854,6926.1584877304
2018-07-23,6.28489,6.28489,6.05218,6.24614,18022.099170108
2018-07-24,6.13753,6.16854,5.97457,6.16854,16087.470494213
2018-07-25,5.97457,6.20729,5.97457,6.19179,15142.460734447
2018-07-26,6.05218,6.23055,6.03659,6.23055,17350.613974348
2018-07-27,6.20729,6.43235,6.14528,6.41685,42663.962359252
2018-07-30,6.84362,7.75927,6.75826,7.60415,233844.71942329
2018-07-31,7.75927,8.22454,7.37125,7.68166,134117.42860131
2018-08-01,7.74402,7.75927,7.19279,7.26264,25178.346990651
2018-08-02,7.13853,7.34025,6.76601,7.2083,43191.05475942
2018-08-03,7.13853,7.44886,6.98332,7.24714,19590.46319377
2018-08-06,7.30915,7.30915,7.14619,7.2393,14716.325898676
2018-08-07,7.29365,7.29365,6.51771,7.11518,16522.996731323
2018-08-08,7.13853,7.37125,6.98332,7.27815,19590.46319377
2018-08-09,7.29365,7.3325,7.11518,7.21604,6746.5479371164
2018-08-10,7.2549,7.68166,7.10735,7.4101,25158.390262805
2018-08-13,7.72009,8.53546,7.60415,8.023,82737.071874026
2018-08-14,8.14788,8.30206,8.00774,8.03816,61810.681839741
2018-08-16,8.16321,8.16321,7.62017,7.8839,59286.742729805
2018-08-17,7.89829,7.99182,7.75203,7.8839,49280.204602786
2018-08-20,8.17769,10.0875,8.14788,10.0875,143377.35032186
2018-08-21,9.94698,10.0875,9.23399,9.69996,118730.79143204
2018-08-22,9.54405,11.4061,9.54405,10.01,201161.46883737
2018-08-23,10.3976,10.786,9.21783,9.23399,241901.36784724
2018-08-24,9.23399,9.63689,8.023,8.30206,412102.90824446
2018-08-27,9.29534,9.77657,8.92391,9.65225,128813.63469494
2018-08-28,9.77657,10.01,9.46652,9.69996,53444.117171596
2018-08-29,9.77657,9.9632,8.62832,9.65225,48713.198746926
2018-08-30,9.65225,9.93162,9.38818,9.65225,25872.136764592
2018-08-31,8.5508,9.40435,8.5508,9.09428,52993.32990731
2018-09-03,9.09428,9.09428,8.14788,8.30206,60794.062644762
2018-09-04,8.0701,8.84554,7.75927,8.28673,59858.444286335
2018-09-05,8.14788,8.72117,8.0701,8.38043,38635.051184694
2018-09-06,8.2714,8.90772,8.22454,8.70584,54170.776850224
2018-09-07,8.8302,10.01,8.61298,9.60617,52848.937111718
2018-09-10,9.60617,9.99383,9.00058,9.3115,41173.077396639
2018-09-11,9.32683,9.59004,9.01676,9.14027,13751.359411063
2018-09-12,9.15647,9.38818,9.15647,9.29534,7571.817329807
2018-09-13,9.3115,9.3115,9.01676,9.10961,10802.459390525
2018-09-14,9.15647,9.65225,9.15647,9.40435,31361.41084741
2018-09-17,9.18715,9.46652,9.04743,9.18715,14939.371680484
2018-09-18,9.01676,9.46652,8.92391,9.28,17878.880299684
2018-09-19,9.28,9.28,8.93839,9.23399,9957.233269988
2018-09-20,9.15647,9.26383,9.01676,9.23399,8415.8695251762
2018-09-21,9.12409,9.72972,9.12409,9.38818,43614.841744856
2018-09-24,9.46652,9.51254,9.07808,9.38818,22534.66751364
2018-09-25,9.45036,9.45036,9.23399,9.3115,9610.9253456015
2018-09-26,9.23399,9.3115,9.12409,9.29534,7351.1193983335
2018-09-27,9.29534,9.51254,9.29534,9.51254,6126.7154487229
2018-09-28,9.49719,9.51254,9.12409,9.3115,4116.9555621137
2018-10-01,9.17179,9.24932,8.62832,8.62832,22463.058078427
2018-10-02,8.7365,8.92391,8.62832,8.7365,9272.8348973869
2018-10-03,8.70584,8.86087,8.62832,8.84554,6265.2386184775
2018-10-04,8.84554,9.23399,8.84554,9.14027,4458.5677858305
2018-10-05,9.14027,9.52787,8.92391,9.48186,25077.389426254
2018-10-08,9.46652,9.54405,9.18715,9.29534,14539.063198397
2018-10-09,9.29534,9.29534,8.92391,8.92391,14371.191899457
2018-10-10,8.84554,9.03125,8.70584,8.84554,9369.0967611147
2018-10-11,8.53546,8.53546,7.4411,7.75927,81672.321747183
2018-10-12,7.77443,8.53546,7.77443,8.53546,18922.499773513
2018-10-15,8.53546,8.53546,8.0845,8.2714,9325.6615299204
2018-10-16,8.0845,8.84554,8.0845,8.78335,23429.198491207
2018-10-17,8.92391,9.14027,8.59765,8.8302,19268.8076979
2018-10-18,8.84554,9.21783,8.53546,9.00058,18929.543324517
2018-10-19,8.70584,9.18715,8.70584,8.92391,8392.3910218279
2018-10-22,9.23399,9.66752,8.84554,9.38818,80054.65286649
2018-10-23,9.54405,10.7076,9.43502,9.93162,244795.09338491
2018-10-24,10.1642,10.5527,9.9632,10.4436,81264.969714091
2018-10-25,10.0875,10.1335,9.3115,9.82342,63845.094154866
2018-10-26,9.99383,9.99383,9.35751,9.35751,37164.122949927
2018-10-29,9.28,9.38818,8.79783,9.3115,33755.044263763
2018-10-30,9.3115,9.69996,9.00058,9.62153,16886.913533221
2018-10-31,9.62153,9.77657,9.3115,9.66752,24881.343923296
2018-11-02,9.66752,9.93162,9.41968,9.88477,26946.278292774
2018-11-05,9.90099,10.2426,9.88477,10.056,41501.776443514
2018-11-06,10.01,10.4436,9.97761,10.3814,42901.095243069
2018-11-07,10.4751,10.7076,10.32,10.677,53800.990422489
2018-11-08,10.723,11.2512,10.3345,11.2358,75546.780223628
2018-11-09,11.3295,11.7937,10.8004,10.9411,84554.308033179
2018-11-13,10.8636,11.3909,10.1642,11.1736,60855.106753467
2018-11-14,11.5297,11.6072,11.2512,11.4675,25200.651568832
2018-11-15,11.3295,11.4061,10.786,11.2358,25233.52147352
2018-11-16,11.1736,11.1736,9.93162,11.1106,55290.701459935
2018-11-19,11.0178,11.2358,10.3976,10.677,20958.086013805
2018-11-20,10.8473,10.8473,9.90099,10.0875,32766.599272802
2018-11-21,9.77657,10.4597,9.63689,10.2111,38554.050348143
2018-11-22,10.0875,10.4129,9.93162,10.3976,8926.5269730004
2018-11-23,10.102,10.7076,10.0875,10.4751,14323.060967593
2018-11-26,10.4751,11.0646,10.2571,10.6923,13407.399337012
2018-11-27,10.6923,10.7537,10.4129,10.6923,8499.2182120624
