Date,Open,High,Low,Close,Volume
2001-05-24,3.30414,3.3399,3.14676,3.26829,74406.758221762
2001-05-25,3.28982,3.28982,3.16821,3.18956,7643.9140063449
2001-05-28,3.19685,3.19685,3.08965,3.18253,14785.353077273
2001-05-29,3.12534,3.16821,3.03939,3.12534,15630.680037974
2001-05-30,3.11812,3.11812,2.9822,3.0538,2941.7827874419
2001-05-31,3.01795,3.01795,2.94634,2.94634,14373.930646931
2001-06-01,2.93941,2.9822,2.90355,2.90355,11327.606094403
2001-06-04,2.94634,2.94634,2.73187,2.73187,4671.7803838779
2001-06-05,2.68907,2.69618,2.33154,2.44586,25602.615501252
2001-06-06,2.41748,2.43865,2.39578,2.43153,3974.8352832994
2001-06-07,2.37433,2.42442,2.34578,2.4101,1921.0954465946
2001-06-08,2.39578,2.4101,2.34578,2.4101,1442.2267161971
2001-06-12,2.27425,2.36731,2.20264,2.20264,14251.40320183
2001-06-13,2.21706,2.21706,2.18841,2.18841,4390.7541336446
2001-06-15,2.20264,2.23137,2.13129,2.13129,9796.5750831318
2001-06-18,2.13129,2.13129,1.98826,1.98826,5381.0906394667
2001-06-19,1.97392,1.97392,1.63055,1.7307,29384.104724391
2001-06-20,1.70936,1.70936,1.60198,1.60198,14611.116802128
2001-06-21,1.60198,1.63055,1.58766,1.63055,3664.5823030418
2001-06-22,1.60911,1.64477,1.59478,1.59478,19215.45088595
2001-06-25,1.64477,1.72368,1.62351,1.72368,68735.648492055
2001-06-26,1.76639,1.76639,1.70206,1.70206,2558.4629821237
2001-06-27,1.70206,1.70206,1.70206,1.70206,246.17899520434
2001-06-28,1.63055,1.63055,1.56622,1.56622,1381.5250461468
2001-06-29,1.56622,1.63783,1.56622,1.63055,6411.8949253223
2001-07-02,1.60198,1.60198,1.60198,1.60198,1690.6539214034
2001-07-04,1.56622,1.63055,1.56622,1.63055,290.01909024073
2001-07-05,1.7307,1.77359,1.7307,1.73792,2703.4725272441
2001-07-10,1.73792,1.73792,1.70206,1.70206,4643.6777588546
2001-07-11,1.73792,1.73792,1.73792,1.73792,984.71598081738
2001-07-13,1.59478,1.59478,1.59478,1.59478,3277.8901827209
2001-07-16,1.76639,1.81655,1.76639,1.81655,668.84247555518
2001-07-17,1.80943,1.8452,1.80943,1.8452,859.94032571381
2001-07-18,1.8452,1.8452,1.8452,1.8452,1.1241050009331
2001-07-19,1.8452,1.8452,1.70206,1.8452,32.599045027059
2001-07-23,1.73792,1.73792,1.73792,1.73792,4503.1646337379
2001-07-24,1.78791,1.78791,1.78791,1.78791,1.1241050009331
2001-07-25,1.78089,1.78089,1.77359,1.77359,7316.7994510734
2001-07-26,1.78089,1.78089,1.78089,1.78089,47.212410039189
2001-07-27,1.70206,1.70206,1.70206,1.70206,8415.050036985
2001-07-30,1.68783,1.68783,1.68783,1.68783,1463.5847112149
2001-07-31,1.63055,1.69494,1.59478,1.69494,11571.536879605
2001-08-02,1.60911,1.60911,1.55199,1.55199,4582.9760888042
2001-08-03,1.63055,1.63055,1.63055,1.63055,43.84009503639
2001-08-07,1.45885,1.56622,1.45885,1.56622,2819.2553423402
2001-08-09,1.42308,1.42308,1.42308,1.42308,13372.3530911
2001-08-10,1.49469,1.56622,1.49469,1.56622,2461.7899520434
2001-08-13,1.59478,1.59478,1.21581,1.40885,35685.837359622
2001-08-14,1.29445,1.30877,1.27292,1.30877,11966.097734933
2001-08-16,1.30877,1.30877,1.2087,1.30166,10580.076268782
2001-08-17,1.36597,1.36597,1.29445,1.29445,1778.3341114761
2001-08-20,1.29445,1.29445,1.29445,1.29445,7166.1693809484
2001-08-21,1.35174,1.35174,1.28012,1.28012,6127.4963600862
2001-08-22,1.24446,1.31581,1.24446,1.31581,6848.0476656843
2001-08-23,1.35174,1.35174,1.31581,1.31581,2785.5321923122
2001-08-27,1.35174,1.35885,1.28012,1.35885,1546.7684812839
2001-08-31,1.24446,1.31581,1.24446,1.28724,10388.978418624
2001-09-03,1.2587,1.2587,1.23734,1.23734,4004.0620133236
2001-09-04,1.24446,1.24446,1.24446,1.24446,1201.6682459975
2001-09-05,1.32318,1.32318,1.32318,1.32318,702.56562558317
2001-09-06,1.28012,1.28012,1.28012,1.28012,702.56562558317
2001-09-07,1.28012,1.28012,1.28012,1.28012,1406.2553561673
2001-09-12,1.06565,1.28012,1.06565,1.28012,6334.3316802579
2001-09-17,1.13717,1.25148,1.13717,1.25148,232.68973519315
2001-09-18,1.13717,1.2587,1.13717,1.2587,1098.2505859116
2001-09-19,1.24446,1.24446,1.24446,1.24446,279.90214523234
2001-09-25,1.05845,1.17292,1.05845,1.17292,9009.7015824786
2001-09-26,1.28012,1.28012,1.06565,1.20149,2140.2959217766
2001-09-27,1.2087,1.2087,1.06565,1.15853,1183.6825659825
2001-09-28,1.13717,1.21581,1.13717,1.21581,1409.6276711701
2001-10-02,1.03692,1.10132,1.03692,1.10132,429.40811035644
2001-10-05,1.02988,1.12988,1.02988,1.12988,2883.3293273933
2001-10-08,0.994123,1.10132,0.994123,1.10132,2833.8687073523
2001-10-10,1.10132,1.24446,1.04412,1.24446,10052.871023345
2001-10-11,1.28012,1.28012,1.0942,1.28012,3149.7422126145
2001-10-12,1.28012,1.28012,1.17292,1.26572,18977.140625752
2001-10-15,1.2587,1.2587,1.2587,1.2587,139.3890201157
2001-10-16,1.24446,1.47335,1.24446,1.37291,116772.02749693
2001-10-17,1.45885,1.65198,1.19437,1.47335,284879.68217647
2001-10-18,1.4519,1.4519,1.28012,1.3803,24714.572550515
2001-10-19,1.26572,1.38732,1.26572,1.34445,11813.219454806
2001-10-22,1.35885,1.45885,1.35885,1.45885,38260.037811758
2001-10-23,1.53767,1.53767,1.38732,1.41615,20884.746812336
2001-10-24,1.35174,1.4802,1.35174,1.4447,4654.9188088639
2001-10-25,1.4519,1.4519,1.35885,1.43038,15184.410352604
2001-10-26,1.45885,1.45885,1.3803,1.42308,7475.298256205
2001-10-29,1.45885,1.45885,1.37291,1.41615,7999.1311866398
2001-10-30,1.35174,1.35174,1.35174,1.35174,1406.2553561673
2001-10-31,1.29445,1.34445,1.29445,1.34445,3234.0500876845
2001-11-02,1.31581,1.35885,1.30166,1.30166,13143.03567091
2001-11-05,1.39454,1.39454,1.28012,1.37291,10556.470063763
2001-11-06,1.37291,1.37291,1.35174,1.35174,1248.8806560367
2001-11-07,1.37291,1.37291,1.37291,1.37291,4291.8328935625
2001-11-08,1.30166,1.35174,1.28012,1.35174,3308.2410177461
2001-11-09,1.35174,1.35174,1.28012,1.28012,5835.2290598436
2001-11-12,1.29445,1.29445,1.29445,1.29445,139.3890201157
2001-11-13,1.28012,1.34445,1.28012,1.34445,7288.6968260501
2001-11-14,1.28012,1.31581,1.2087,1.30877,68173.595991588
2001-11-15,1.30166,1.30166,1.2587,1.28012,7116.7087609073
2001-11-16,1.29445,1.29445,1.2587,1.28012,2078.4701467253
2001-11-19,1.28012,1.28012,1.23734,1.23734,7388.7421711331
2001-11-20,1.22284,1.22284,1.2087,1.2087,8474.6276020345
2001-11-21,1.22284,1.25148,1.17292,1.17292,96116.598104783
2001-11-22,1.17292,1.17292,1.1515,1.1515,5046.1073491886
2001-11-23,1.1515,1.1515,1.14428,1.14428,6296.1121102262
2001-11-26,1.19437,1.19437,1.06565,1.0942,49244.791880876
2001-11-27,1.13717,1.13717,1.0798,1.13717,18230.734905133
2001-11-28,1.13717,1.17996,1.13717,1.15853,12597.844745457
