Date,Open,High,Low,Close,Volume
1991-04-16,100.0,100.0,100.0,100.0,0
1991-04-23,96.77,96.77,96.77,96.77,0
1991-04-30,94.56,94.56,94.56,94.56,0
1991-05-14,93.96,93.96,93.96,93.96,0
1991-05-21,96.61,96.61,96.61,96.61,0
1991-05-28,95.65,95.65,95.65,95.65,0
1991-06-04,96.94,96.94,96.94,96.94,0
1991-06-11,96.04,96.04,96.04,96.04,0
1991-06-18,86.68,86.68,86.68,86.68,0
1991-06-25,85.02,85.02,85.02,85.02,0
1991-07-02,89.12,89.12,89.12,89.12,0
1991-07-09,86.66,86.66,86.66,86.66,0
1991-07-16,83.44,83.44,83.44,83.44,0
1991-07-23,85.34,85.34,85.34,85.34,0
1991-07-30,82.51,82.51,82.51,82.51,0
1991-08-06,79.42,79.42,79.42,79.42,0
1991-08-13,77.16,77.16,77.16,77.16,0
1991-08-20,75.69,75.69,75.69,75.69,0
1991-08-27,73.97,73.97,73.97,73.97,0
1991-09-03,72.58,72.58,72.58,72.58,0
1991-09-10,71.52,71.52,71.52,71.52,0
1991-09-17,69.28,69.28,69.28,69.28,0
1991-09-24,68.0,68.0,68.0,68.0,0
1991-10-01,67.85,67.85,67.85,67.85,0
1991-10-08,70.78,70.78,70.78,70.78,0
1991-10-15,77.18,77.18,77.18,77.18,0
1991-10-22,84.44,84.44,84.44,84.44,0
1991-10-29,92.32,92.32,92.32,92.32,0
1991-11-05,99.04,99.04,99.04,99.04,0
1991-11-12,99.57,99.57,99.57,99.57,0
1991-11-19,89.87,89.87,89.87,89.87,0
1991-11-26,85.67,85.67,85.67,85.67,0
1991-12-03,91.71,91.71,91.71,91.71,0
1991-12-10,100.19,100.19,100.19,100.19,0
1991-12-17,92.8,92.8,92.8,92.8,0
1991-12-31,91.91,91.91,91.91,91.91,0
1992-01-07,97.49,97.49,97.49,97.49,0
1992-01-09,96.41,96.41,96.41,96.41,0
1992-01-14,93.08,93.08,93.08,93.08,0
1992-01-16,91.51,91.51,91.51,91.51,0
1992-01-21,94.73,94.73,94.73,94.73,0
1992-01-23,95.27,95.27,95.27,95.27,0
1992-01-28,93.33,93.33,93.33,93.33,0
1992-01-30,93.74,93.74,93.74,93.74,0
1992-02-04,93.51,93.51,93.51,93.51,0
1992-02-06,90.13,90.13,90.13,90.13,0
1992-02-11,93.67,93.67,93.67,93.67,0
1992-02-13,91.98,91.98,91.98,91.98,0
1992-02-18,92.34,92.34,92.34,92.34,0
1992-02-20,93.26,93.26,93.26,93.26,0
1992-02-25,94.16,94.16,94.16,94.16,0
