Date,Open,High,Low,Close,Volume
2016-12-30,5175.4,5175.4,5175.4,5175.4,0.0
2017-01-02,5203.58,5203.58,5203.58,5203.58,0.0
2017-01-03,5187.92,5187.92,5187.92,5187.92,0.0
2017-01-04,5177.97,5177.97,5177.97,5177.97,0.0
2017-01-05,5192.77,5192.77,5192.77,5192.77,0.0
2017-01-09,5238.5,5238.5,5238.5,5238.5,0.0
2017-01-10,5255.1,5255.1,5255.1,5255.1,0.0
2017-01-11,5377.53,5377.53,5377.53,5377.53,0.0
2017-01-12,5397.95,5397.95,5397.95,5397.95,0.0
2017-01-13,5313.74,5313.74,5313.74,5313.74,0.0
2017-01-16,5408.18,5408.18,5408.18,5408.18,0.0
2017-01-17,5422.21,5422.21,5422.21,5422.21,0.0
2017-01-18,5414.64,5414.64,5414.64,5414.64,0.0
2017-01-19,5498.49,5498.49,5498.49,5498.49,0.0
2017-01-20,5679.04,5679.04,5679.04,5679.04,0.0
2017-01-23,5737.63,5737.63,5737.63,5737.63,0.0
2017-01-24,5786.83,5786.83,5786.83,5786.83,0.0
2017-01-25,5809.77,5809.77,5809.77,5809.77,0.0
2017-01-26,5796.75,5796.75,5796.75,5796.75,0.0
2017-01-27,5765.03,5765.03,5765.03,5765.03,0.0
2017-01-30,5744.18,5744.18,5744.18,5744.18,0.0
2017-01-31,5723.09,5723.09,5723.09,5723.09,0.0
2017-02-01,5762.89,5762.89,5762.89,5762.89,0.0
2017-02-02,5779.16,5779.16,5779.16,5779.16,0.0
2017-02-03,5736.83,5736.83,5736.83,5736.83,0.0
2017-02-06,5830.37,5830.37,5830.37,5830.37,0.0
2017-02-07,6007.71,6007.71,6007.71,6007.71,0.0
2017-02-08,6138.79,6138.79,6138.79,6138.79,0.0
2017-02-09,6251.6,6251.6,6251.6,6251.6,0.0
2017-02-10,6429.01,6429.01,6429.01,6429.01,0.0
2017-02-13,6672.86,6672.86,6672.86,6672.86,0.0
2017-02-14,6654.42,6654.42,6654.42,6654.42,0.0
2017-02-15,6669.83,6669.83,6669.83,6669.83,0.0
2017-02-16,6660.53,6660.53,6660.53,6660.53,0.0
2017-02-17,6622.5,6622.5,6622.5,6622.5,0.0
2017-02-20,6702.42,6702.42,6702.42,6702.42,0.0
2017-02-21,7112.36,7112.36,7112.36,7112.36,0.0
2017-02-22,6985.14,6985.14,6985.14,6985.14,0.0
2017-02-23,7142.32,7142.32,7142.32,7142.32,0.0
2017-02-24,6840.42,6840.42,6840.42,6840.42,0.0
2017-02-27,6930.74,6930.74,6930.74,6930.74,0.0
2017-02-28,6794.0,6794.0,6794.0,6794.0,0.0
2017-03-01,7114.7,7114.7,7114.7,7114.7,0.0
2017-03-02,7081.54,7081.54,7081.54,7081.54,0.0
2017-03-03,7013.46,7013.46,7013.46,7013.46,0.0
2017-03-06,6849.83,6849.83,6849.83,6849.83,0.0
2017-03-07,6998.29,6998.29,6998.29,6998.29,0.0
2017-03-08,6985.2,6985.2,6985.2,6985.2,0.0
2017-03-09,6914.19,6914.19,6914.19,6914.19,0.0
2017-03-10,6997.67,6997.67,6997.67,6997.67,0.0
2017-03-13,6995.05,6995.05,6995.05,6995.05,0.0
2017-03-14,7084.35,7084.35,7084.35,7084.35,0.0
2017-03-15,7080.81,7080.81,7080.81,7080.81,0.0
2017-03-16,7264.29,7264.29,7264.29,7264.29,0.0
2017-03-17,7346.8,7346.8,7346.8,7346.8,0.0
2017-03-20,7300.95,7300.95,7300.95,7300.95,0.0
2017-03-21,7278.49,7278.49,7278.49,7278.49,0.0
2017-03-22,7087.05,7087.05,7087.05,7087.05,0.0
2017-03-23,7237.66,7237.66,7237.66,7237.66,0.0
2017-03-24,7237.23,7237.23,7237.23,7237.23,0.0
2017-03-27,7102.23,7102.23,7102.23,7102.23,0.0
2017-03-28,7043.21,7043.21,7043.21,7043.21,0.0
2017-03-29,6985.05,6985.05,6985.05,6985.05,0.0
2017-03-30,7138.75,7138.75,7138.75,7138.75,0.0
2017-03-31,7122.8,7122.8,7122.8,7122.8,0.0
2017-04-03,7087.81,7087.81,7087.81,7087.81,0.0
2017-04-04,7081.62,7081.62,7081.62,7081.62,0.0
2017-04-05,7072.64,7072.64,7072.64,7072.64,0.0
2017-04-06,7014.49,7014.49,7014.49,7014.49,0.0
2017-04-07,6994.78,6994.78,6994.78,6994.78,0.0
2017-04-10,6736.39,6736.39,6736.39,6736.39,0.0
