Date,Open,High,Low,Close,Volume
2017-01-02,5278.13,5278.13,5176.04,5216.32,130995.0
2017-01-03,5254.27,5284.51,5245.03,5250.21,371206.0
2017-01-04,5257.25,5277.79,5227.67,5239.52,248710.0
2017-01-05,5259.1,5309.75,5245.97,5269.08,388543.0
2017-01-09,5254.54,5280.26,5204.57,5280.26,297764.0
2017-01-10,5251.04,5296.43,5245.21,5248.13,383838.0
2017-01-11,5263.45,5283.11,5243.12,5260.54,464634.0
2017-01-12,5240.86,5332.67,5224.98,5302.59,487887.0
2017-01-13,5319.27,5321.47,5259.16,5288.28,404986.0
2017-01-16,5264.52,5282.46,5218.53,5269.65,314765.0
2017-01-17,5277.44,5277.44,5247.61,5273.41,185001.0
2017-01-18,5269.11,5308.02,5266.33,5306.38,806837.0
2017-01-19,5310.73,5385.03,5293.43,5361.47,393450.0
2017-01-20,5365.08,5423.09,5334.64,5400.23,351704.0
2017-01-23,5418.4,5492.97,5418.26,5471.4,477876.0
2017-01-24,5488.39,5607.3,5488.39,5594.25,397561.0
2017-01-25,5603.52,5710.35,5598.23,5655.73,585196.0
2017-01-26,5677.63,5801.03,5588.3,5688.52,712306.0
2017-01-27,5718.54,5753.49,5662.77,5737.87,420225.0
2017-01-30,5751.51,5925.05,5751.51,5795.49,448694.0
2017-01-31,5849.05,5869.7,5798.56,5856.8,324578.0
2017-02-01,5884.71,5909.26,5818.68,5833.63,405858.0
2017-02-02,5856.67,5856.68,5795.63,5827.92,487891.0
2017-02-03,5826.87,5833.21,5674.32,5678.1,311312.0
2017-02-06,5635.1,5691.79,5576.12,5614.91,195849.0
2017-02-07,5621.58,5636.0,5533.64,5595.17,318538.0
2017-02-08,5604.38,5663.74,5566.98,5623.47,2197330.0
2017-02-09,5658.99,5673.67,5528.43,5537.8,745379.0
2017-02-10,5562.1,5565.33,5446.22,5490.01,1935472.0
2017-02-13,5504.44,5604.6,5480.71,5604.6,1306415.0
2017-02-14,5637.79,5653.63,5547.67,5650.41,1592444.0
2017-02-15,5646.05,5776.9,5645.38,5771.6,805891.0
2017-02-16,5785.6,6011.21,5785.6,6011.21,785045.0
2017-02-17,5998.88,6058.44,5924.72,5953.33,359251.0
2017-02-20,5989.31,6049.11,5940.54,5966.17,466940.0
2017-02-21,5962.37,6005.77,5848.99,5903.53,457843.0
2017-02-22,5921.79,6002.44,5841.81,6002.44,733210.0
2017-02-23,5998.46,6149.35,5939.56,6138.1,401830.0
2017-02-24,6132.83,6132.83,5968.75,6057.03,568918.0
2017-02-27,6079.57,6161.72,6012.11,6051.13,439862.0
2017-02-28,6085.37,6108.96,5970.65,6049.59,1451210.0
2017-03-01,6067.82,6192.3,6009.66,6192.3,1544457.0
2017-03-02,6217.63,6242.81,6157.4,6186.41,1155931.0
