Date,Open,High,Low,Close,Volume
1997-02-20,6.2094,6.2094,6.2094,6.2094,213135.145533
1997-02-21,6.83381,6.83381,6.83381,6.83381,72585.530514082
1997-02-24,7.51031,7.51031,7.51031,7.51031,0.0
1997-02-25,8.28212,8.28212,8.28212,8.28212,304010.92017795
1997-02-26,8.90662,8.90662,8.90662,8.90662,602157.87791478
1997-02-27,8.02196,8.02196,8.02196,8.02196,114536.10328268
1997-02-28,7.25014,7.25014,7.25014,7.25014,154542.45069923
1997-03-03,6.62573,6.62573,6.62573,6.62573,278068.92017879
1997-03-04,6.83381,6.83381,6.83381,6.83381,181029.72769367
1997-03-05,6.83381,6.83381,6.83381,6.83381,135589.60562941
1997-03-06,6.83381,6.83381,6.83381,6.83381,42880.225350724
1997-03-07,7.09397,7.09397,7.09397,7.09397,196418.15961806
1997-03-10,7.30214,7.30214,7.30214,7.30214,55348.967134358
1997-03-11,8.02196,8.02196,8.02196,8.02196,131735.79342297
1997-03-12,7.96996,7.96996,7.96996,7.96996,160936.04694315
1997-03-13,7.35414,7.35414,7.35414,7.35414,86862.178400944
1997-03-14,6.9379,6.9379,6.9379,6.9379,102211.50234411
1997-03-17,6.83381,6.83381,6.83381,6.83381,85392.835677987
1997-03-18,7.25014,7.25014,7.25014,7.25014,104107.6807478
1997-03-19,6.72973,6.72973,6.72973,6.72973,50747.633801174
1997-03-20,6.8859,6.8859,6.8859,6.8859,51418.056336363
1997-03-21,6.83381,6.83381,6.83381,6.83381,52538.779341022
1997-03-24,6.8859,6.8859,6.8859,6.8859,48949.784035974
1997-03-25,7.09397,7.09397,7.09397,7.09397,91723.85915196
1997-03-26,7.35414,7.35414,7.35414,7.35414,84412.901405718
1997-03-27,7.65771,7.65771,7.65771,7.65771,114009.82159256
1997-04-01,7.09397,7.09397,7.09397,7.09397,75296.272298031
1997-04-02,6.72973,6.72973,6.72973,6.72973,92057.953048663
1997-04-03,6.83381,6.83381,6.83381,6.83381,116561.89670984
1997-04-04,6.83381,6.83381,6.83381,6.83381,51954.394364515
1997-04-07,7.25014,7.25014,7.25014,7.25014,144467.11736622
1997-04-08,6.83381,6.83381,6.83381,6.83381,62125.821594233
1997-04-09,7.09397,7.09397,7.09397,7.09397,67329.417838195
1997-04-10,7.04198,7.04198,7.04198,7.04198,119243.5868506
1997-04-11,7.14606,7.14606,7.14606,7.14606,47663.690139302
1997-04-14,7.04198,7.04198,7.04198,7.04198,77342.178401252
1997-04-15,7.25014,7.25014,7.25014,7.25014,105213.87793086
1997-04-16,7.45822,7.45822,7.45822,7.45822,160375.12675537
1997-04-17,7.60571,7.60571,7.60571,7.60571,120043.62440926
1997-04-18,7.45822,7.45822,7.45822,7.45822,89614.262907897
1997-04-21,7.65771,7.65771,7.65771,7.65771,109704.59154574
1997-04-22,7.60571,7.60571,7.60571,7.60571,64656.666664573
1997-04-23,7.60571,7.60571,7.60571,7.60571,119388.84506656
1997-04-24,7.65771,7.65771,7.65771,7.65771,72639.164316897
1997-04-25,7.55362,7.55362,7.55362,7.55362,49090.572768364
1997-04-28,7.45822,7.45822,7.45822,7.45822,48897.267604051
1997-04-29,7.25014,7.25014,7.25014,7.25014,83133.511734398
1997-04-30,7.65771,7.65771,7.65771,7.65771,128108.80750759
1997-05-05,8.07395,8.07395,8.07395,8.07395,104697.65257877
1997-05-06,8.07395,8.07395,8.07395,8.07395,59501.117368965
1997-05-07,7.45822,7.45822,7.45822,7.45822,92631.16431625
1997-05-08,7.45822,7.45822,7.45822,7.45822,52635.990608624
1997-05-09,7.60571,7.60571,7.60571,7.60571,45468.056336556
1997-05-12,7.55362,7.55362,7.55362,7.55362,42141.643191124
1997-05-13,7.45822,7.45822,7.45822,7.45822,68215.492955538
1997-05-14,7.35414,7.35414,7.35414,7.35414,34078.694834578
1997-05-15,7.55362,7.55362,7.55362,7.55362,44721.652580712
1997-05-16,7.76179,7.76179,7.76179,7.76179,149582.44130971
1997-05-19,7.76179,7.76179,7.76179,7.76179,31422.704224334
1997-05-20,7.45822,7.45822,7.45822,7.45822,33604.929576377
1997-05-21,7.25014,7.25014,7.25014,7.25014,17937.154928997
1997-05-22,7.55362,7.55362,7.55362,7.55362,23855.868543829
1997-05-23,7.25014,7.25014,7.25014,7.25014,54641.671359733
1997-05-26,7.25014,7.25014,7.25014,7.25014,107212.85445663
1997-05-27,7.35414,7.35414,7.35414,7.35414,69590.976523568
1997-05-28,7.35414,7.35414,7.35414,7.35414,42309.248824921
1997-05-30,7.35414,7.35414,7.35414,7.35414,32717.737088142
1997-06-02,6.78181,6.78181,6.78181,6.78181,14967.183098107
1997-06-03,6.98998,6.98998,6.98998,6.98998,55376.901406658
1997-06-04,6.83381,6.83381,6.83381,6.83381,19976.356806865
1997-06-05,6.62573,6.62573,6.62573,6.62573,25430.244130632
1997-06-06,6.67773,6.67773,6.67773,6.67773,35491.051642044
1997-06-09,6.72973,6.72973,6.72973,6.72973,15900.187792912
1997-06-10,6.62573,6.62573,6.62573,6.62573,12753.67136109
1997-06-11,6.52165,6.52165,6.52165,6.52165,14181.671361043
1997-06-12,6.83381,6.83381,6.83381,6.83381,30147.784036582
1997-06-13,6.98998,6.98998,6.98998,6.98998,53851.690139102
1997-06-16,6.83381,6.83381,6.83381,6.83381,29648.319247867
1997-06-17,6.78181,6.78181,6.78181,6.78181,21292.61971762
1997-06-18,6.9379,6.9379,6.9379,6.9379,19741.708919549
1997-06-19,6.83381,6.83381,6.83381,6.83381,12658.694835271
1997-06-20,7.04198,7.04198,7.04198,7.04198,19600.920187158
1997-06-23,7.25014,7.25014,7.25014,7.25014,69336.215960197
1997-06-24,7.04198,7.04198,7.04198,7.04198,27555.483567183
1997-06-25,7.04198,7.04198,7.04198,7.04198,12640.816901
1997-06-26,6.52165,6.52165,6.52165,6.52165,17537.136149667
1997-06-27,6.57364,6.57364,6.57364,6.57364,24641.380280893
1997-06-30,6.62573,6.62573,6.62573,6.62573,35600.553989458
1997-07-01,6.41757,6.41757,6.41757,6.41757,8210.4413142882
1997-07-02,6.00132,6.00132,6.00132,6.00132,31540.028167993
1997-07-03,6.26148,6.26148,6.26148,6.26148,32627.230045892
