Date,Open,High,Low,Close,Volume
1998-03-11,26.5957,26.5957,26.5957,26.5957,110081.66908189
1998-03-12,25.3294,25.3294,25.3294,25.3294,74635.795934721
1998-03-13,26.9118,26.9118,26.9118,26.9118,73078.262755738
1998-03-16,27.863,27.863,27.863,27.863,69712.669158167
1998-03-17,29.2559,29.2559,29.2559,29.2559,51682.170420217
1998-03-18,30.3956,30.3956,30.3956,30.3956,61603.049108525
1998-03-19,30.269,30.269,30.269,30.269,49907.15827579
1998-03-20,29.1302,29.1302,29.1302,29.1302,50286.680391955
1998-03-23,27.863,27.863,27.863,27.863,17939.882502349
1998-03-24,26.9118,26.9118,26.9118,26.9118,30728.498529102
1998-03-25,26.9756,26.9756,26.9756,26.9756,24529.281940609
1998-03-26,27.3555,27.3555,27.3555,27.3555,45250.549839239
1998-03-27,27.1022,27.1022,27.1022,27.1022,23744.651947636
1998-03-30,27.2298,27.2298,27.2298,27.2298,45502.143152204
1998-03-31,27.1022,27.1022,27.1022,27.1022,37015.133133116
1998-04-01,27.1022,27.1022,27.1022,27.1022,40069.433309562
1998-04-02,27.2298,27.2298,27.2298,27.2298,21116.781115197
1998-04-06,27.1022,27.1022,27.1022,27.1022,9146.9094289374
1998-04-07,27.2908,27.2908,27.2908,27.2908,20638.11417655
1998-04-08,27.3555,27.3555,27.3555,27.3555,27777.607468577
1998-04-09,27.2298,27.2298,27.2298,27.2298,39483.092961553
1998-04-14,27.2298,27.2298,27.2298,27.2298,7440.1259795518
1998-04-15,27.0384,27.0384,27.0384,27.0384,7646.9442113949
1998-04-16,26.5957,26.5957,26.5957,26.5957,7870.8196169982
1998-04-17,25.9635,25.9635,25.9635,25.9635,6573.4083378587
1998-04-20,25.9635,25.9635,25.9635,25.9635,10813.182090642
1998-04-21,24.9504,24.9504,24.9504,24.9504,13025.284312675
1998-04-22,24.6972,24.6972,24.6972,24.6972,16335.442095525
1998-04-23,23.746,23.746,23.746,23.746,10076.525398871
1998-04-24,25.0123,25.0123,25.0123,25.0123,16222.438319364
1998-04-27,24.3801,24.3801,24.3801,24.3801,9933.6715686292
1998-04-28,23.4309,23.4309,23.4309,23.4309,11220.422114169
1998-04-29,24.5686,24.5686,24.5686,24.5686,14396.254653657
1998-04-30,24.9504,24.9504,24.9504,24.9504,18995.295128765
1998-05-04,27.4193,27.4193,27.4193,27.4193,66799.090665244
1998-05-05,29.1302,29.1302,29.1302,29.1302,122435.32717776
1998-05-06,31.9791,31.9791,31.9791,31.9791,159439.79957727
1998-05-07,32.9274,32.9274,32.9274,32.9274,217846.76075247
1998-05-08,30.5214,30.5214,30.5214,30.5214,15778.951801597
1998-05-11,28.4943,28.4943,28.4943,28.4943,20701.012504791
1998-05-12,26.2796,26.2796,26.2796,26.2796,12627.63894939
1998-05-13,26.7852,26.7852,26.7852,26.7852,7859.0928100381
1998-05-14,26.4691,26.4691,26.4691,26.4691,8902.7786294937
1998-05-15,25.7721,25.7721,25.7721,25.7721,2433.8454809166
1998-05-18,25.8369,25.8369,25.8369,25.8369,4636.3530427096
1998-05-19,25.2018,25.2018,25.2018,25.2018,10080.789692311
1998-05-20,25.2018,25.2018,25.2018,25.2018,3599.0636634141
1998-05-21,25.9635,25.9635,25.9635,25.9635,3657.6976982149
1998-05-22,25.9635,25.9635,25.9635,25.9635,2905.0499060436
1998-05-25,24.5058,24.5058,24.5058,24.5058,3546.8260687733
1998-05-26,24.1269,24.1269,24.1269,24.1269,2561.7742841185
1998-05-27,23.4309,23.4309,23.4309,23.4309,6014.7858972104
1998-05-28,22.1626,22.1626,22.1626,22.1626,5156.5968423975
1998-05-29,23.3652,23.3652,23.3652,23.3652,21065.609593916
1998-06-01,22.7968,22.7968,22.7968,22.7968,3104.4056243666
1998-06-02,22.2264,22.2264,22.2264,22.2264,12974.112791395
1998-06-03,22.7968,22.7968,22.7968,22.7968,2655.5887397999
1998-06-04,23.8726,23.8726,23.8726,23.8726,7146.9558055474
1998-06-05,23.9993,23.9993,23.9993,23.9993,3135.3217518071
1998-06-08,26.3434,26.3434,26.3434,26.3434,9025.3770658956
1998-06-09,24.0631,24.0631,24.0631,24.0631,1872.0248201881
1998-06-10,23.4309,23.4309,23.4309,23.4309,2077.7769786712
1998-06-15,25.3294,25.3294,25.3294,25.3294,5932.6982484891
1998-06-16,23.4928,23.4928,23.4928,23.4928,1925.3284881889
1998-06-17,25.3294,25.3294,25.3294,25.3294,3990.3125865399
1998-06-18,25.2666,25.2666,25.2666,25.2666,4350.6453822254
1998-06-19,23.1129,23.1129,23.1129,23.1129,7578.7155163538
1998-06-22,22.8596,22.8596,22.8596,22.8596,24646.550010211
1998-06-23,23.4309,23.4309,23.4309,23.4309,10238.568549594
1998-06-24,23.4309,23.4309,23.4309,23.4309,11973.069906339
1998-06-25,24.0631,24.0631,24.0631,24.0631,2233.4236892336
1998-06-26,24.0631,24.0631,24.0631,24.0631,6071.2877852912
1998-06-29,26.4062,26.4062,26.4062,26.4062,31583.489363834
1998-06-30,26.5957,26.5957,26.5957,26.5957,17967.60040971
1998-07-01,24.6972,24.6972,24.6972,24.6972,1817.6550788273
1998-07-02,25.6455,25.6455,25.6455,25.6455,6987.044801545
1998-07-03,25.456,25.456,25.456,25.456,3537.2314085331
1998-07-06,24.76,24.76,24.76,24.76,1318.7327463398
1998-07-07,24.76,24.76,24.76,24.76,2765.3942958815
1998-07-08,24.6972,24.6972,24.6972,24.6972,3816.5426288573
1998-07-09,24.3801,24.3801,24.3801,24.3801,9660.7567884651
1998-07-10,24.3154,24.3154,24.3154,24.3154,5122.482494877
1998-07-13,24.0631,24.0631,24.0631,24.0631,1728.104916586
1998-07-14,24.9504,24.9504,24.9504,24.9504,4899.6731626336
1998-07-15,24.0631,24.0631,24.0631,24.0631,873.11408185312
1998-07-16,24.6972,24.6972,24.6972,24.6972,2328.304218275
1998-07-17,24.6972,24.6972,24.6972,24.6972,4068.1359418211
1998-07-20,24.0631,24.0631,24.0631,24.0631,4343.1828687052
1998-07-21,22.1626,22.1626,22.1626,22.1626,12285.429400825
1998-07-22,22.4807,22.4807,22.4807,22.4807,6434.8188010567
1998-07-23,22.036,22.036,22.036,22.036,4258.963073264
1998-07-24,22.1626,22.1626,22.1626,22.1626,3459.408053252
1998-07-27,22.1626,22.1626,22.1626,22.1626,2696.0995274805
1998-07-28,21.5314,21.5314,21.5314,21.5314,3345.3382037303
1998-07-29,21.2134,21.2134,21.2134,21.2134,2488.2152222774
1998-07-30,21.5314,21.5314,21.5314,21.5314,5302.6488927197
1998-07-31,21.5314,21.5314,21.5314,21.5314,1012.7696920152
1998-08-03,20.2632,20.2632,20.2632,20.2632,1970.1035693096
1998-08-04,19.6318,19.6318,19.6318,19.6318,4031.8894475806
1998-08-05,19.6318,19.6318,19.6318,19.6318,1772.8799977066
1998-08-06,19.9471,19.9471,19.9471,19.9471,1576.7224994637
1998-08-07,19.6318,19.6318,19.6318,19.6318,657.76726312988
1998-08-10,18.9969,18.9969,18.9969,18.9969,344.34169528517
